query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
Astro-1,Astrocytes,Astrocytes,Astrocytes,0.8785,Vascular,0.0875,0.7128,high,2.8514,2.8514,4,3,4,3,True,0.9529,0.9342,0.0,0.9642,Astrocytes,Astrocytes,Ex_BCL6,Astrocytes,2,3,1,1,6
Astro-2,Astrocytes,Astrocytes,Astrocytes,1.0,Vascular,0.1249,0.8488,high,3.395,3.395,4,4,4,4,True,0.9682,0.9413,0.9983,0.9864,Astrocytes,Astrocytes,Astrocytes,Astrocytes,3,1,2,1,6
Astro-3,Astrocytes,Astrocytes,Astrocytes,0.8785,Vascular,0.3042,0.7097,high,2.8386,2.8386,4,3,4,3,True,0.9442,0.8944,0.0,1.0,Astrocytes,Astrocytes,Ex_TCF7L2,Astrocytes,2,1,1,1,6
Endo,Vascular,Vascular,Vascular,1.0,Astrocytes,0.1144,0.7771,high,3.1083,3.1083,4,4,4,4,True,0.9333,0.9253,0.9231,0.7882,Vascular,Vascular,Vascular,Vascular,3,3,4,4,1
Epen,Astrocytes,Astrocytes,Astrocytes,0.8981,Vascular,0.0022,0.3347,moderate,1.3388,1.3388,4,2,4,2,True,0.7658,0.5601,0.0071,0.0093,Astrocytes,Astrocytes,Vascular,Vascular,0,1,5,4,6
GABA-1-1,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,1.0,Inh_LGE_like_FOXP1_DGKH,0.2089,0.7082,high,2.8329,2.8329,4,4,4,4,True,0.659,0.9447,1.0,0.7293,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,4,4,1,2,2
GABA-1-2,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP2,0.8771,Inh_LGE_like_FOXP1_DGKH,0.0161,0.485,moderate,1.9398,1.9398,4,3,4,3,False,0.6579,0.9269,0.0,0.355,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_LGE_like_FOXP2,3,5,3,5,2
GABA-2-1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,1.0,Inh_MGE_like_SST_ABI3BP,0.102,0.6604,high,2.6415,2.6415,4,4,4,4,True,0.7893,0.7788,0.9923,0.5772,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,5,3,3,5,2
GABA-2-2,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,1.0,Inh_MGE_like_SST_SLC24A2,0.1249,0.62,high,2.4801,2.4801,4,4,4,4,True,0.8021,0.6124,0.9972,0.567,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_ABI3BP,5,5,4,3,1
GABA-2-3,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,0.9625,Inh_MGE_like_SST_ABI3BP,0.1657,0.6721,high,2.6885,2.6885,4,3,4,4,True,0.8077,0.9334,0.012,0.9414,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_SLC24A2,Inh_CGE_like_CACNA2D3,Inh_MGE_like_SST_SLC24A2,3,1,5,1,2
GABA-3,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,1.0,Inh_MGE_like_SST_ABI3BP,0.2089,0.7933,high,3.1732,3.1732,4,4,4,4,True,0.8761,0.9883,1.0,0.8088,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,5,4,1,4,2
