,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0023717890278608,0.0,0.5729722189391311,0.0,0.0161339737292024,0.0005884648675633,0.1029632278555372,0.0001842038700241,0.2851865197793925,0.0323693226189,0.0,0.0,0.0,0.0001166160865749,0.0,0.0,0.0006154498276365,0.0011388016279497,5.27907398293849e-06,0.0296897738958046,1.8439880245654752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015743310994082,0.0,0.0,0.0
Glut-DACH2-6,0.0,0.0,0.0001052583786966,0.0,0.0,0.0,0.0016097396178689,0.0,0.1315216751832756,0.6295130983478573,0.0003902403964179,0.0989044138355064,3.222557928661989e-05,0.0,0.0038550919678023,0.004909697926902,0.0,0.0013601028652972,0.0382715192190213,0.4028090593162635,4.184031427755398e-05,0.0030643937940624,0.0,0.0,7.610980545362933e-05,0.0009887602386064,0.0006426549309368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005646253046444,0.0,0.0,0.0
Glut-DACH2-7,0.0,0.0,0.0005827056122994,0.0,0.0,0.0,0.0019864226363,0.0,0.3696060711147736,0.0019374957733613,0.00898785020804,0.0234520587480763,0.0021418049955929,0.0,0.4741495148761682,0.0475214812434315,0.0,0.0,0.0013374871712787,0.0078465624992374,0.0,0.0,2.764173011123791e-05,7.303580831731279e-05,0.0001822013351555,0.0659176325294491,0.0024248527514642,2.197219328601338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001092749842358,0.0,0.0,0.0
Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0047569281775268,0.0,0.0295758414603352,0.0664393792587206,0.0002246948445564,0.1105677312223123,0.0,0.0,0.0003514381623239,0.000655856801961,6.0163733229822913e-05,0.0012315455435121,0.3288658848806048,0.8959205523570981,0.0,0.0016630018759249,0.0,0.0,6.239969743499888e-05,0.0001299345507856,0.0002406270989894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-HVCra,0.0,0.0,0.0003144196461867,0.0,0.0,0.0,0.0,0.0,0.001016300589099,0.0,0.0036524674562169,0.0005959702581375,0.0007154325495602,0.0013180561475188,0.1107728888837755,0.0010555694590242,0.0,0.0,9.638806450655384e-05,1.5381770244610796e-05,0.0002506900391305,0.0010347112206681,0.0002565978326868,0.0,0.0023598418477838,0.0172114773260572,0.4237842629997531,0.0012351268804489,0.0,0.0,0.0,0.0,0.0,0.0002272812593727,0.0006325419772768,0.0,7.56146504182598e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025636937879816,0.0,0.0,0.0
Glut-DACH2-HVCra-Int,0.0,0.0,0.0004133722901814,0.0,0.0,0.0,0.0,0.0,0.0245855216410205,0.0,0.0130544777042558,0.0073528860291338,0.0018258007335981,0.0021886072943734,0.6453037318013519,0.0107499541428082,0.0,0.000724130167976,3.417673186508075e-05,3.27230459661803e-05,0.0,0.0,0.0,0.0,9.234585953062988e-05,0.0046050364397327,0.0074634466358269,4.595168503944667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-HVCx,0.0,0.0,0.0009381391129076,0.0,0.0,0.0,0.0006973490663312,0.0,0.0010225915471246,0.0,5.15197386606613e-05,0.0858576786846505,0.0,0.0,0.0050025942137339,6.324601547709654e-05,0.0,0.0,0.004191204879893,0.0021688433944722,0.08376269458249,0.218478449190249,0.0,0.0,0.0324415930973543,0.0020382884832937,0.4329314273251728,3.653692963767428e-05,0.0,0.000240987840235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-LMANco,0.0,0.0,0.0006267203579949,0.0,0.0,0.0,0.0,0.0,0.0020586971179373,0.0048221886270759,2.49238896363179e-05,0.0092103535120067,0.0,0.0,0.0,0.0,0.0512367260322878,0.0,0.0016927021037145,0.3959289298611304,0.0,0.0,0.0,0.0,0.0,0.0,0.009794627268716,0.0,0.0037728237172551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0002198544168121,0.0,0.7190717097909947,0.0003367908706002,0.0114404557291926,0.0062375350691854,0.0011311713500634,0.0,0.0270773570769636,0.0322714686372444,0.0,0.0,0.0020004010262501,0.0093348003614876,0.0,0.0,5.600046247873435e-05,0.0,0.0001077624481738,0.0193263670842503,0.0001167848334945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001854609320297,0.0,0.0,0.0
Glut-GABA,0.0,0.0,0.0064783812008018,0.0,0.0003236803130404,0.0056002851480591,0.0008397280482229,0.0001410678210869,0.0769654159840599,0.0004955105795248,0.0395377192819397,0.0171484457163608,0.0025921147928055,0.0011019780942813,0.2410153911378456,0.0093602307292622,0.0,0.0162765446998616,0.0005982385951986,0.01491049828248,0.0,7.107849094238115e-05,0.0062677569388668,0.0003544100812356,0.0083567312434412,0.0022594510811553,0.0175752102592736,0.0646003736448532,0.0025823882810929,0.0,0.0023255132012536,0.0,0.0,0.2821231858464489,0.3927292010902156,0.1029068533497114,0.0023036238075178,0.0,0.0406109739203862,4.7443721345878245e-05,0.0071754934803747,0.0,0.0,0.0,0.0163992300609825,0.0061086822900089,0.0005391142246846,0.0,0.0,0.0018818252704606
Glut-Im,0.0,0.0,0.004226671788337,0.0,0.0,0.0041333065624877,0.0049469964610558,0.0023261318508746,0.0226721814785114,0.0007378498019999,0.7987210282881302,0.0050894902267081,0.0222432082454314,0.0314008605521811,0.0273610930661896,0.0849349798595519,8.255892534353665e-05,0.0119460533359393,0.0002524860218644,0.0001651363229172,0.0,0.0,0.0390151882846074,0.092787259491867,0.0027777623200582,0.0454093988626933,0.0004599667712639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007478035050251,0.0,0.0,0.0
Glut-NB,0.0,0.0,1.2945607011325406e-05,0.0,0.0,0.0068195428215755,0.0,0.000231421540269,0.0058463159193993,0.0,0.1721467292686825,6.93164054470039e-05,0.0001335478126278,0.0005486865161256,0.0122196754103651,0.0004031435210297,0.0100497518595329,0.0007134387948339,2.413897365355284e-05,0.0,0.0,0.0,0.9053743488673994,0.6468619563835845,0.0016809567805923,0.0005171898287915,0.0003684658555979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617399206515167e-05,0.0,0.0554678288744087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004368436732609,0.0,0.0,0.0
Glut-NSC,0.5889373672280589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.298473352212725e-05,1.7315652985549342e-05,0.0,0.0,0.0002220011260758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584734264669216,0.0002809284802767,3.875058187385113e-05,0.0,1.461176593053645e-05,0.0,0.0,0.0,0.003591948638966,0.0,0.0,0.0,0.0,0.0,0.0500105165187764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024120491238326,0.0004804581888528,0.0072550576920091,0.0021949632089126
Glut-SATB2-1,0.0,0.0,0.0013452413092805,0.0,0.0,0.0,0.0,0.0,0.0016663568728157,0.0,0.0023610212757045,8.082574796678946e-05,0.0007087496015342,0.0,0.0027895853634038,0.0003342224376828,0.0,0.0,0.001045086012799,0.0,0.0,0.0010924837803107,0.0004308306570834,0.0148214979437952,0.8035998990095836,0.1414646620735643,0.83391192406892,0.8553309379106837,0.0,0.0,0.0007559755620184,0.0,0.0,0.0,0.0,7.604008950114288e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022983434276808,0.0,0.0,0.0072900910748671
Micro,0.1392037304759943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001300913477005,0.0,9.784440277300753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001231985148326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703432156794092,0.0002170814578681,0.0055998564700035,0.0005706854522234
OPC,0.0091839834047996,0.6650679650813693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3818790043603616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827047261315226,0.0138520447317007,0.0
Oligo-1,0.0,0.1070841805648159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004540381232632,0.0,0.0,0.0,0.0001994766786875,0.0,0.0,0.0,0.0008604866127564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.774811263212109e-05,0.0011399156485935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012889941576016,0.0082398905591387,0.9896292303280718,0.0082120998495826
Oligo-2,0.0021359183569899,0.0838248756594924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7224381194254e-06,0.0,0.0,0.0,0.0001577007241457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9305417356300465e-05,0.0001168668032068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927601686230615e-05,0.0032938197402957,0.9624335705120016,0.0032762183746638
Oligo-3,0.1117885023995484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024466906015283,0.001169295810902,0.4268128778907291,0.0032455835858462
