,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.9271,0.5685,0.5598,0.4636,0.4052,0.3994,0.3178,0.4286,0.3878,0.3294,0.3469,0.4344,0.4111,0.5831,0.5102,0.4227,0.6385,0.3236,0.3819,0.3936,0.4344,0.3353,0.6939,0.5277,0.3644,0.3528,0.5102,0.4169,0.4577,0.3411,0.551,0.5219,0.5452,0.5948,0.4694,0.5044,0.5627,0.4985,0.516,0.6414,0.4752,0.4519,0.4927,0.481,0.5335,0.5394,0.7434,0.7259,0.5743,0.9096
Astro-2,1.0,0.5845,0.449,0.4854,0.4329,0.4271,0.3397,0.4446,0.3863,0.3455,0.3513,0.328,0.4155,0.5875,0.3688,0.4213,0.5029,0.3338,0.3921,0.398,0.4563,0.363,0.5729,0.5671,0.4096,0.3571,0.5408,0.4388,0.5452,0.3805,0.6866,0.5379,0.5612,0.605,0.4796,0.5146,0.5787,0.5087,0.5321,0.5262,0.4913,0.4679,0.5204,0.4971,0.5496,0.5554,0.602,0.5962,0.5904,0.9738
Astro-3,0.9271,0.5977,0.3761,0.4985,0.4461,0.4402,0.3586,0.4519,0.3819,0.3528,0.3878,0.3411,0.4344,0.6093,0.3936,0.4286,0.516,0.3469,0.4111,0.3994,0.4694,0.3703,0.586,0.5685,0.4169,0.3644,0.4227,0.4577,0.5656,0.4052,0.5569,0.5452,0.5627,0.481,0.5044,0.5219,0.5918,0.5394,0.551,0.6735,0.4869,0.4752,0.5277,0.5102,0.5802,0.5743,0.6152,0.6093,0.6035,0.7638
Endo,0.9767,0.5758,0.3776,0.4592,0.4125,0.4067,0.3251,0.4242,0.3542,0.3309,0.3367,0.4563,0.3717,0.5758,0.3484,0.4184,0.4825,0.3134,0.3659,0.3601,0.4417,0.3834,0.5583,0.5466,0.4009,0.3426,0.5204,0.43,0.5277,0.3892,0.5292,0.5058,0.6662,0.4475,0.4708,0.5146,0.5641,0.4942,0.5,0.5233,0.465,0.4883,0.5146,0.4767,0.5525,0.5408,0.9446,0.8528,0.7362,1.0
Epen,0.9767,0.5656,0.4082,0.484,0.4431,0.4257,0.3848,0.6035,0.3382,0.3207,0.344,0.309,0.5627,0.6385,0.3907,0.3265,0.414,0.3324,0.5044,0.3149,0.3965,0.379,0.5539,0.5423,0.3499,0.5335,0.3673,0.4023,0.5073,0.3615,0.5248,0.519,0.5306,0.4315,0.5131,0.5015,0.5598,0.4606,0.4956,0.4898,0.4373,0.4548,0.4665,0.449,0.7551,0.723,0.6531,0.7201,0.8571,0.9767
GABA-1-1,0.2915,0.3207,0.4023,0.4373,0.4198,0.4723,0.4665,0.379,0.6414,0.3907,0.4781,0.3848,0.5131,0.519,0.6764,0.7988,0.344,0.4257,0.414,0.3499,0.449,0.3265,0.4665,0.3557,0.5073,0.5248,0.8047,0.5015,0.5015,0.3673,0.4898,0.484,0.4315,0.9096,0.8921,1.0,0.8455,0.3965,0.4431,0.4606,0.5248,0.6122,0.4082,0.3615,0.6939,0.5423,0.4315,0.3149,0.414,0.414
GABA-1-2,0.2974,0.3499,0.379,0.484,0.449,0.519,0.4431,0.4373,0.3848,0.344,0.3965,0.3382,0.4665,0.5248,0.6268,0.5977,0.3265,0.5131,0.4023,0.3207,0.4082,0.3324,0.7551,0.5306,0.4315,0.4257,0.5073,0.4606,0.5743,0.3557,0.5423,0.5481,0.5131,0.9708,0.9329,0.9242,0.9592,0.414,0.4723,0.5364,0.3732,0.5015,0.4548,0.3615,0.8601,0.5539,0.5918,0.3673,0.309,0.4315
GABA-2-1,0.2711,0.3819,0.5452,0.4052,0.3586,0.3061,0.3003,0.3411,0.2945,0.3236,0.277,0.4636,0.4577,0.4752,0.2828,0.3353,0.5627,0.2886,0.3469,0.3528,0.4461,0.5627,0.621,0.4694,0.4752,0.4869,0.5394,0.4227,0.6443,0.3878,0.5102,0.7318,0.6443,0.5569,0.5627,0.6035,0.7668,0.5277,0.5044,0.9796,0.8892,1.0,0.8659,0.691,0.481,0.4636,0.6152,0.3761,0.4111,0.3936
GABA-2-2,0.3003,0.3994,0.4869,0.4694,0.4461,0.4111,0.3819,0.4227,0.312,0.3353,0.3236,0.3411,0.3644,0.4052,0.3178,0.3061,0.4519,0.3703,0.3761,0.3469,0.4752,0.5685,0.6414,0.516,0.3586,0.3294,0.3936,0.4344,0.6443,0.4169,0.7434,0.7872,0.6851,0.4636,0.481,0.621,0.8222,0.5569,0.5335,1.0,0.8047,0.9738,0.7259,0.5452,0.4927,0.4985,0.4402,0.5948,0.3878,0.4956
GABA-2-3,0.3105,0.3688,0.4621,0.5029,0.4738,0.4446,0.4271,0.4504,0.3222,0.3571,0.3397,0.3455,0.398,0.4388,0.3513,0.328,0.4796,0.4038,0.3921,0.363,0.4679,0.5554,0.4913,0.5204,0.3863,0.3338,0.4096,0.4563,0.6837,0.4329,0.6239,0.6443,0.6239,0.6137,0.4971,0.5262,0.5321,0.5671,0.6152,0.9534,0.8936,0.9913,0.7755,0.6443,0.5146,0.5087,0.5671,0.5204,0.3746,0.3163
GABA-3,0.3032,0.4198,0.4548,0.4606,0.4257,0.379,0.3499,0.4023,0.3557,0.3324,0.3207,0.3382,0.3615,0.3965,0.344,0.3149,0.519,0.3265,0.3673,0.3848,0.4898,0.4082,0.484,0.4781,0.3907,0.309,0.4373,0.4431,0.656,0.414,0.691,0.7143,0.6735,0.4665,0.4723,0.6268,0.6443,0.6968,0.5364,0.9096,1.0,0.7318,0.8746,0.863,0.5015,0.5073,0.6327,0.4315,0.449,0.5102
