,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Glut-DACH2-HVCra-Pre,-0.19958,-0.15212,0.19367,0.10275,0.19342,0.1998,0.30257,0.20488,0.39863,0.29099,0.36684,0.37011,0.38505,0.31295,0.45048,0.38899,0.10621,0.32297,0.28546,0.27612,0.14951,0.17951,-0.04598,-0.00095,0.30604,0.39033,0.32831,0.24328,-0.03943,0.20723,-0.0759,-0.07866,-0.07746,0.20205,0.14247,0.07208,-0.07378,-0.0563,-0.04818,-0.11574,-0.05971,-0.09958,-0.12756,-0.05845,0.00402,0.00239,-0.0956,-0.14876,-0.14715,-0.18223
Glut-DACH2-HVCx,-0.173,-0.1251,0.21471,0.16378,0.21478,0.18797,0.25837,0.16332,0.27868,0.31569,0.22638,0.34589,0.21578,0.1533,0.28077,0.25539,0.193,0.27079,0.30115,0.31255,0.3071,0.32008,0.02897,0.06457,0.31613,0.29621,0.33698,0.27785,0.04338,0.2737,-0.05062,-0.03981,-0.02071,0.13323,0.08979,0.07315,-0.01225,0.02301,0.0201,-0.06328,0.01211,-0.00565,-0.05565,0.04027,0.00873,0.00935,0.00627,-0.12892,-0.10103,-0.11028
Glut-DACH2-LMANco,-0.16987,-0.10169,0.18362,0.12981,0.13195,0.16003,0.22915,0.11978,0.2622,0.33787,0.19627,0.30336,0.1723,0.11206,0.22146,0.20066,0.30174,0.2543,0.28946,0.36031,0.24109,0.21173,-0.00016,0.015,0.26514,0.21371,0.24256,0.234,0.13777,0.23584,-0.00495,-0.00728,0.00912,0.10834,0.05138,0.03218,-0.05432,0.05791,0.0967,-0.03477,0.07706,0.04174,0.02933,0.13877,-0.02498,-0.01032,-0.03543,-0.11677,-0.07898,-0.12053
Glut-DACH2-LMANsh,-0.1751,-0.12558,0.18707,0.065,0.10795,0.14228,0.27094,0.15969,0.42025,0.30879,0.32443,0.35436,0.35521,0.26595,0.40349,0.35913,0.18498,0.30424,0.29658,0.33999,0.1126,0.1071,-0.03187,-0.00411,0.27791,0.35941,0.26909,0.20245,0.01127,0.15871,-0.06503,-0.06985,-0.05518,0.15645,0.10341,0.04785,-0.06093,-0.03521,-0.00798,-0.09817,-0.03176,-0.07138,-0.08907,-0.02171,-0.00172,-0.00892,-0.07028,-0.13975,-0.09643,-0.15231
Glut-GABA,-0.23673,-0.16736,0.18148,0.05285,0.1015,0.1319,0.22578,0.13698,0.38202,0.25938,0.33629,0.3285,0.34502,0.25077,0.41148,0.36824,0.11184,0.27608,0.27304,0.25941,0.14101,0.13126,-0.01238,0.03507,0.29642,0.38127,0.30845,0.24594,-0.02105,0.1314,-0.07811,-0.0763,-0.06709,0.29128,0.21009,0.20956,0.02456,-0.0451,-0.02491,-0.08302,-0.06596,-0.05827,-0.09511,-0.04171,0.07965,0.05004,-0.09223,-0.16685,-0.16254,-0.18518
Glut-Im,-0.18532,-0.13253,0.23956,0.07912,0.1792,0.21767,0.313,0.19943,0.34255,0.28849,0.50291,0.36564,0.32168,0.25806,0.37207,0.34997,0.0918,0.3303,0.26851,0.26799,0.14596,0.16368,0.09586,0.1416,0.30607,0.3717,0.24169,0.22123,-0.04249,0.19928,-0.10403,-0.089,-0.07882,0.21409,0.17082,0.04263,0.00794,-0.05596,-0.05484,-0.09973,-0.07608,-0.07539,-0.13612,-0.09011,0.03815,0.04145,-0.0593,-0.13543,-0.1348,-0.16227
Glut-NB,-0.06556,0.04357,0.10128,0.08154,0.11711,0.14142,0.10768,0.10809,0.02057,0.06051,0.1557,0.05979,0.06375,0.10595,0.05051,0.03059,-0.0021,0.10343,0.09263,0.03009,0.06778,0.03715,0.43874,0.4197,0.07221,0.0539,0.04799,0.08642,0.00557,0.04409,0.04659,0.06217,0.0555,0.03943,0.06268,0.01934,0.29339,-0.01002,0.02919,0.05592,-0.03837,0.01132,-0.01742,-0.03941,0.06146,0.07146,0.02729,0.04799,-0.00299,-0.04216
Glut-NSC,0.42623,0.23351,-0.11795,-0.01715,-0.08444,-0.09543,-0.16308,-0.06196,-0.1869,-0.19787,-0.16758,-0.25713,-0.12673,-0.0637,-0.16798,-0.19546,-0.0758,-0.17725,-0.17787,-0.21321,-0.10828,-0.1628,0.23819,0.17758,-0.1633,-0.17772,-0.16746,-0.10661,0.00669,-0.16426,0.07949,0.07123,0.08552,-0.07223,-0.00699,0.01619,0.24881,0.00904,0.02255,0.05153,-0.04709,-0.00911,0.00754,-0.0245,0.11028,0.08625,0.32588,0.25533,0.23242,0.32484
Glut-SATB2-1,-0.23654,-0.17824,0.20678,0.12784,0.22464,0.19867,0.30814,0.21414,0.31989,0.29127,0.30773,0.33701,0.28047,0.21895,0.35367,0.29265,0.11769,0.30468,0.2903,0.28457,0.22836,0.24131,-0.03484,0.04479,0.36946,0.36268,0.38973,0.32002,-0.02509,0.21491,-0.0757,-0.07002,-0.07142,0.1548,0.10201,0.06167,-0.08539,-0.04841,-0.05214,-0.1039,-0.05887,-0.06899,-0.11042,-0.04593,-0.00126,-0.00848,-0.14584,-0.18059,-0.20613,-0.23422
Micro,0.43964,0.31639,-0.1844,-0.0632,-0.15739,-0.16992,-0.24223,-0.15356,-0.16979,-0.21692,-0.22034,-0.25853,-0.14864,-0.08562,-0.17358,-0.12343,0.01671,-0.25992,-0.18227,-0.17344,-0.10232,-0.18773,0.15414,0.07042,-0.13456,-0.17319,-0.13323,-0.10149,-0.07055,-0.17513,0.02158,0.00303,0.03365,-0.05564,-0.01984,0.02842,0.18988,-0.00885,-0.00365,0.00321,-0.04228,-0.02809,-0.00146,-0.0204,0.09,0.0711,0.58158,0.25789,0.37966,0.46377
OPC,0.29604,0.37273,-0.15282,-0.00478,-0.08751,-0.10734,-0.17432,-0.06942,-0.19998,-0.23658,-0.2117,-0.2804,-0.13428,-0.08445,-0.1883,-0.20326,-0.07892,-0.20651,-0.18715,-0.21605,-0.13844,-0.17334,0.13127,0.10745,-0.19844,-0.21475,-0.17065,-0.12202,0.00374,-0.18649,0.06303,0.08801,0.08082,-0.09886,-0.0447,0.00802,0.14497,-0.0095,0.03693,0.04179,-0.04303,-0.01995,0.01084,-0.03945,0.04309,0.046,0.14453,0.51249,0.21989,0.16141
Oligo-1,0.21698,0.46338,-0.1432,-0.06182,-0.0947,-0.14099,-0.1578,-0.08818,-0.0803,-0.16762,-0.13807,-0.18504,-0.04965,-0.03002,-0.08942,-0.07256,0.04866,-0.18889,-0.11922,-0.14724,-0.08966,-0.15735,0.12304,0.08243,-0.10593,-0.10552,-0.0827,-0.05092,-0.02922,-0.11524,0.04374,0.02765,0.03978,0.0013,0.01546,0.01808,0.13408,0.01264,0.01221,0.03203,0.01432,-0.01294,0.01082,0.02144,0.07619,0.06555,0.33233,0.2493,0.62939,0.3076
Oligo-2,0.26036,0.47921,-0.15854,-0.0878,-0.1379,-0.17999,-0.20929,-0.14336,-0.11202,-0.19124,-0.16751,-0.21047,-0.09923,-0.07543,-0.13925,-0.08788,0.04963,-0.23924,-0.14248,-0.16436,-0.08227,-0.15757,0.14873,0.09427,-0.11191,-0.12374,-0.08831,-0.06765,-0.03986,-0.1316,0.05804,0.03806,0.05268,-0.02343,0.00908,0.03784,0.18388,0.02469,0.01325,0.04417,0.01819,0.00139,0.03349,0.03482,0.08966,0.08231,0.37443,0.26293,0.65005,0.37021
Oligo-3,0.51363,0.43055,-0.19502,-0.07084,-0.14514,-0.18933,-0.23222,-0.12412,-0.16941,-0.23808,-0.20563,-0.28271,-0.13948,-0.09569,-0.17643,-0.14925,0.00929,-0.25906,-0.1739,-0.19313,-0.12133,-0.2123,0.11376,0.06213,-0.18302,-0.19904,-0.16519,-0.12221,-0.03923,-0.19291,0.04575,0.0117,0.04243,-0.05879,-0.02603,-0.01034,0.14156,0.00057,0.00703,-0.01059,-0.02565,-0.0532,-0.00719,-0.006,0.06703,0.06285,0.34834,0.30662,0.51752,0.40318
