,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,2.8567,0.5803,0.1484,0.2747,0.1845,0.1854,0.124,0.2169,0.1744,0.1253,0.1485,0.0802,0.1891,0.238,0.1666,0.1851,0.3118,0.1244,0.1627,0.1708,0.2103,0.1188,0.4385,0.3722,0.1551,0.1458,0.1563,0.1895,0.2778,0.1395,0.3769,0.3387,0.3749,0.2718,0.2869,0.3158,0.4515,0.3166,0.341,0.3204,0.2835,0.2698,0.3114,0.3111,0.3688,0.3729,0.6174,0.6037,0.5801,1.1776
Astro-2,2.9048,0.5905,0.1404,0.2866,0.1835,0.1785,0.1145,0.2096,0.15,0.1137,0.1273,0.06,0.1696,0.2195,0.144,0.1624,0.3044,0.0975,0.1543,0.1616,0.2194,0.1292,0.452,0.5304,0.1585,0.13,0.1553,0.1981,0.2865,0.1357,0.3792,0.3447,0.3828,0.2625,0.2806,0.3134,0.4627,0.3202,0.3398,0.3251,0.2869,0.274,0.3182,0.3096,0.3744,0.3817,0.6325,0.6176,0.5934,0.9349
Astro-3,3.3361,0.5869,0.1497,0.2879,0.1956,0.1911,0.1338,0.2195,0.1483,0.1214,0.1521,0.076,0.1844,0.225,0.155,0.1745,0.3046,0.1126,0.1619,0.1556,0.2216,0.1351,0.4285,0.3747,0.1645,0.1365,0.164,0.2143,0.2783,0.1545,0.3665,0.3329,0.3729,0.2722,0.2954,0.3061,0.451,0.3264,0.3352,0.3154,0.2767,0.2592,0.3139,0.3091,0.3747,0.3822,0.622,0.6128,0.5928,0.6602
Endo,0.9263,0.6113,0.1054,0.2431,0.1322,0.1224,0.0415,0.1607,0.0877,0.0531,0.0705,0.0,0.1033,0.1794,0.0842,0.1315,0.2649,0.0036,0.0981,0.0869,0.1759,0.098,0.643,0.6801,0.1158,0.0709,0.1057,0.1648,0.2451,0.1058,0.3603,0.3192,0.375,0.2343,0.2536,0.3122,0.5252,0.2888,0.3074,0.324,0.2532,0.2734,0.3197,0.2707,0.3792,0.3753,0.7576,0.5785,0.6593,2.6692
Epen,1.3736,0.5571,0.2462,0.3164,0.2814,0.2585,0.2013,0.3276,0.1533,0.1209,0.1557,0.0567,0.2499,0.3281,0.1987,0.1241,0.2347,0.153,0.1591,0.1074,0.2034,0.1781,0.4523,0.4232,0.1539,0.2253,0.1677,0.2164,0.823,0.1465,0.3518,0.3572,0.3724,0.2584,0.3356,0.3328,0.4781,0.3014,0.3354,0.3151,0.2653,0.285,0.2987,0.2853,0.4336,0.425,0.5937,0.5848,0.5866,0.928
GABA-1-1,0.1653,0.2717,0.344,0.3763,0.3679,0.3928,0.3878,0.3602,0.3909,0.3369,0.3748,0.3264,0.4094,0.4125,0.4274,0.4223,0.3182,0.3625,0.3544,0.3243,0.3471,0.2827,0.2983,0.3231,0.3853,0.3944,0.4135,0.3855,0.3383,0.3184,0.3857,0.3964,0.3664,0.6972,0.5167,2.8415,0.4022,0.3502,0.3614,0.3765,0.3474,0.3755,0.3449,0.3348,0.4484,0.4203,0.2356,0.2597,0.2351,0.1731
GABA-1-2,0.174,0.2948,0.3083,0.3606,0.3546,0.3858,0.3449,0.354,0.3017,0.2719,0.3067,0.2592,0.3618,0.3944,0.3586,0.3395,0.2522,0.3169,0.3223,0.2416,0.3076,0.2407,0.3617,0.3828,0.3251,0.3242,0.3523,0.3376,0.3565,0.2749,0.3971,0.4223,0.38,0.881,0.9994,1.9318,0.6924,0.3367,0.352,0.3933,0.3132,0.3654,0.3444,0.2937,0.5047,0.4348,0.2478,0.3051,0.237,0.1979
GABA-2-1,0.1835,0.2945,0.3359,0.3059,0.2563,0.2225,0.2175,0.2369,0.2153,0.2265,0.1945,0.2123,0.2291,0.2665,0.2022,0.2243,0.346,0.2115,0.244,0.245,0.3516,0.3046,0.4033,0.4072,0.2509,0.2233,0.2796,0.3151,0.4631,0.2718,0.5687,0.5936,0.5726,0.3427,0.3688,0.4457,0.4898,0.6102,0.5444,0.9496,0.8477,2.7638,0.7085,0.6155,0.4048,0.4009,0.3889,0.2882,0.3236,0.2998
GABA-2-2,0.1587,0.2603,0.3424,0.3183,0.3136,0.2782,0.2625,0.2897,0.1696,0.2033,0.1906,0.1905,0.2393,0.277,0.1974,0.1575,0.2829,0.2417,0.2398,0.2089,0.3123,0.2651,0.4071,0.4222,0.2161,0.1824,0.239,0.2699,0.4679,0.257,0.5608,0.6476,0.5919,0.2958,0.3344,0.3906,0.4488,0.6173,0.5285,2.4487,0.8892,1.4851,0.6861,0.5713,0.3861,0.3947,0.2728,0.3008,0.2459,0.2125
GABA-2-3,0.144,0.2543,0.3467,0.3859,0.3678,0.3243,0.3139,0.3347,0.2115,0.2419,0.2266,0.2181,0.2864,0.3149,0.2489,0.2051,0.3455,0.2809,0.2712,0.2487,0.3313,0.2751,0.3535,0.3713,0.2567,0.2148,0.2684,0.3313,0.5017,0.2864,0.5384,0.5948,0.5668,0.3525,0.3619,0.381,0.8927,0.6087,0.5557,0.7344,0.734,2.6726,0.6459,0.6136,0.3685,0.3719,0.2872,0.2694,0.2452,0.1918
