,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.8785,0.2763,0.1953,0.1297,0.1053,0.1092,0.0861,0.2737,0.321,0.0885,0.0937,0.1776,0.1114,0.2946,0.1643,0.1072,0.3293,0.0872,0.0983,0.1742,0.1159,0.085,0.4401,0.3077,0.1806,0.091,0.221,0.1136,0.1329,0.0897,0.2223,0.1737,0.2122,0.1266,0.14,0.1572,0.3971,0.1623,0.1801,0.1677,0.1363,0.1237,0.1524,0.148,0.1871,0.203,0.4828,0.4315,0.3381,0.8879
Astro-2,0.8771,0.2733,0.1068,0.1494,0.1244,0.1223,0.1003,0.129,0.3018,0.0992,0.1015,0.0969,0.1203,0.1341,0.1083,0.1183,0.1569,0.098,0.1113,0.1165,0.1315,0.1028,0.3426,0.3437,0.2883,0.1041,0.2683,0.1267,0.146,0.1054,0.4025,0.1931,0.2252,0.1368,0.1428,0.1655,0.2592,0.1753,0.1867,0.1808,0.1531,0.1397,0.1702,0.1611,0.2001,0.2161,0.3288,0.3077,0.2894,0.9125
Astro-3,1.0,0.2747,0.1068,0.1508,0.1258,0.1237,0.1017,0.1304,0.2989,0.1006,0.1082,0.0983,0.1217,0.1355,0.1112,0.1197,0.1583,0.0994,0.1144,0.1127,0.1329,0.1029,0.248,0.2219,0.3113,0.1042,0.2884,0.1281,0.1474,0.1097,0.2015,0.1881,0.2091,0.1411,0.1545,0.1625,0.2606,0.1822,0.1946,0.1767,0.1442,0.1382,0.1717,0.1669,0.2219,0.2368,0.5025,0.3091,0.2908,0.7911
Endo,0.7857,0.2789,0.1025,0.1323,0.1139,0.1098,0.0887,0.1162,0.2489,0.0898,0.091,0.2028,0.1009,0.2946,0.0949,0.1118,0.3517,0.0875,0.0993,0.0963,0.1236,0.1566,0.3484,0.3517,0.1078,0.0923,0.1042,0.1185,0.2186,0.106,0.1896,0.2425,0.4746,0.1263,0.1389,0.1648,0.3138,0.155,0.1598,0.1827,0.1355,0.1506,0.1763,0.1465,0.2147,0.2056,0.6562,0.422,0.4958,0.9263
Epen,0.7831,0.2673,0.3672,0.1595,0.1308,0.1254,0.1104,0.3271,0.098,0.0931,0.1008,0.0909,0.1206,0.3444,0.1087,0.0943,0.2151,0.0967,0.1022,0.092,0.1123,0.1069,0.4353,0.21,0.0994,0.3273,0.1037,0.1142,0.3043,0.0955,0.1871,0.1941,0.2017,0.123,0.1748,0.1642,0.2531,0.1434,0.2554,0.1551,0.128,0.1337,0.14,0.1367,0.2293,0.2192,0.3228,0.4569,0.6305,0.7723
GABA-1-1,0.0815,0.0874,0.1049,0.1415,0.1306,0.1777,0.1654,0.1187,0.426,0.1029,0.1376,0.0976,0.2098,0.2199,0.3687,0.48,0.0914,0.1243,0.1161,0.0959,0.109,0.0887,0.1619,0.0944,0.2096,0.1847,0.3691,0.1548,0.2691,0.0928,0.1599,0.1923,0.1273,0.7911,0.6959,1.0,0.3871,0.1136,0.1214,0.1457,0.1977,0.2861,0.1069,0.0993,0.3962,0.2438,0.4051,0.0861,0.1638,0.0826
GABA-1-2,0.0841,0.0985,0.1074,0.168,0.1526,0.2032,0.1331,0.1482,0.1001,0.0939,0.1036,0.0925,0.1739,0.2225,0.275,0.2332,0.0912,0.2179,0.1138,0.0899,0.1055,0.0887,0.2926,0.1949,0.1186,0.1161,0.1441,0.1239,0.2969,0.0954,0.2337,0.2463,0.1873,0.8733,0.7407,0.8771,0.7968,0.1212,0.1402,0.2124,0.1094,0.1803,0.1299,0.0969,0.639,0.2605,0.3768,0.1018,0.0875,0.2028
GABA-2-1,0.0807,0.1152,0.1332,0.1235,0.104,0.0892,0.0878,0.0967,0.0865,0.0935,0.0818,0.0853,0.2115,0.1061,0.0829,0.092,0.1407,0.0841,0.0985,0.1002,0.1449,0.2553,0.1646,0.1769,0.1021,0.0906,0.2394,0.1265,0.3404,0.1082,0.2191,0.3651,0.3413,0.2285,0.2501,0.2672,0.3715,0.2731,0.209,0.898,0.7156,1.0,0.6338,0.422,0.1705,0.1591,0.3315,0.2559,0.1298,0.1178
GABA-2-2,0.0875,0.1117,0.1597,0.1505,0.1464,0.1262,0.1139,0.1322,0.0886,0.0948,0.0922,0.091,0.1024,0.1235,0.0935,0.0864,0.1291,0.1059,0.1041,0.0962,0.1425,0.2639,0.1826,0.1896,0.0992,0.0897,0.1008,0.1184,0.3052,0.1097,0.3346,0.4426,0.3697,0.2176,0.1549,0.2608,0.5256,0.2628,0.2147,1.0,0.5216,0.898,0.4793,0.236,0.1648,0.1762,0.1209,0.3125,0.1078,0.253
GABA-2-3,0.0929,0.1073,0.149,0.1961,0.1662,0.1328,0.1274,0.1419,0.0963,0.1014,0.1,0.0987,0.125,0.13,0.1057,0.0951,0.1454,0.1182,0.1143,0.1042,0.1356,0.2728,0.157,0.1768,0.1089,0.0975,0.1124,0.1387,0.3869,0.1226,0.2212,0.2551,0.2425,0.1529,0.302,0.1891,0.3266,0.2693,0.2313,0.6785,0.7403,0.9731,0.3036,0.4406,0.1713,0.1827,0.3151,0.2842,0.1028,0.094
