,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.9271,0.5598,0.4723,0.4431,0.3848,0.3965,0.309,0.5539,0.5248,0.3207,0.344,0.4257,0.4023,0.5656,0.4723,0.3907,0.6356,0.3149,0.3615,0.4898,0.414,0.3032,0.7172,0.6589,0.4723,0.3324,0.5015,0.4082,0.449,0.3265,0.5364,0.5015,0.5306,0.4373,0.4606,0.484,0.7055,0.4898,0.5073,0.4956,0.4548,0.4315,0.4781,0.4723,0.5131,0.5248,0.7347,0.7172,0.6706,0.9767
Astro-2,0.9242,0.586,0.3761,0.4869,0.4344,0.4286,0.3469,0.4461,0.5277,0.3411,0.3528,0.3294,0.4227,0.4577,0.3819,0.4169,0.4985,0.3353,0.3936,0.4111,0.4519,0.3586,0.6443,0.6414,0.5452,0.3644,0.5335,0.4402,0.481,0.3703,0.6968,0.5394,0.5627,0.4636,0.4752,0.5102,0.5802,0.5219,0.5335,0.5277,0.4927,0.4694,0.516,0.5044,0.5452,0.5569,0.6035,0.5977,0.5918,0.9825
Astro-3,1.0,0.5889,0.3732,0.4898,0.4373,0.4315,0.3499,0.449,0.5102,0.344,0.379,0.3324,0.4257,0.4606,0.3907,0.4198,0.5015,0.3382,0.4023,0.3965,0.4548,0.3557,0.5773,0.5627,0.5569,0.3615,0.5452,0.4431,0.484,0.3848,0.5481,0.5364,0.5539,0.4723,0.4956,0.5073,0.5831,0.5306,0.5423,0.5248,0.4781,0.4665,0.519,0.5131,0.5627,0.5714,0.7434,0.6006,0.5948,0.9096
Endo,0.898,0.5685,0.3761,0.4519,0.4111,0.3994,0.3178,0.4169,0.4752,0.3236,0.3294,0.4315,0.3703,0.5685,0.3469,0.4052,0.6735,0.312,0.3644,0.3528,0.4344,0.4227,0.6327,0.6297,0.3936,0.3353,0.3819,0.4227,0.5219,0.3878,0.5219,0.5743,0.7551,0.4402,0.4636,0.4985,0.6239,0.4869,0.4927,0.516,0.4577,0.481,0.5102,0.4752,0.5394,0.5335,0.863,0.7055,0.7289,0.9767
Epen,0.8994,0.5729,0.6239,0.4971,0.4504,0.4388,0.398,0.6312,0.3513,0.328,0.363,0.3163,0.4271,0.6312,0.3921,0.3338,0.4927,0.3455,0.3688,0.3222,0.4038,0.3863,0.707,0.5437,0.3571,0.5379,0.3746,0.4096,0.5977,0.3397,0.5262,0.5321,0.5379,0.4329,0.5146,0.5029,0.5671,0.4738,0.5773,0.4913,0.4446,0.4563,0.4679,0.4621,0.5554,0.5496,0.5904,0.7187,0.8586,0.8994
GABA-1-1,0.2915,0.3207,0.3848,0.4606,0.4431,0.5015,0.4898,0.4198,0.7697,0.379,0.4548,0.3615,0.5248,0.5306,0.6851,0.793,0.3382,0.4315,0.414,0.3557,0.3965,0.3265,0.4461,0.3499,0.5743,0.5073,0.691,0.4781,0.5394,0.344,0.484,0.5131,0.4373,0.9096,0.8863,1.0,0.691,0.4082,0.4257,0.4665,0.5277,0.6093,0.3907,0.3673,0.6968,0.5423,0.6006,0.3149,0.4286,0.2974
GABA-1-2,0.3003,0.3644,0.3936,0.4985,0.481,0.5277,0.4519,0.4752,0.3703,0.3469,0.3819,0.3411,0.5044,0.5394,0.6152,0.5627,0.3353,0.5277,0.4111,0.3294,0.3878,0.3236,0.6268,0.5219,0.4227,0.4169,0.4694,0.4344,0.6035,0.3528,0.5452,0.551,0.516,0.9738,0.9359,0.9242,0.9534,0.4286,0.4636,0.5335,0.3994,0.5102,0.4461,0.3586,0.8659,0.5569,0.5918,0.3761,0.3178,0.4344
GABA-2-1,0.2915,0.414,0.449,0.4315,0.3848,0.3324,0.3265,0.3615,0.3207,0.3499,0.2974,0.3149,0.481,0.3907,0.3032,0.344,0.4606,0.309,0.3673,0.3732,0.4665,0.5714,0.4898,0.5015,0.379,0.3382,0.5335,0.4373,0.6647,0.3965,0.5306,0.6822,0.6706,0.5773,0.6006,0.6239,0.6997,0.5539,0.5248,0.9796,0.8892,1.0,0.8659,0.7055,0.4956,0.484,0.6268,0.5452,0.4431,0.4198
GABA-2-2,0.3105,0.4038,0.4913,0.4796,0.4738,0.4388,0.4096,0.4504,0.3163,0.3455,0.3338,0.328,0.3746,0.4329,0.3397,0.3047,0.4446,0.3863,0.3805,0.3513,0.4679,0.5641,0.5146,0.5204,0.363,0.3222,0.3688,0.4213,0.6574,0.398,0.6749,0.7216,0.6924,0.57,0.4854,0.6224,0.8149,0.5612,0.5379,1.0,0.7449,0.9796,0.7332,0.5496,0.4971,0.5087,0.4271,0.602,0.3921,0.4913
GABA-2-3,0.3207,0.3848,0.484,0.5364,0.5073,0.4548,0.4431,0.4723,0.3382,0.3615,0.3557,0.3499,0.4373,0.449,0.379,0.3324,0.4781,0.4198,0.4082,0.3732,0.4606,0.551,0.4956,0.519,0.3907,0.344,0.4023,0.4665,0.691,0.4315,0.5539,0.5714,0.5656,0.4898,0.6327,0.5306,0.6181,0.5773,0.5598,0.828,0.895,0.9942,0.5889,0.7172,0.5131,0.5248,0.5714,0.5364,0.3673,0.3265
