gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LOC116184313,3.976629712534891e-75,-1.806212252621507,0.197,0.594,6.172922302767911e-71
LOC110475443,4.479946147757569e-75,0.7274577300152334,0.993,0.965,6.954220405164075e-71
RASGEF1A,6.778346641984981e-75,-0.5277312406717325,0.997,1,1.0522027492353285e-70
ADARB2,1.3847942328912494e-74,-1.315900140799515,0.704,0.895,2.1496160877170865e-70
MITF,3.3160551157723133e-74,1.3894297524648427,0.757,0.506,5.147512356213362e-70
CACNB2,1.2346937096416464e-73,1.1674991362077911,0.824,0.574,1.9166150454767277e-69
SEMA6A,1.3815216193174592e-73,1.8437074621084357,0.467,0.164,2.144536009666492e-69
RAPGEF2,2.4192348291507074e-73,0.7096301769620306,0.993,0.972,3.755378225290643e-69
CHL1,2.5195988876525166e-73,1.7368119354058331,0.52,0.205,3.9111733533030015e-69
BAALC,1.8441445839091775e-72,3.1613600722451975,0.214,0.029,2.862665637602216e-68
ADAMTS6,3.454396496991312e-72,1.6978675554611868,0.532,0.217,5.362259682279613e-68
THRB,8.90857474411425e-72,1.5842434842524704,0.616,0.306,1.382878057528855e-67
CHRM3,1.9115242802410376e-71,1.9553021293256845,0.497,0.198,2.9672591402181627e-67
RYR2,4.991849987381775e-71,-0.5400294698962709,0.986,0.996,7.748848735412729e-67
GPR158,7.004053269665281e-71,1.574932162519543,0.59,0.289,1.0872391890501416e-66
FNDC3B,1.172431856832848e-70,-2.7497552081929144,0.092,0.458,1.81996597136163e-66
RAI2,1.3305396477723953e-70,-0.9421003086080049,0.712,0.887,2.0653966952370894e-66
COL4A2,2.0619750302685773e-70,-1.978727360333451,0.175,0.553,3.2008038394859126e-66
LMO3,1.8540487534785026e-69,-1.0836803973788647,0.616,0.847,2.8780398800246797e-65
GRM3,3.357508917459172e-69,2.6623666491931592,0.267,0.054,5.211861092571872e-65
SCAI,8.082469591586802e-69,1.164947464506402,0.775,0.529,1.2546417547020193e-64
ADD3,1.7733001157770459e-68,-1.262901072941473,0.441,0.746,2.7526937697207083e-64
SORCS2,1.963358939512608e-68,1.4333748080397564,0.694,0.429,3.047722081805421e-64
ZEB2,2.0546355394067066e-68,-0.5680697265815686,0.999,1,3.18941074782103e-64
ATOH8,3.6508700984055984e-68,-2.8900033774721403,0.081,0.435,5.66724565375501e-64
PDE4D,9.897615880393554e-68,-0.6985469577471048,0.923,0.98,1.5364069131134914e-63
PDE8A,1.5249240267469286e-67,1.9172262965069655,0.403,0.13,2.3671395667192572e-63
GDA,6.161672627845912e-67,1.8142792783903137,0.475,0.188,9.564764420205209e-63
LOC110474508,1.6132613497990107e-66,-1.5365047470575988,0.286,0.645,2.5042655932930044e-62
ATP2B1,1.9346219999037136e-66,0.8767743002524768,0.936,0.856,3.0031137304505347e-62
SRPK2,2.012495344397683e-66,1.5781641886058448,0.565,0.266,3.1239965231085232e-62
CCSER1,3.78959814302667e-66,0.6966528835484735,0.978,0.937,5.8825931974203e-62
IGSF11,1.073922887352276e-65,2.165997879119701,0.376,0.119,1.6670504980369382e-61
GABBR2,3.6917794499137234e-65,0.5954536805021129,0.993,0.984,5.7307492401010725e-61
NKAIN3,3.088496195393783e-64,3.96333453529492,0.152,0.014,4.79427264410977e-60
RASL10B,7.785227946157799e-64,-1.9653480458614732,0.15,0.502,1.208500934082075e-59
ROBO1,2.614637825166913e-63,2.7813830399869692,0.218,0.037,4.058702296006599e-59
NFIA,3.476430948166748e-63,-0.7055293150724353,0.905,0.972,5.396463760839243e-59
HOMER2,5.715669097876075e-63,3.3853955693351403,0.166,0.019,8.87243314063303e-59
SSBP2,5.957945709968532e-63,-1.1345847073333188,0.487,0.77,9.248519125584152e-59
GRIA3,1.1594558839684816e-62,0.8161880084194837,0.962,0.866,1.799823368684274e-58
CELF2,1.3399671728821162e-62,0.42619787378277607,1,1,2.080031042464909e-58
MTUS2,1.8719447501884096e-62,-0.6857743007062533,0.88,0.965,2.9058198357174682e-58
SETBP1,2.1577006710890196e-62,0.5871422138576992,0.99,0.957,3.349398751731485e-58
NPVF,4.176692779495509e-62,3.3297398718099576,0.188,0.027,6.483480201610878e-58
FAM13A,6.953550870692499e-62,-1.7120786435779287,0.214,0.562,1.0793997016575967e-57
HTR1F,1.2013795078287034e-61,-0.9087749925944082,0.734,0.908,1.8649014100024964e-57
MCF2L2,1.486785717282184e-61,-1.3182747025953268,0.426,0.703,2.307937468937134e-57
CDKL5,2.235438650844742e-61,-0.6341745680666799,0.941,0.977,3.4700714177062927e-57
SORL1,2.5688773239657138e-61,-2.5411681581454113,0.085,0.421,3.9876682699919774e-57
COL4A1,2.596047901779747e-61,-1.7234162625828446,0.22,0.561,4.0298451579327013e-57
CAMK1D,3.0168295743181982e-61,-1.023027601997819,0.731,0.88,4.683024548214139e-57
ARNT2,3.892802618625582e-61,-1.3304858933084476,0.296,0.646,6.042797504892491e-57
GALNT18,1.0655651759729675e-60,1.1961183991821844,0.728,0.488,1.6540768226628374e-56
LOC110476962,1.4640121835676173e-60,-0.6195032300776993,0.921,0.983,2.272586112552012e-56
RARB,1.762278151261789e-60,2.5499163523548023,0.277,0.069,2.735584374203675e-56
PDZRN3,2.5750344502891696e-60,-3.598536777659569,0.043,0.36,3.997225977183878e-56
ZHX3,2.774602381202838e-60,2.402571915997082,0.262,0.06,4.307015276341166e-56
PLPP4,3.448759658001518e-60,-2.8822720923567946,0.071,0.396,5.353509617115757e-56
TENM3,4.34058119542556e-60,0.5828994441902347,0.991,0.97,6.737884189659097e-56
SLC35F1,8.749065820275843e-60,2.756899687861448,0.202,0.033,1.358117487281419e-55
PRUNE2,1.3844091656809255e-59,-2.1412418841962904,0.127,0.462,2.1490183478865005e-55
LOC110470605,1.7322259042091178e-59,-2.36802145256008,0.127,0.462,2.6889342711038135e-55
CHN1,7.783290099859373e-59,0.885187274143389,0.873,0.691,1.2082001222011705e-54
LOC110473608,1.1326305156870497e-58,1.272793278220066,0.626,0.332,1.7581823495010074e-54
LNX1,1.8275559321456665e-58,2.915323863238481,0.179,0.026,2.836915073469718e-54
SRD5A2,1.0642523028753237e-57,-6.346591445903724,0.006,0.298,1.652038849753365e-53
KLHL29,2.8104654833408913e-57,-1.368699594328667,0.462,0.73,4.362685569790066e-53
JPH1,3.9789764318229295e-57,2.42948497483607,0.251,0.058,6.176565115118733e-53
BICD1,5.68148832454242e-57,-0.7033218505723478,0.814,0.939,8.8193743261872e-53
LRMP,8.304800897835836e-57,2.4975592703158966,0.221,0.044,1.2891542433710569e-52
S100B,9.128607795403016e-57,-5.595460303239874,0.006,0.292,1.4170337880804102e-52
OSBPL10,1.2799649859835321e-56,-1.516186859802882,0.273,0.597,1.986889647742237e-52
EPHA5,1.8022137024839227e-56,0.6594315569374616,0.931,0.858,2.797576330365793e-52
PPFIBP1,3.4989075715008087e-56,2.3383955588628256,0.259,0.063,5.431354223240705e-52
NETO1,1.1766628839897249e-55,-0.6781243182275678,0.884,0.947,1.82653379481725e-51
GRIN2A,1.6640568826357668e-55,-0.7812623120011367,0.763,0.908,2.583115498915501e-51
LOC116183758,2.9494870349158844e-55,-1.6836762863646346,0.21,0.531,4.578488724299927e-51
OXR1,4.2527923142883345e-55,0.6882076333401659,0.954,0.892,6.601609509469782e-51
SLC8A1,4.7008206454896345e-55,-1.2666601289978203,0.376,0.667,7.297083887993559e-51
NPAS3,4.728417306742399e-55,-0.7275836287144863,0.931,0.966,7.339922185256227e-51
NUP93,9.548347732175064e-55,-1.5649795691578676,0.266,0.578,1.4821900184655351e-50
TCERG1L,2.970252899181457e-54,2.275002189718979,0.257,0.064,4.610723575399375e-50
LRP1B,3.0749292992427167e-54,0.6986388399419838,0.906,0.65,4.773212751214469e-50
RAMP3,3.3984615794627853e-54,-2.4836285584883377,0.084,0.39,5.275431909800082e-50
GAS7,5.907572132776306e-54,1.218236610904284,0.607,0.329,9.17032422170866e-50
LARS2,6.564053589464404e-54,2.3333047919914067,0.243,0.057,1.0189380386925596e-49
EPHA4,6.99622382001001e-54,1.5854046673782753,0.486,0.222,1.0860238235801539e-49
CNTN5,2.76036640475215e-53,-0.5299090569225773,0.952,0.995,4.2849167700967624e-49
STRBP,6.087197086082135e-53,-1.0155571096785245,0.53,0.774,9.449156036725299e-49
TAFA2,6.9752170021296515e-53,0.9566068139274884,0.889,0.773,1.0827629352405858e-48
KCNA2,7.880696844627536e-53,-2.4576319474621204,0.079,0.38,1.2233205711915324e-48
PTPN5,1.587394016490381e-52,1.383671164876032,0.587,0.333,2.4641117317980183e-48
NRXN3,1.6315777273739844e-52,-0.6711220690062845,0.87,0.956,2.532698106202636e-48
AR,5.369198961183169e-52,-2.1886122017743777,0.126,0.428,8.334607547444633e-48
MAN1C1,9.3700383389455e-52,2.252145576062136,0.251,0.064,1.45451105135451e-47
DLC1,1.9694953280252527e-51,2.976337324373975,0.182,0.032,3.0572475976935996e-47
KCNQ3,3.496015578597145e-51,0.8257113562639886,0.897,0.78,5.426864982656349e-47
TCF20,5.1102744470065285e-51,1.137246559692963,0.692,0.461,7.932679024088234e-47
MCTP1,6.171482324574567e-51,-0.5767722699849909,0.921,0.967,9.5799920124371e-47
LOC110469797,6.292051697651199e-51,-6.778104360976049,0.001,0.262,9.767151850263957e-47
PTPRF,7.418328786654315e-51,-0.5981660669036457,0.957,0.985,1.1515471775523494e-46
NEBL,1.614931780557215e-50,0.8158792860696433,0.863,0.709,2.506858602958965e-46
CCDC85A,2.528391127556892e-50,2.674186307131933,0.181,0.032,3.924821547306564e-46
PRKCB,3.1148204356419025e-50,2.0594196091600097,0.285,0.084,4.835135762246925e-46
PLXNA4,3.5380168757950773e-50,-0.735805382978592,0.803,0.926,5.492063596296699e-46
NEGR1,5.802395773366257e-50,1.349337309144751,0.561,0.313,9.007058958996441e-46
CA10,8.039535375707246e-50,1.4348708425958272,0.507,0.247,1.2479770763710358e-45
LRFN2,1.5118129000849656e-49,1.1781033753774854,0.71,0.476,2.346787164801892e-45
LARGE1,1.7238877508016132e-49,1.0170242382954453,0.75,0.576,2.6759909555693442e-45
SV2B,2.1103277625906876e-49,-2.416118711123918,0.074,0.363,3.2758617858695246e-45
LOC110473741,2.7269333761119463e-49,-0.8892632784611897,0.607,0.846,4.2330186797385745e-45
KHDRBS3,3.3099488100726432e-49,0.7619859326612237,0.873,0.742,5.138033537875764e-45
MAGI2,2.1473730306550824e-48,0.4671627941034102,0.999,0.998,3.3333671554858845e-44
TIAM1,4.335610259346203e-48,1.2478850203682523,0.63,0.381,6.730167805583111e-44
PTEN,7.806244818765915e-48,-1.271401420901935,0.243,0.56,1.211763383217033e-43
RIMS4,1.0064926924148548e-47,2.238527932767658,0.23,0.057,1.5623786064355791e-43
TRPS1,1.3264429539645008e-47,0.9887421719451003,0.747,0.52,2.0590373974390945e-43
PCLO,1.4335729589754903e-47,0.4985483946811513,0.999,0.995,2.2253353042176535e-43
DGKI,1.4982714178142444e-47,0.5495397934801636,0.984,0.973,2.3257667218730518e-43
MN1,1.702634639118832e-47,1.9078214715395603,0.296,0.094,2.642999750304163e-43
CACNA2D3,1.788382338757006e-47,1.8830665957003991,0.377,0.153,2.7761059044525006e-43
P4HA1,1.8697837409909861e-47,-1.5810464700188929,0.192,0.49,2.9024653011403076e-43
SWAP70,2.328217668662923e-47,-6.360887690245689,0.003,0.249,3.614092287065456e-43
CPE,5.961564769237539e-47,1.1242707535099776,0.652,0.402,9.254136991287433e-43
KNDC1,1.5279944752659028e-46,1.4016385103578006,0.494,0.251,2.3719058239552607e-42
LOC110481152,2.7986140978968835e-46,1.282556199206676,0.574,0.326,4.344288664165332e-42
DSCAM,4.2193443922314046e-46,0.6091015488432401,0.994,0.986,6.549688300060809e-42
VWC2,4.907928921652843e-46,2.9822517486375495,0.163,0.029,7.618578065081709e-42
LOC110482647,6.080823635822958e-46,1.7102163514009567,0.355,0.135,9.439262529887978e-42
ANKRD28,7.299188834694665e-46,1.1407409491649354,0.656,0.432,1.1330530828096528e-41
SH3PXD2A,1.353817289290861e-45,-0.7291603746353763,0.718,0.86,2.1015305781662033e-41
FMN2,2.3998150844136205e-45,0.6153146454251104,0.923,0.861,3.725232955535263e-41
GULP1,1.2893404028208743e-44,2.14947130763512,0.231,0.062,2.001443107298843e-40
BCAN,2.556061041975555e-44,-3.87733849935168,0.019,0.261,3.967773555458654e-40
COL23A1,2.791365185112296e-44,-2.1908007091365658,0.13,0.404,4.333036176849817e-40
TRAIP,2.9775855230480903e-44,2.7338112769518,0.163,0.03,4.622106007427551e-40
BICC1,6.016988350199685e-44,-1.7447232343400125,0.145,0.429,9.34017101601497e-40
CNIH3,1.0461373943810493e-43,-1.7851486684092794,0.142,0.422,1.623919077297703e-39
CAMK2N1,1.2940017456158062e-43,2.3966430239231076,0.169,0.033,2.008678909719416e-39
KHDRBS2,1.9947068441487113e-43,0.9801620438718024,0.772,0.611,3.096383434172045e-39
PHACTR2,4.118177889288744e-43,-1.3044873777835624,0.264,0.546,6.392647537542918e-39
VAV2,4.740438998944128e-43,-2.3411882479834665,0.098,0.362,7.358583458060969e-39
SESTD1,8.303986181965738e-43,-1.816287554863936,0.116,0.392,1.2890277750265414e-38
GPM6B,1.2345539373544467e-42,1.0974896469456177,0.653,0.424,1.9163980769553077e-38
GABRB3,3.115740227703726e-42,-0.9960839692977366,0.416,0.692,4.836563555464494e-38
KCNH7,3.746212281756864e-42,1.493608208783765,0.451,0.223,5.81524532497118e-38
MAML2,4.029713313109029e-42,-0.7514380594692445,0.679,0.881,6.255323975939145e-38
CNN3,8.562770961918379e-42,-3.728172058076165,0.022,0.256,1.32919893641859e-37
MAML3,8.580699196829423e-42,1.2348291286576762,0.478,0.231,1.3319819363238314e-37
LOC110470897,1.1202093758396499e-41,-3.8268872369594917,0.022,0.256,1.7389010141158885e-37
FHOD1,1.8042018124752093e-41,-3.04135411049871,0.038,0.278,2.8006624735052676e-37
EML4,2.326543844334046e-41,-0.7960092193257202,0.652,0.828,3.6114940095597393e-37
GRIP2,3.4579911815847835e-41,-0.8706984455609668,0.616,0.814,5.367839711174059e-37
GALNT11,4.092887588046805e-41,2.411151901298139,0.163,0.032,6.3533894029250555e-37
MTSS1,5.589505407877584e-41,-1.1703824654769859,0.295,0.567,8.676589244648374e-37
C5H11orf96,5.938043068551936e-41,-5.853009169989939,0.003,0.22,9.217624255313172e-37
DCAF6,6.735839802987522e-41,2.301148515594057,0.188,0.044,1.0456044126177531e-36
DGKH,1.3452224507384064e-40,-0.9062411341737684,0.465,0.704,2.0881888102812284e-36
TRPC4,2.9357309742677812e-40,-2.40209709330033,0.078,0.329,4.557135191355877e-36
MGAT5,8.936323584292209e-40,-0.8248831740064173,0.484,0.724,1.3871855099896796e-35
LOC110468054,1.268556411019886e-39,-1.7737248480534071,0.153,0.417,1.969180116826169e-35
PEBP4,1.6604493910892167e-39,1.8166979515996853,0.247,0.076,2.577515589787791e-35
FAM184B,2.766359946534444e-39,-2.6904261438887946,0.059,0.297,4.294220545005417e-35
BRINP1,3.2528801357819745e-39,-0.597199877007302,0.853,0.915,5.049445834774358e-35
LOC110472627,7.543344445685446e-39,-2.5805429802329254,0.049,0.284,1.1709533583037517e-34
GRIA2,7.99326695132954e-39,0.41463786657544865,0.997,0.995,1.2407948288548846e-34
GUCY1A1,9.37927975318886e-39,0.7951940703162412,0.799,0.655,1.4559455960875067e-34
RASA3,1.4941223135718417e-38,2.353404752725481,0.169,0.038,2.31932606735757e-34
AFF3,1.5552969061166268e-38,-0.5752399916171176,0.841,0.916,2.41428738736484e-34
TRPM3,1.8173035485168652e-38,0.7495734315198399,0.825,0.632,2.8210002983627296e-34
ZNF608,2.378942704137143e-38,1.1458803067379555,0.503,0.27,3.692832759632087e-34
