gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
GRIA4,0,3.6729227689440638,0.991,0.322,0
CADPS2,2.760182941446343e-301,-3.2438478080310404,0.382,0.977,4.2846319800071585e-297
LOC110476977,5.485219890833573e-293,-2.360268018985474,0.668,0.996,8.514706836540955e-289
ZNF385D,1.4953953075668305e-266,-2.3023981740595594,0.564,0.981,2.321302135935991e-262
NKAIN2,1.5675930645298048e-263,1.7739582355715138,1,0.827,2.433374714069616e-259
MPPED1,4.794829173088325e-257,2.8214745188008115,0.854,0.262,7.443013325385007e-253
CACNA2D1,2.51441344506684e-253,1.7564878829791073,0.994,0.8,3.9031239907772556e-249
GRIA1,2.7843011879107024e-207,1.9785041669547647,0.945,0.488,4.3220707339937833e-203
GRID1,1.8346225704089323e-202,-1.6783924732229045,0.806,0.976,2.8478846160457856e-198
CALCR,3.577856147186207e-201,-1.545762842882085,0.759,0.99,5.553906097277149e-197
TENM1,2.9217893244831457e-190,-1.949676607805438,0.481,0.926,4.535493568395187e-186
ZNF385B,1.1595815518901155e-189,-4.352110934057257,0.085,0.737,1.800018442999026e-185
TSPAN4,1.4984662190072415e-189,3.05892204231911,0.618,0.133,2.326069111764941e-185
SOX6,1.3905497346710719e-185,-1.7101223202271092,0.629,0.956,2.158550353129905e-181
KCND2,5.420652578702907e-178,2.6520863206078023,0.733,0.244,8.414478997920522e-174
CACNA2D2,1.8317653291175437e-176,-2.4260509259501886,0.342,0.854,2.843449320389163e-172
LOC110482821,1.2328335082713866e-173,-2.0901579321316146,0.441,0.896,1.9137274548896732e-169
LSAMP,2.6443839177861684e-172,1.5948815835507786,0.987,0.695,4.1048771555794693e-168
ADARB1,3.621160013613298e-170,-2.767783570606968,0.231,0.79,5.621126689131923e-166
DAPK1,1.0681150072414722e-169,-2.506007893213714,0.338,0.828,1.6580349257409372e-165
SHC3,2.751802674675681e-168,2.90430506956807,0.523,0.093,4.271623291899059e-164
PCDH11X,2.888805542424664e-168,1.7510238813376353,0.919,0.474,4.484292843505806e-164
GRM1,2.572161546207961e-167,4.520929723473968,0.328,0.02,3.992766368178618e-163
LOC110471663,3.80792528492282e-165,4.166498988899274,0.344,0.025,5.9110424197856935e-161
ADGRV1,6.8966824522473135e-164,2.357385069132667,0.698,0.216,1.0705720170623505e-159
LOC110469084,2.2394362298161682e-157,2.0618010889148177,0.818,0.366,3.476276859543638e-153
FAT3,2.3699798021052344e-153,3.7016200701212587,0.387,0.045,3.6789196468079555e-149
LOC116183208,4.031159898446793e-153,-1.9114498224434935,0.393,0.879,6.257569510358957e-149
MEF2C,3.5924478932810075e-152,1.6755875362828432,0.913,0.62,5.576556864740108e-148
NCALD,5.156387615170598e-149,2.0411890120154226,0.78,0.324,8.004260495029319e-145
TENM2,1.7726808119132064e-148,-0.9918791470244104,0.957,0.996,2.7517324243328706e-144
SGCZ,9.049901761879248e-147,-3.2121878888542925,0.152,0.706,1.4048162504965157e-142
TSHZ2,6.354272802425974e-144,4.413248426596053,0.275,0.014,9.86373767120584e-140
OPCML,3.5918953844621367e-143,-0.8184193465176977,0.986,0.999,5.5756992053005745e-139
EPHA6,8.21468025867823e-142,1.8193212422206482,0.818,0.361,1.2751648165546217e-137
MCU,9.438899954242176e-142,-2.4146039114878075,0.286,0.778,1.465200439897013e-137
GRM8,8.754123624600096e-139,3.6886229745558476,0.361,0.044,1.3589026102466729e-134
DIP2A,5.445018493586935e-138,-2.0866260289886407,0.293,0.796,8.452302207595e-134
ADGRA1,7.296240495681366e-136,5.081566302555739,0.241,0.009,1.1325954121446184e-131
KCNIP4,1.907558913524062e-134,1.1969721233977069,0.99,0.767,2.9611037014634016e-130
PCDH15,9.436620581136891e-132,-0.761047014563883,0.991,0.999,1.4648466128098796e-127
LOC110475308,1.0178282533647673e-130,-1.4026970558819956,0.825,0.963,1.5799747976981282e-126
IL1RAPL2,2.5643855372478658e-129,5.898458811632382,0.217,0.006,3.980695669469862e-125
PDE3A,6.886601358135782e-127,2.2334477018376493,0.595,0.181,1.0690071288234175e-122
ADGRB3,5.1765423578543124e-126,0.5761413108284215,1,1,8.03554670209725e-122
GRM5,3.44115578580587e-125,1.1305433505255076,0.971,0.849,5.341706126306452e-121
DLGAP2,1.1024075247740563e-123,0.7377857760333719,1,0.999,1.7112672007067675e-119
FGF12,1.2456238649811291e-121,0.9732507572347504,0.975,0.884,1.933581925610207e-117
HTR4,2.762372121668952e-121,3.8647508318524206,0.282,0.026,4.288030244466714e-117
KCNQ5,1.101922902337263e-120,-1.8824584119430072,0.315,0.796,1.7105149212981334e-116
ADSS1,5.943867930532982e-120,-5.308885085795963,0.022,0.524,9.226666188566347e-116
FSTL5,2.4968324240345223e-119,-2.4326228649289927,0.173,0.678,3.875832971828789e-115
ELFN2,3.3985271798579564e-119,3.361309950810827,0.325,0.042,5.275533741293506e-115
CACNG4,2.7495266674360235e-118,4.141079041196532,0.254,0.019,4.268090245860939e-114
GFRA1,2.0774216046032433e-116,-2.8652614308139572,0.133,0.631,3.2247815568256147e-112
CRACD,3.3958946650156587e-116,1.2451623678581833,0.928,0.719,5.271447288503807e-112
LHFPL6,2.81392930870568e-115,2.3463569026786497,0.53,0.151,4.368062465903827e-111
LOC116184831,6.680605709590987e-115,-4.8501908548899415,0.051,0.541,1.0370304242998088e-110
UNC5C,8.26840232115277e-115,2.259901862927142,0.536,0.152,1.2835040923125444e-110
LOC110480370,1.4154707407482808e-114,2.394016469846472,0.603,0.208,2.1972352308635564e-110
SPON1,6.460690557426891e-113,-1.230391043047883,0.789,0.946,1.0028929952293763e-108
MEF2A,3.555402253401939e-112,-1.0946968708688534,0.74,0.964,5.51905091795583e-108
GHR,2.8000062303180925e-110,-1.7753518416345015,0.353,0.787,4.346449671322775e-106
GALNTL6,1.5903334059721497e-108,3.649440169388876,0.309,0.043,2.4686745460905678e-104
CACNA1G,4.8212486648140056e-108,3.396588400178108,0.289,0.035,7.484024302390781e-104
AUTS2,6.5023959460662886e-108,-0.741000419916551,0.99,0.997,1.0093669227078699e-103
JUN,1.4673075434502018e-106,3.8791582556734463,0.237,0.019,2.277701499697748e-102
CELF4,1.6128152497671033e-105,1.384998356693742,0.973,0.879,2.5035731122134743e-101
LOC110482089,4.928131035586296e-105,-1.4261663342149837,0.525,0.871,7.649937806540607e-101
PTPRK,7.983927121058452e-105,-0.8617713464865693,0.91,0.985,1.2393450070019035e-100
LOC110483364,8.158788216002896e-105,-2.3260872815018576,0.22,0.682,1.2664886947701295e-100
SHANK2,1.0103665012106984e-100,1.0671206267270716,0.939,0.794,1.5683919198293672e-96
LOC110484121,3.2952556102202226e-100,5.29419575495229,0.171,0.005,5.115225283744851e-96
SNCA,3.38924314439851e-100,1.674291593165925,0.684,0.278,5.261122133049807e-96
TOX2,1.5639271291550097e-99,3.8669956169648687,0.231,0.021,2.4276840825873214e-95
COLEC12,1.7744053795496928e-97,3.223237204310999,0.295,0.044,2.754409470674988e-93
LRRTM4,2.3210862816442792e-97,0.8412098884039985,0.99,0.958,3.6030222349964148e-93
FLRT2,8.585717042016633e-97,-0.8429791890615834,0.958,0.989,1.332760856432242e-92
NRXN1,1.644896770490301e-96,0.6638209380189957,1,0.997,2.5533732568320942e-92
PCNT,2.5689835420793345e-96,-1.8804291718423882,0.272,0.696,3.987833152369751e-92
THSD7B,1.0757889773706573e-95,2.80364885612324,0.35,0.069,1.6699472295724712e-91
RASL11B,1.145368728500382e-95,2.4665029448524285,0.361,0.073,1.7779558772511428e-91
GRIK2,3.0584191136098512e-92,0.8974829138865266,0.958,0.865,4.747583990056572e-88
MAGI1,6.141027593504203e-92,1.704044416010337,0.647,0.29,9.532717133396573e-88
DGKB,7.106864297879369e-92,1.76998728531023,0.665,0.323,1.1031985449598145e-87
TLL1,3.431706407702871e-91,2.129460309612541,0.462,0.135,5.327037856677167e-87
ZNF423,3.7595263042009424e-91,3.944449715925166,0.212,0.019,5.835912682011123e-87
LOC110482258,5.830734943402712e-90,2.5189404550948598,0.38,0.09,9.05104985264403e-86
LOC110469798,6.427737946281525e-90,-5.005012263434988,0.016,0.427,9.97777761401281e-86
FAM163B,6.757021855356758e-90,3.872731986514013,0.201,0.016,1.0488925026070295e-85
ADGRB1,3.841294689658024e-89,0.570447682802933,1,0.998,5.962841746756151e-85
LOC110468875,1.9661513808535718e-88,-1.2148844233496339,0.571,0.851,3.0520567884989993e-84
GPC1,3.005748446836941e-88,-1.496991619469732,0.39,0.764,4.665823314024984e-84
HS3ST5,1.4166508771886692e-87,-1.0996328911652946,0.711,0.918,2.1990671566599712e-83
DACH1,5.251438007981187e-87,1.1805624647885642,0.915,0.742,8.151807219789198e-83
EPHA3,1.1002239025551475e-86,-0.8018512615345617,0.882,0.977,1.7078775639363555e-82
LOC110469722,3.0969999674382267e-86,3.2003149442645986,0.272,0.043,4.8074730494543596e-82
LOC110477349,6.732126674656165e-86,2.966862855624123,0.309,0.06,1.0450280237068764e-81
NTSR1,1.0633754217410934e-85,3.319618351832197,0.231,0.028,1.6506776671686993e-81
PTPRN2,1.3585859579315796e-85,0.8738558342072973,0.978,0.911,2.108932982497191e-81
TMEFF2,1.647534110315929e-85,1.7092332542311337,0.621,0.289,2.557467199443417e-81
SRGAP1,4.662573307637593e-84,-3.2048528427815888,0.064,0.471,7.237712545445835e-80
STUM,5.256050961985701e-84,1.4886649241491865,0.666,0.313,8.158967908290403e-80
EDIL3,2.6890361306675592e-83,-0.6349308664353024,0.993,0.999,4.174190785635252e-79
ACVR2B,1.9043811544243932e-82,4.070831494548518,0.186,0.015,2.9561708660129855e-78
PEAK1,2.6904600191254225e-82,2.3174125417485136,0.396,0.109,4.1764010876883935e-78
NLGN1,2.856215620610303e-82,0.5235564415164684,1,1,4.433703507873373e-78
SYNDIG1,3.5205538657068336e-82,2.2085396704075815,0.4,0.108,5.464955765736718e-78
CDH12,3.0597428558321394e-81,-1.0135945292791866,0.824,0.96,4.74963883510823e-77
CNTNAP2,4.437830134921614e-81,0.8650614361941491,0.968,0.871,6.888843718438821e-77
KCNK1,8.115666147326629e-81,2.940369308639558,0.275,0.048,1.2597948560495126e-76
PTPRT,1.0590182067185487e-80,0.7641816636290244,0.984,0.905,1.6439139622892032e-76
LDLRAD4,6.0069632487751974e-80,-2.1559630717823173,0.259,0.627,9.324609051073739e-76
DAB1,7.035539916116223e-80,3.5228201300002526,0.169,0.011,1.0921268611787213e-75
DOCK4,7.846142824623732e-80,1.7122171126699548,0.565,0.237,1.217956750666342e-75
LOC110478439,2.4209854367393775e-79,0.8117861287535661,0.99,0.952,3.758095693450536e-75
DYRK4,2.817054624676935e-79,1.3761351485495068,0.705,0.385,4.372913893886006e-75
LYPD1,9.843091129143635e-79,3.6241166405931833,0.195,0.02,1.5279430359769665e-74
CHST1,2.6665614905525313e-78,3.669432246173159,0.181,0.015,4.139303401784694e-74
HPCAL1,2.7348213057627676e-78,1.2883824421995662,0.759,0.446,4.245263112935544e-74
HLF,3.0665190993927965e-78,2.0593812227659543,0.418,0.125,4.760157597987438e-74
NPTX1,3.281907305526805e-78,-2.6786789894276253,0.105,0.496,5.09450471036926e-74
VCAM1,4.492425493869731e-78,3.25202630070835,0.221,0.029,6.973592094133983e-74
ZEB1,4.58644795043415e-78,-1.1490441830535396,0.592,0.853,7.11954315345893e-74
ROBO2,5.149862574741262e-78,-0.42702365559470135,1,1,7.99413167477086e-74
GLIS3,3.8889644718289185e-77,-2.0345411515329026,0.202,0.589,6.036839549620031e-73
KCNT2,4.152106942652927e-77,-4.7246998661693596,0.023,0.394,6.445315607080138e-73
LRP8,1.6060019311697924e-76,2.170911478628767,0.478,0.179,2.4929967977548685e-72
ETV1,2.997952170156009e-76,4.271112141839248,0.159,0.01,4.653721153733173e-72
ALDH1A2,9.439006262522281e-76,-4.125174587575861,0.032,0.401,1.4652169421313336e-71
BCL11B,1.5636836281216356e-75,0.886753842615065,0.919,0.807,2.427306095933215e-71
