finch_cluster,samap_top,samap_score,samap_top2,samap_score2
Glut-DACH2-8,Ex_DACH2_ZMAT4,0.9252,Ex_DACH2_TAC1,0.3734
Glut-SATB2-1,Ex_SATB2_ZNF385B,0.7869,Ex_SATB2_SOX6,0.652
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,0.7659,Ex_DACH2_NR4A3,0.0406
Glut-CACNA1H-1,Ex_CACNA1H_LHX9,0.7215,Ex_TSHZ2_NR4A2,0.7168
Glut-DACH2-1,Ex_DACH2_MGAT4C,0.7128,Ex_DACH2_NR4A3,0.6862
Glut-CACNA1H-2,Ex_CACNA1H_PROX1,0.6869,Ex_CACNA1H_KIT,0.6801
Glut-CACNA1H-RA,Ex_KIAA1217,0.6705,Ex_KIAA1217_BCL6,0.1117
Glut-DACH2-3,Ex_DACH2_SLIT2,0.6575,Ex_DACH2_ZMAT4,0.358
Glut-DACH2-5,Ex_DACH2_ADAMTS5,0.6361,Ex_DACH2_MGAT4C,0.2165
Glut-DACH2-6,Ex_DACH2_CEMIP,0.6166,Ex_DACH2_ZMAT4,0.4617
Glut-DACH2-2,Ex_DACH2_MGAT4C,0.606,Ex_DACH2_ADAMTS5,0.2464
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,0.5685,Ex_DACH2_LUZP2,0.1028
Glut-DACH2-HVCra-Pre,Ex_DACH2_MGAT4C,0.5617,Ex_SATB2_SOX6,0.0579
Glut-DACH2-LMANco,Ex_DACH2_ZMAT4,0.4834,Ex_DACH2_RORB,0.416
Glut-DACH2-HVCra,Ex_SATB2_SOX6,0.4554,Ex_SATB2_ZNF385B,0.2465
Glut-CACNA1H-3,Ex_CACNA1H_LHX9,0.4062,Ex_TSHZ2_NR4A2,0.1289
Glut-DACH2-7,Ex_DACH2_MGAT4C,0.4058,Ex_DACH2_ADAMTS5,0.2904
Glut-DACH2-4,Ex_DACH2_ITGA9,0.3948,Ex_DACH2_ZMAT4,0.1685
Glut-DACH2-HVCx,Ex_SATB2_SOX6,0.3584,Ex_KIAA1217,0.1907
