,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-Arco-1,0.3607,0.707,0.7951,0.8354,0.5544,0.2957,0.0434,0.0941,0.1043,0.3001,0.055,0.1556,0.0683,0.3041,0.1227,0.1267,0.1097,0.1178,0.4762,0.554,0.3965,0.2806,0.2381,0.1812,0.1592,0.1148,0.9062
Glut-Arco-2,0.554,0.5834,0.9365,0.7622,0.718,0.7601,0.0467,0.0688,0.1428,0.1146,0.1855,0.2598,0.0636,0.2595,0.0536,0.166,0.0509,0.0624,0.2332,0.3783,0.3805,0.4204,0.183,0.2945,0.2165,0.1251,0.4111
Glut-Arco-3,0.4983,0.5536,0.8527,0.8198,0.507,0.2343,0.0543,0.0936,0.1005,0.3042,0.0395,0.1219,0.1325,0.3729,0.106,0.0973,0.0943,0.1338,0.3822,0.5465,0.4215,0.3375,0.2297,0.2621,0.3068,0.132,0.7445
Glut-Arco-4,0.295,0.3471,0.4267,0.6209,0.223,0.3639,0.1246,0.0907,0.1227,0.3215,0.0886,0.0567,0.3087,0.2795,0.1493,0.0985,0.125,0.1168,0.4208,0.3873,0.7706,0.644,0.248,0.5658,0.6093,0.1292,0.5138
Glut-Arco-5,0.4909,0.2465,0.5999,0.9492,0.5782,0.6888,0.068,0.0793,0.2994,0.2056,0.2926,0.6791,0.132,0.2054,0.0655,0.5861,0.0743,0.0509,0.2358,0.2427,0.2761,0.332,0.3123,0.1723,0.1501,0.1835,0.1767
Glut-HVC-1,0.1702,0.1573,0.0932,0.0979,0.0718,0.134,0.5673,0.0591,0.3661,0.1755,0.3583,0.513,0.5599,0.2136,0.3296,0.0848,0.4461,0.1863,0.15,0.1336,0.6048,0.395,0.3209,0.4999,0.8044,0.6767,0.0553
Glut-HVC-1a,0.1387,0.1696,0.1017,0.0948,0.1404,0.2267,0.5085,0.0972,0.7945,0.3908,0.5448,0.7043,0.8472,0.6227,0.0766,0.2336,0.1853,0.1586,0.1074,0.0533,0.188,0.149,0.3631,0.5021,0.602,0.3198,0.0506
Glut-HVC-2,0.2315,0.1891,0.2715,0.0751,0.1773,0.1575,0.1696,0.152,0.1244,0.5509,0.2292,0.1425,0.1965,0.0713,0.1778,0.2279,0.6297,0.3045,0.9661,0.8282,0.2783,0.2027,0.566,0.2559,0.649,0.4005,0.1205
Glut-LMAN-1,0.1132,0.0797,0.0715,0.0754,0.1622,0.1505,0.9831,0.1979,0.4956,0.3312,0.5635,0.2953,0.5804,0.718,0.5709,0.1529,0.3269,0.6024,0.0677,0.0608,0.3573,0.1609,0.2216,0.5513,0.1995,0.1421,0.0642
Glut-LMAN-2,0.3043,0.2058,0.1016,0.1115,0.1229,0.1566,0.3586,0.7272,0.1417,0.3564,0.0928,0.1391,0.126,0.1776,0.9661,0.1883,0.5138,0.8866,0.497,0.2945,0.3348,0.2204,0.1703,0.0815,0.4221,0.3721,0.1436
