soup_batch,soup_library,individual,celltype_hybrid,n
batch1,arco_run1,bird1,Astro-1,24
batch1,arco_run1,bird1,Astro-2,36
batch1,arco_run1,bird1,Endo,1
batch1,arco_run1,bird1,GABA-1-1,41
batch1,arco_run1,bird1,GABA-1-2,23
batch1,arco_run1,bird1,GABA-2-1,99
batch1,arco_run1,bird1,GABA-2-2,6
batch1,arco_run1,bird1,GABA-2-3,1
batch1,arco_run1,bird1,GABA-3,52
batch1,arco_run1,bird1,GABA-4-1,89
batch1,arco_run1,bird1,GABA-5-1,30
batch1,arco_run1,bird1,GABA-5-2,46
batch1,arco_run1,bird1,GABA-6,66
batch1,arco_run1,bird1,GABA-7,6
batch1,arco_run1,bird1,GABA-8,14
batch1,arco_run1,bird1,GABA-Im,23
batch1,arco_run1,bird1,Glut-CACNA1H-1,283
batch1,arco_run1,bird1,Glut-CACNA1H-2,163
batch1,arco_run1,bird1,Glut-CACNA1H-3,55
batch1,arco_run1,bird1,Glut-CACNA1H-4,140
batch1,arco_run1,bird1,Glut-CACNA1H-RA,6
batch1,arco_run1,bird1,Glut-DACH2-1,123
batch1,arco_run1,bird1,Glut-DACH2-2,10
batch1,arco_run1,bird1,Glut-DACH2-3,1
batch1,arco_run1,bird1,Glut-DACH2-4,5
batch1,arco_run1,bird1,Glut-DACH2-HVCra-Pre,3
batch1,arco_run1,bird1,Glut-GABA,5
batch1,arco_run1,bird1,Glut-Im,36
batch1,arco_run1,bird1,Glut-NB,2
batch1,arco_run1,bird1,Micro,2
batch1,arco_run1,bird1,OPC,38
batch1,arco_run1,bird1,Oligo-1,2
batch1,arco_run1,bird1,Oligo-2,16
batch1,arco_run1,bird1,Oligo-3,8
batch1,arco_run1,bird2,Astro-1,9
batch1,arco_run1,bird2,Astro-2,142
batch1,arco_run1,bird2,Endo,3
batch1,arco_run1,bird2,Epen,1
batch1,arco_run1,bird2,GABA-1-1,73
batch1,arco_run1,bird2,GABA-1-2,30
batch1,arco_run1,bird2,GABA-2-1,166
batch1,arco_run1,bird2,GABA-2-2,7
batch1,arco_run1,bird2,GABA-2-3,1
batch1,arco_run1,bird2,GABA-3,76
batch1,arco_run1,bird2,GABA-4-1,157
batch1,arco_run1,bird2,GABA-5-1,55
batch1,arco_run1,bird2,GABA-5-2,68
batch1,arco_run1,bird2,GABA-6,91
batch1,arco_run1,bird2,GABA-7,10
batch1,arco_run1,bird2,GABA-8,14
batch1,arco_run1,bird2,GABA-Im,33
batch1,arco_run1,bird2,Glut-CACNA1H-1,362
batch1,arco_run1,bird2,Glut-CACNA1H-2,486
batch1,arco_run1,bird2,Glut-CACNA1H-3,258
batch1,arco_run1,bird2,Glut-CACNA1H-4,26
batch1,arco_run1,bird2,Glut-CACNA1H-RA,10
batch1,arco_run1,bird2,Glut-DACH2-1,15
batch1,arco_run1,bird2,Glut-DACH2-3,2
batch1,arco_run1,bird2,Glut-GABA,3
batch1,arco_run1,bird2,Glut-Im,1
batch1,arco_run1,bird2,OPC,63
batch1,arco_run1,bird2,Oligo-1,4
batch1,arco_run1,bird2,Oligo-2,49
batch1,arco_run1,bird2,Oligo-3,4
batch1,arco_run1,bird3,Astro-1,13
batch1,arco_run1,bird3,Astro-2,33
batch1,arco_run1,bird3,GABA-1-1,29
batch1,arco_run1,bird3,GABA-1-2,6
batch1,arco_run1,bird3,GABA-2-1,68
batch1,arco_run1,bird3,GABA-2-2,1
batch1,arco_run1,bird3,GABA-3,35
batch1,arco_run1,bird3,GABA-4-1,67
batch1,arco_run1,bird3,GABA-4-2,1
batch1,arco_run1,bird3,GABA-5-1,6
batch1,arco_run1,bird3,GABA-5-2,21
batch1,arco_run1,bird3,GABA-6,36
batch1,arco_run1,bird3,GABA-7,3
batch1,arco_run1,bird3,GABA-8,6
batch1,arco_run1,bird3,GABA-Im,15
batch1,arco_run1,bird3,Glut-CACNA1H-1,246
batch1,arco_run1,bird3,Glut-CACNA1H-2,86
batch1,arco_run1,bird3,Glut-CACNA1H-3,77
batch1,arco_run1,bird3,Glut-CACNA1H-4,18
batch1,arco_run1,bird3,Glut-CACNA1H-RA,6
batch1,arco_run1,bird3,Glut-DACH2-1,27
batch1,arco_run1,bird3,Glut-DACH2-3,2
batch1,arco_run1,bird3,Glut-GABA,1
batch1,arco_run1,bird3,Glut-Im,2
batch1,arco_run1,bird3,Glut-NB,1
batch1,arco_run1,bird3,Micro,1
batch1,arco_run1,bird3,OPC,16
batch1,arco_run1,bird3,Oligo-1,3
batch1,arco_run1,bird3,Oligo-2,21
batch1,arco_run1,bird3,Oligo-3,3
batch1,hvc_run1,bird1,Astro-1,210
batch1,hvc_run1,bird1,Astro-2,87
batch1,hvc_run1,bird1,Endo,4
batch1,hvc_run1,bird1,Epen,87
batch1,hvc_run1,bird1,GABA-1-1,139
batch1,hvc_run1,bird1,GABA-1-2,45
batch1,hvc_run1,bird1,GABA-2-1,34
batch1,hvc_run1,bird1,GABA-2-2,91
batch1,hvc_run1,bird1,GABA-2-3,26
batch1,hvc_run1,bird1,GABA-3,94
batch1,hvc_run1,bird1,GABA-4-1,38
batch1,hvc_run1,bird1,GABA-4-2,11
batch1,hvc_run1,bird1,GABA-5-1,21
batch1,hvc_run1,bird1,GABA-5-2,22
batch1,hvc_run1,bird1,GABA-6,14
batch1,hvc_run1,bird1,GABA-7,15
batch1,hvc_run1,bird1,GABA-8,18
batch1,hvc_run1,bird1,GABA-Im,14
batch1,hvc_run1,bird1,Glut-DACH2-1,170
batch1,hvc_run1,bird1,Glut-DACH2-2,178
batch1,hvc_run1,bird1,Glut-DACH2-3,13
batch1,hvc_run1,bird1,Glut-DACH2-4,17
batch1,hvc_run1,bird1,Glut-DACH2-5,15
batch1,hvc_run1,bird1,Glut-DACH2-HVCra,1690
batch1,hvc_run1,bird1,Glut-DACH2-HVCra-Pre,264
batch1,hvc_run1,bird1,Glut-DACH2-HVCx,163
batch1,hvc_run1,bird1,Glut-GABA,34
batch1,hvc_run1,bird1,Glut-Im,30
batch1,hvc_run1,bird1,Glut-NB,191
batch1,hvc_run1,bird1,Glut-NSC,95
batch1,hvc_run1,bird1,Glut-SATB2-1,2
batch1,hvc_run1,bird1,Micro,8
batch1,hvc_run1,bird1,OPC,65
batch1,hvc_run1,bird1,Oligo-1,3
batch1,hvc_run1,bird1,Oligo-2,130
batch1,hvc_run1,bird1,Oligo-3,6
batch1,hvc_run1,bird2,Astro-1,25
batch1,hvc_run1,bird2,Astro-2,79
batch1,hvc_run1,bird2,Astro-3,3
batch1,hvc_run1,bird2,Epen,18
batch1,hvc_run1,bird2,GABA-1-1,61
batch1,hvc_run1,bird2,GABA-1-2,22
batch1,hvc_run1,bird2,GABA-2-1,14
