soup_batch,soup_library,individual,celltype_hybrid,n
batch1,hvc_run1,bird2,GABA-2-2,38
batch1,hvc_run1,bird2,GABA-2-3,5
batch1,hvc_run1,bird2,GABA-3,35
batch1,hvc_run1,bird2,GABA-4-1,5
batch1,hvc_run1,bird2,GABA-4-2,12
batch1,hvc_run1,bird2,GABA-5-1,6
batch1,hvc_run1,bird2,GABA-5-2,5
batch1,hvc_run1,bird2,GABA-6,8
batch1,hvc_run1,bird2,GABA-7,1
batch1,hvc_run1,bird2,GABA-8,4
batch1,hvc_run1,bird2,GABA-Im,7
batch1,hvc_run1,bird2,Glut-DACH2-1,34
batch1,hvc_run1,bird2,Glut-DACH2-2,94
batch1,hvc_run1,bird2,Glut-DACH2-3,1
batch1,hvc_run1,bird2,Glut-DACH2-4,14
batch1,hvc_run1,bird2,Glut-DACH2-5,1
batch1,hvc_run1,bird2,Glut-DACH2-7,4
batch1,hvc_run1,bird2,Glut-DACH2-HVCra,594
batch1,hvc_run1,bird2,Glut-DACH2-HVCra-Pre,151
batch1,hvc_run1,bird2,Glut-DACH2-HVCx,81
batch1,hvc_run1,bird2,Glut-GABA,11
batch1,hvc_run1,bird2,Glut-Im,10
batch1,hvc_run1,bird2,Glut-NB,94
batch1,hvc_run1,bird2,Glut-NSC,67
batch1,hvc_run1,bird2,Micro,5
batch1,hvc_run1,bird2,OPC,16
batch1,hvc_run1,bird2,Oligo-2,34
batch1,hvc_run1,bird2,Oligo-3,1
batch1,hvc_run1,bird3,Astro-1,71
batch1,hvc_run1,bird3,Astro-2,89
batch1,hvc_run1,bird3,Endo,3
batch1,hvc_run1,bird3,Epen,35
batch1,hvc_run1,bird3,GABA-1-1,106
batch1,hvc_run1,bird3,GABA-1-2,35
batch1,hvc_run1,bird3,GABA-2-1,25
batch1,hvc_run1,bird3,GABA-2-2,58
batch1,hvc_run1,bird3,GABA-2-3,10
batch1,hvc_run1,bird3,GABA-3,57
batch1,hvc_run1,bird3,GABA-4-1,18
batch1,hvc_run1,bird3,GABA-4-2,10
batch1,hvc_run1,bird3,GABA-5-1,6
batch1,hvc_run1,bird3,GABA-5-2,18
batch1,hvc_run1,bird3,GABA-6,9
batch1,hvc_run1,bird3,GABA-7,10
batch1,hvc_run1,bird3,GABA-8,6
batch1,hvc_run1,bird3,GABA-Im,12
batch1,hvc_run1,bird3,Glut-DACH2-1,121
batch1,hvc_run1,bird3,Glut-DACH2-2,207
batch1,hvc_run1,bird3,Glut-DACH2-3,5
batch1,hvc_run1,bird3,Glut-DACH2-4,22
batch1,hvc_run1,bird3,Glut-DACH2-5,3
batch1,hvc_run1,bird3,Glut-DACH2-6,1
batch1,hvc_run1,bird3,Glut-DACH2-7,1
batch1,hvc_run1,bird3,Glut-DACH2-HVCra,733
batch1,hvc_run1,bird3,Glut-DACH2-HVCra-Pre,249
batch1,hvc_run1,bird3,Glut-DACH2-HVCx,97
batch1,hvc_run1,bird3,Glut-GABA,23
batch1,hvc_run1,bird3,Glut-Im,31
batch1,hvc_run1,bird3,Glut-NB,149
batch1,hvc_run1,bird3,Glut-NSC,62
batch1,hvc_run1,bird3,Micro,8
batch1,hvc_run1,bird3,OPC,28
batch1,hvc_run1,bird3,Oligo-1,1
batch1,hvc_run1,bird3,Oligo-2,37
batch1,hvc_run1,bird3,Oligo-3,3
batch1,nc_run1,bird1,Astro-1,6
batch1,nc_run1,bird1,Astro-2,132
batch1,nc_run1,bird1,Endo,7
batch1,nc_run1,bird1,GABA-1-1,178
batch1,nc_run1,bird1,GABA-1-2,113
batch1,nc_run1,bird1,GABA-2-1,32
batch1,nc_run1,bird1,GABA-2-2,70
batch1,nc_run1,bird1,GABA-2-3,28
batch1,nc_run1,bird1,GABA-3,111
batch1,nc_run1,bird1,GABA-4-1,10
batch1,nc_run1,bird1,GABA-5-1,19
batch1,nc_run1,bird1,GABA-5-2,41
batch1,nc_run1,bird1,GABA-6,21
batch1,nc_run1,bird1,GABA-7,23
batch1,nc_run1,bird1,GABA-8,25
batch1,nc_run1,bird1,GABA-Im,25
batch1,nc_run1,bird1,Glut-DACH2-1,897
batch1,nc_run1,bird1,Glut-DACH2-2,146
batch1,nc_run1,bird1,Glut-DACH2-3,473
batch1,nc_run1,bird1,Glut-DACH2-4,101
batch1,nc_run1,bird1,Glut-DACH2-5,59
batch1,nc_run1,bird1,Glut-DACH2-7,3
batch1,nc_run1,bird1,Glut-DACH2-8,1
batch1,nc_run1,bird1,Glut-DACH2-HVCra-Pre,13
batch1,nc_run1,bird1,Glut-DACH2-HVCx,1
batch1,nc_run1,bird1,Glut-GABA,36
batch1,nc_run1,bird1,Glut-Im,180
batch1,nc_run1,bird1,Glut-NB,56
batch1,nc_run1,bird1,Micro,3
batch1,nc_run1,bird1,OPC,72
batch1,nc_run1,bird1,Oligo-1,2
batch1,nc_run1,bird1,Oligo-2,13
batch1,nc_run1,bird1,Oligo-3,1
batch1,nc_run1,bird2,Astro-1,1
batch1,nc_run1,bird2,Astro-2,78
batch1,nc_run1,bird2,Astro-3,5
batch1,nc_run1,bird2,Endo,19
batch1,nc_run1,bird2,GABA-1-1,76
batch1,nc_run1,bird2,GABA-1-2,60
batch1,nc_run1,bird2,GABA-2-1,17
batch1,nc_run1,bird2,GABA-2-2,31
batch1,nc_run1,bird2,GABA-2-3,7
batch1,nc_run1,bird2,GABA-3,47
batch1,nc_run1,bird2,GABA-4-1,6
batch1,nc_run1,bird2,GABA-5-1,12
batch1,nc_run1,bird2,GABA-5-2,14
batch1,nc_run1,bird2,GABA-6,8
batch1,nc_run1,bird2,GABA-7,7
batch1,nc_run1,bird2,GABA-8,4
batch1,nc_run1,bird2,GABA-Im,19
batch1,nc_run1,bird2,Glut-DACH2-1,289
batch1,nc_run1,bird2,Glut-DACH2-2,124
batch1,nc_run1,bird2,Glut-DACH2-3,114
batch1,nc_run1,bird2,Glut-DACH2-4,34
batch1,nc_run1,bird2,Glut-DACH2-5,35
batch1,nc_run1,bird2,Glut-DACH2-7,2
batch1,nc_run1,bird2,Glut-DACH2-HVCra-Pre,5
batch1,nc_run1,bird2,Glut-GABA,14
batch1,nc_run1,bird2,Glut-Im,58
batch1,nc_run1,bird2,Glut-NB,36
batch1,nc_run1,bird2,Glut-SATB2-1,2
batch1,nc_run1,bird2,Micro,16
batch1,nc_run1,bird2,OPC,48
batch1,nc_run1,bird2,Oligo-2,5
batch1,nc_run1,bird3,Astro-1,3
batch1,nc_run1,bird3,Astro-2,96
batch1,nc_run1,bird3,Astro-3,2
batch1,nc_run1,bird3,Endo,1
batch1,nc_run1,bird3,GABA-1-1,108
batch1,nc_run1,bird3,GABA-1-2,67
batch1,nc_run1,bird3,GABA-2-1,18
batch1,nc_run1,bird3,GABA-2-2,19
batch1,nc_run1,bird3,GABA-2-3,21
batch1,nc_run1,bird3,GABA-3,62
batch1,nc_run1,bird3,GABA-4-1,7
batch1,nc_run1,bird3,GABA-5-1,9
batch1,nc_run1,bird3,GABA-5-2,29
batch1,nc_run1,bird3,GABA-6,12
batch1,nc_run1,bird3,GABA-7,11
batch1,nc_run1,bird3,GABA-8,10
batch1,nc_run1,bird3,GABA-Im,7
batch1,nc_run1,bird3,Glut-DACH2-1,660
batch1,nc_run1,bird3,Glut-DACH2-2,195
batch1,nc_run1,bird3,Glut-DACH2-3,110
batch1,nc_run1,bird3,Glut-DACH2-4,66
batch1,nc_run1,bird3,Glut-DACH2-5,36
batch1,nc_run1,bird3,Glut-DACH2-7,2
batch1,nc_run1,bird3,Glut-DACH2-8,1
batch1,nc_run1,bird3,Glut-DACH2-HVCra-Pre,5
batch1,nc_run1,bird3,Glut-GABA,24
batch1,nc_run1,bird3,Glut-Im,81
batch1,nc_run1,bird3,Glut-NB,26
batch1,nc_run1,bird3,Micro,7
batch1,nc_run1,bird3,OPC,27
batch1,nc_run1,bird3,Oligo-2,9
batch1,ra_run1,bird1,Astro-1,324
batch1,ra_run1,bird1,Astro-2,13
batch1,ra_run1,bird1,Endo,5
batch1,ra_run1,bird1,GABA-1-1,57
batch1,ra_run1,bird1,GABA-1-2,21
batch1,ra_run1,bird1,GABA-2-1,75
batch1,ra_run1,bird1,GABA-2-2,4
batch1,ra_run1,bird1,GABA-2-3,14
batch1,ra_run1,bird1,GABA-3,17
batch1,ra_run1,bird1,GABA-4-1,88
batch1,ra_run1,bird1,GABA-4-2,45
batch1,ra_run1,bird1,GABA-5-1,52
batch1,ra_run1,bird1,GABA-5-2,22
batch1,ra_run1,bird1,GABA-6,32
batch1,ra_run1,bird1,GABA-7,2
batch1,ra_run1,bird1,GABA-8,17
batch1,ra_run1,bird1,GABA-Im,11
batch1,ra_run1,bird1,Glut-CACNA1H-1,103
batch1,ra_run1,bird1,Glut-CACNA1H-2,45
batch1,ra_run1,bird1,Glut-CACNA1H-3,3
batch1,ra_run1,bird1,Glut-CACNA1H-4,73
batch1,ra_run1,bird1,Glut-CACNA1H-RA,465
batch1,ra_run1,bird1,Glut-DACH2-1,9
batch1,ra_run1,bird1,Glut-DACH2-2,1
batch1,ra_run1,bird1,Glut-DACH2-3,1
batch1,ra_run1,bird1,Glut-DACH2-4,1
batch1,ra_run1,bird1,Glut-DACH2-HVCra-Pre,2
batch1,ra_run1,bird1,Glut-GABA,1
batch1,ra_run1,bird1,Glut-Im,2
batch1,ra_run1,bird1,Micro,9
batch1,ra_run1,bird1,OPC,138
batch1,ra_run1,bird1,Oligo-1,217
batch1,ra_run1,bird1,Oligo-2,18
batch1,ra_run1,bird1,Oligo-3,29
batch1,ra_run1,bird2,Astro-1,162
batch1,ra_run1,bird2,Astro-2,31
batch1,ra_run1,bird2,Endo,5
batch1,ra_run1,bird2,GABA-1-1,28
batch1,ra_run1,bird2,GABA-1-2,18
batch1,ra_run1,bird2,GABA-2-1,49
batch1,ra_run1,bird2,GABA-2-2,1
batch1,ra_run1,bird2,GABA-2-3,6
batch1,ra_run1,bird2,GABA-3,21
batch1,ra_run1,bird2,GABA-4-1,31
batch1,ra_run1,bird2,GABA-4-2,13
batch1,ra_run1,bird2,GABA-5-1,21
batch1,ra_run1,bird2,GABA-5-2,15
batch1,ra_run1,bird2,GABA-6,17
batch1,ra_run1,bird2,GABA-7,1
batch1,ra_run1,bird2,GABA-8,5
batch1,ra_run1,bird2,GABA-Im,5
batch1,ra_run1,bird2,Glut-CACNA1H-1,60
batch1,ra_run1,bird2,Glut-CACNA1H-2,69
batch1,ra_run1,bird2,Glut-CACNA1H-3,9
batch1,ra_run1,bird2,Glut-CACNA1H-4,6
batch1,ra_run1,bird2,Glut-CACNA1H-RA,313
batch1,ra_run1,bird2,Glut-DACH2-2,3
batch1,ra_run1,bird2,Glut-DACH2-3,1
batch1,ra_run1,bird2,Glut-Im,1
batch1,ra_run1,bird2,Micro,4
batch1,ra_run1,bird2,OPC,58
batch1,ra_run1,bird2,Oligo-1,88
batch1,ra_run1,bird2,Oligo-2,3
batch1,ra_run1,bird2,Oligo-3,6
batch1,ra_run1,bird3,Astro-1,266
batch1,ra_run1,bird3,Astro-2,20
batch1,ra_run1,bird3,Endo,5
batch1,ra_run1,bird3,GABA-1-1,27
batch1,ra_run1,bird3,GABA-1-2,16
batch1,ra_run1,bird3,GABA-2-1,50
batch1,ra_run1,bird3,GABA-2-2,6
batch1,ra_run1,bird3,GABA-2-3,20
batch1,ra_run1,bird3,GABA-3,5
batch1,ra_run1,bird3,GABA-4-1,40
batch1,ra_run1,bird3,GABA-4-2,43
batch1,ra_run1,bird3,GABA-5-1,35
batch1,ra_run1,bird3,GABA-5-2,12
batch1,ra_run1,bird3,GABA-6,33
batch1,ra_run1,bird3,GABA-7,1
batch1,ra_run1,bird3,GABA-8,5
batch1,ra_run1,bird3,GABA-Im,11
batch1,ra_run1,bird3,Glut-CACNA1H-1,114
batch1,ra_run1,bird3,Glut-CACNA1H-2,8
batch1,ra_run1,bird3,Glut-CACNA1H-3,4
batch1,ra_run1,bird3,Glut-CACNA1H-4,4
batch1,ra_run1,bird3,Glut-CACNA1H-RA,418
batch1,ra_run1,bird3,Glut-DACH2-2,1
batch1,ra_run1,bird3,Glut-DACH2-3,1
batch1,ra_run1,bird3,Glut-NB,1
batch1,ra_run1,bird3,Micro,6
batch1,ra_run1,bird3,OPC,81
batch1,ra_run1,bird3,Oligo-1,169
batch1,ra_run1,bird3,Oligo-2,8
batch1,ra_run1,bird3,Oligo-3,18
batch2,lman_run1,bird4,Astro-1,1
batch2,lman_run1,bird4,Astro-2,11
batch2,lman_run1,bird4,Astro-3,179
batch2,lman_run1,bird4,Endo,8
batch2,lman_run1,bird4,GABA-1-1,132
batch2,lman_run1,bird4,GABA-1-2,18
batch2,lman_run1,bird4,GABA-2-1,8
batch2,lman_run1,bird4,GABA-2-2,24
batch2,lman_run1,bird4,GABA-2-3,70
batch2,lman_run1,bird4,GABA-3,55
batch2,lman_run1,bird4,GABA-4-1,4
batch2,lman_run1,bird4,GABA-4-2,116
batch2,lman_run1,bird4,GABA-5-1,9
batch2,lman_run1,bird4,GABA-5-2,23
batch2,lman_run1,bird4,GABA-6,39
batch2,lman_run1,bird4,GABA-7,18
batch2,lman_run1,bird4,GABA-8,18
batch2,lman_run1,bird4,GABA-Im,11
batch2,lman_run1,bird4,Glut-DACH2-1,23
batch2,lman_run1,bird4,Glut-DACH2-5,33
batch2,lman_run1,bird4,Glut-DACH2-6,120
batch2,lman_run1,bird4,Glut-DACH2-7,14
batch2,lman_run1,bird4,Glut-DACH2-8,174
batch2,lman_run1,bird4,Glut-DACH2-LMANco,287
batch2,lman_run1,bird4,Glut-DACH2-LMANsh,443
batch2,lman_run1,bird4,Glut-GABA,23
batch2,lman_run1,bird4,Glut-Im,67
batch2,lman_run1,bird4,Glut-NB,17
batch2,lman_run1,bird4,Glut-SATB2-1,5
batch2,lman_run1,bird4,Micro,1
batch2,lman_run1,bird4,OPC,29
batch2,lman_run1,bird4,Oligo-1,86
batch2,lman_run1,bird4,Oligo-2,3
batch2,lman_run1,bird4,Oligo-3,4
batch2,lman_run1,bird5,Astro-2,8
batch2,lman_run1,bird5,Astro-3,60
batch2,lman_run1,bird5,Endo,1
batch2,lman_run1,bird5,GABA-1-1,44
batch2,lman_run1,bird5,GABA-1-2,12
batch2,lman_run1,bird5,GABA-2-2,6
batch2,lman_run1,bird5,GABA-2-3,34
batch2,lman_run1,bird5,GABA-3,8
batch2,lman_run1,bird5,GABA-4-1,2
batch2,lman_run1,bird5,GABA-4-2,55
batch2,lman_run1,bird5,GABA-5-1,1
batch2,lman_run1,bird5,GABA-5-2,6
batch2,lman_run1,bird5,GABA-6,18
batch2,lman_run1,bird5,GABA-7,12
batch2,lman_run1,bird5,GABA-8,4
batch2,lman_run1,bird5,GABA-Im,1
batch2,lman_run1,bird5,Glut-DACH2-1,6
batch2,lman_run1,bird5,Glut-DACH2-5,10
batch2,lman_run1,bird5,Glut-DACH2-6,10
batch2,lman_run1,bird5,Glut-DACH2-8,22
batch2,lman_run1,bird5,Glut-DACH2-LMANco,127
batch2,lman_run1,bird5,Glut-DACH2-LMANsh,183
batch2,lman_run1,bird5,Glut-GABA,12
batch2,lman_run1,bird5,Glut-Im,29
batch2,lman_run1,bird5,Glut-NB,2
batch2,lman_run1,bird5,Micro,2
batch2,lman_run1,bird5,OPC,14
batch2,lman_run1,bird5,Oligo-1,48
batch2,lman_run1,bird5,Oligo-2,2
batch2,lman_run1,bird5,Oligo-3,3
batch2,lman_run1,bird6,Astro-2,2
batch2,lman_run1,bird6,Astro-3,238
batch2,lman_run1,bird6,Endo,3
batch2,lman_run1,bird6,GABA-1-1,124
batch2,lman_run1,bird6,GABA-1-2,16
batch2,lman_run1,bird6,GABA-2-1,5
batch2,lman_run1,bird6,GABA-2-2,18
batch2,lman_run1,bird6,GABA-2-3,56
batch2,lman_run1,bird6,GABA-3,42
batch2,lman_run1,bird6,GABA-4-1,2
batch2,lman_run1,bird6,GABA-4-2,145
batch2,lman_run1,bird6,GABA-5-1,22
batch2,lman_run1,bird6,GABA-5-2,17
batch2,lman_run1,bird6,GABA-6,22
batch2,lman_run1,bird6,GABA-7,19
batch2,lman_run1,bird6,GABA-8,15
batch2,lman_run1,bird6,GABA-Im,5
batch2,lman_run1,bird6,Glut-CACNA1H-2,1
batch2,lman_run1,bird6,Glut-DACH2-1,20
batch2,lman_run1,bird6,Glut-DACH2-4,1
batch2,lman_run1,bird6,Glut-DACH2-5,36
batch2,lman_run1,bird6,Glut-DACH2-6,64
batch2,lman_run1,bird6,Glut-DACH2-7,11
batch2,lman_run1,bird6,Glut-DACH2-8,154
batch2,lman_run1,bird6,Glut-DACH2-LMANco,265
batch2,lman_run1,bird6,Glut-DACH2-LMANsh,510
batch2,lman_run1,bird6,Glut-GABA,18
batch2,lman_run1,bird6,Glut-Im,52
batch2,lman_run1,bird6,Glut-NB,14
batch2,lman_run1,bird6,Glut-SATB2-1,2
batch2,lman_run1,bird6,Micro,2
batch2,lman_run1,bird6,OPC,26
batch2,lman_run1,bird6,Oligo-1,136
batch2,lman_run1,bird6,Oligo-2,13
batch2,lman_run1,bird6,Oligo-3,5
batch2,nr_run1,bird4,Astro-1,1
batch2,nr_run1,bird4,Astro-3,46
batch2,nr_run1,bird4,Endo,2
batch2,nr_run1,bird4,GABA-1-1,56
batch2,nr_run1,bird4,GABA-1-2,13
batch2,nr_run1,bird4,GABA-2-1,7
batch2,nr_run1,bird4,GABA-2-2,13
batch2,nr_run1,bird4,GABA-2-3,16
batch2,nr_run1,bird4,GABA-3,31
batch2,nr_run1,bird4,GABA-4-1,2
batch2,nr_run1,bird4,GABA-5-1,4
batch2,nr_run1,bird4,GABA-5-2,13
batch2,nr_run1,bird4,GABA-6,7
batch2,nr_run1,bird4,GABA-7,8
batch2,nr_run1,bird4,GABA-8,7
batch2,nr_run1,bird4,GABA-Im,11
batch2,nr_run1,bird4,Glut-DACH2-1,25
batch2,nr_run1,bird4,Glut-DACH2-2,1
batch2,nr_run1,bird4,Glut-DACH2-5,85
batch2,nr_run1,bird4,Glut-DACH2-6,190
batch2,nr_run1,bird4,Glut-DACH2-7,62
batch2,nr_run1,bird4,Glut-DACH2-8,29
batch2,nr_run1,bird4,Glut-DACH2-LMANsh,7
batch2,nr_run1,bird4,Glut-GABA,10
batch2,nr_run1,bird4,Glut-Im,59
batch2,nr_run1,bird4,Glut-NB,4
batch2,nr_run1,bird4,Glut-SATB2-1,2
batch2,nr_run1,bird4,Micro,1
batch2,nr_run1,bird4,OPC,4
batch2,nr_run1,bird4,Oligo-2,2
batch2,nr_run1,bird5,Astro-1,1
batch2,nr_run1,bird5,Astro-2,5
batch2,nr_run1,bird5,Astro-3,132
batch2,nr_run1,bird5,Endo,3
batch2,nr_run1,bird5,GABA-1-1,197
batch2,nr_run1,bird5,GABA-1-2,52
batch2,nr_run1,bird5,GABA-2-1,8
batch2,nr_run1,bird5,GABA-2-2,46
batch2,nr_run1,bird5,GABA-2-3,32
batch2,nr_run1,bird5,GABA-3,84
batch2,nr_run1,bird5,GABA-4-1,20
batch2,nr_run1,bird5,GABA-4-2,2
batch2,nr_run1,bird5,GABA-5-1,16
batch2,nr_run1,bird5,GABA-5-2,19
batch2,nr_run1,bird5,GABA-6,23
batch2,nr_run1,bird5,GABA-7,16
batch2,nr_run1,bird5,GABA-8,13
batch2,nr_run1,bird5,GABA-Im,20
batch2,nr_run1,bird5,Glut-DACH2-1,54
batch2,nr_run1,bird5,Glut-DACH2-2,3
batch2,nr_run1,bird5,Glut-DACH2-3,1
batch2,nr_run1,bird5,Glut-DACH2-4,3
batch2,nr_run1,bird5,Glut-DACH2-5,385
batch2,nr_run1,bird5,Glut-DACH2-6,205
batch2,nr_run1,bird5,Glut-DACH2-7,324
batch2,nr_run1,bird5,Glut-DACH2-8,57
batch2,nr_run1,bird5,Glut-DACH2-LMANsh,5
batch2,nr_run1,bird5,Glut-GABA,33
batch2,nr_run1,bird5,Glut-Im,182
batch2,nr_run1,bird5,Glut-NB,18
batch2,nr_run1,bird5,Glut-SATB2-1,248
batch2,nr_run1,bird5,Micro,1
batch2,nr_run1,bird5,OPC,38
batch2,nr_run1,bird5,Oligo-2,8
batch2,nr_run1,bird6,Astro-1,6
batch2,nr_run1,bird6,Astro-2,3
batch2,nr_run1,bird6,Astro-3,163
batch2,nr_run1,bird6,Endo,4
batch2,nr_run1,bird6,GABA-1-1,271
batch2,nr_run1,bird6,GABA-1-2,58
batch2,nr_run1,bird6,GABA-2-1,17
batch2,nr_run1,bird6,GABA-2-2,66
batch2,nr_run1,bird6,GABA-2-3,43
batch2,nr_run1,bird6,GABA-3,146
batch2,nr_run1,bird6,GABA-4-1,11
batch2,nr_run1,bird6,GABA-4-2,13
batch2,nr_run1,bird6,GABA-5-1,26
batch2,nr_run1,bird6,GABA-5-2,36
batch2,nr_run1,bird6,GABA-6,20
batch2,nr_run1,bird6,GABA-7,28
batch2,nr_run1,bird6,GABA-8,27
batch2,nr_run1,bird6,GABA-Im,17
batch2,nr_run1,bird6,Glut-DACH2-1,88
