"","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_DACH2_ITGA9","Ex_SATB2_OVOA","Ex_DACH2_SLIT2","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_KIAA1217","Ex_DACH2_CEMIP","Ex_DACH2_LUZP2","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_DACH2_RORB","Ex_SATB2_FOXP2","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_SATB2_SOX6","Ex_BCL6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.775517550897176,0.00494954599338069,0.0388853499565355,0.000400676900688124,0.00438496265909282,0.000534431777406897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.430175524464,0.00551651184202167,0.0518346162394683,0.000465459323286641,0.02091786314822,0.00362061169631228,0.00112315948955329,0.00423683915278763,0.00136543633186818,0.00495647699717508,0.0500263747614982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.632431944627737,0.00477141515683699,0.0700053882136817,0.000742165672488111,0.0216117743265998,0,0,0,0,0,0.00199060688723152,0.00100950065079007,0.000557988372874663,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.646230342953553,0,0.00134926076611218,0,0,0.16857996502285,0,0,0,0,0.001339915823517,0,0,0.00123807831764141,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.512839610406057,0.0394040438889361,0,0,0.00262266312390097,0,0.000547813107689428,0,0,0,0.00031922036793066,0.0115896881805148,0,0.000365710076900281,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.0958643843159889,0.00361862881591263,0.00890930668278323,0.00984988398911142,0,0,0.00166704580301547,0,0,0,0,0.0077077616062614,0.0358719952840918,0.325900588912618,0.000414140537791062,0.000644959951216333,0.0977411043389939,0.0184819357542796,0,0,0,0,0
"Glut-DACH2-2",0,0,0.0185062155653083,0.000344963028641648,0.000858654476562316,0,0,0,0,0,0,0.00295496645227108,0,0.0501223317870302,0.216163927845155,0.0950967267309669,0,0,0.0756659107939969,0.0518769568535127,0,0,0,0,0
"Glut-DACH2-3",0,0,0.00677360360082312,0.0151193535158208,0,0.585175359003405,0,0,0,0,0,0,0.0340256675607206,0,0,0.00304467869519194,0,0,0.000381096436942977,0.00124513884083655,0.00151213540799361,0.0820998665697657,0.000362191247106499,0,0
"Glut-DACH2-4",0,0,0.0451654746905266,0.280064047230629,0.0203280107058516,0.01780183705668,0.0153062358532286,0,0,0,0,0,0.0104383106260114,0,0,0.0145668616790941,0,0.00231579997829879,0.00332462417381756,0.0019620185410363,0,0.0642423744774094,0.00634043212408641,0,0
"Glut-DACH2-5",0,0,0.0206712904527011,0,0.00048441587149468,0,0,0,0,0,0,0.000973951945076458,0,0.00049129741090265,0.271400667402049,0.0266397777052127,0,0,0.0344189220993577,0.248498350397907,0,0,0,0,0
