"","Ex_CACNA1H_LHX9","Ex_KIAA1217_BCL6","Ex_DACH2_NR4A3","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_Pre_KCNH7","Ex_CACNA1H_PROX1","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_FOXP2","Ex_SATB2_SOX6","Ex_DACH2_RORB","Ex_KIAA1217"
"Glut-CACNA1H-1",0.849006420395327,0.000514061310583374,0.00123002595838841,0.0117427696778918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.572358146000406,0,0.000847838824106378,0.0359870661397165,0.000527768012244797,0.000364390910848442,0.0277848930999245,0.000426544313540857,0.00037433564371802,0.000379016379697895,0.000294952364597077,0.000415726862601882,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.697157154873665,0,0.00348208853028659,0.0519235940398035,0,0,0,0,0,0,0,0.00245751174456724,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.714494792315573,0,0.00103086528592462,0.00246243574489669,0,0,0,0.0387379696925066,0,0,0,0.00326547212687848,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.871934087582877,0,0,0.00701540182825728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000379243881582556,0,0.216260402151201,0,0,0,0,0.00460311256124604,0,0,0.00531942329915733,0.129519938067844,0.00168871194228012,0.196490938805314,0.00202980662755245,0.00163892561136953,0.000788307539728864,0,0,0,0,0
"Glut-DACH2-2",0,0,0.348190851226469,0,0,0,0,0.000369296122102183,0,0,0,0.048258489039996,0,0.0911916730062428,0,0.00226306520637702,0,0,0,0,0,0
"Glut-DACH2-3",0,0,0.0190699591276524,0,0,0,0,0.566212290220794,0,0,0.00155019900562307,0.00199907784631948,0.00374966295237455,0.000487033739491815,0.122019069792463,0,0.00120846682575278,0.00312298451701839,0,0,0,0
"Glut-DACH2-4",0,0.0204326504791688,0.0663147481212065,0,0,0,0,0.0902366954526863,0,0,0.165932478289391,0.0167355624314761,0.000983811841211925,0.00327784769509694,0.051426912918542,0,0,0,0.0226364670165538,0.022478450985467,0,0
"Glut-DACH2-5",0,0,0.338313601025917,0,0,0,0,0,0,0,0,0.0313903228122406,0,0.0422816936278459,0,0.0311381320484,0,0,0,0,0,0
"Glut-DACH2-6",0,0.000894778420068257,0.00367205675909007,0,0,0,0,0.00541700242027977,0,0,0.00340794064299672,0.00191153422079218,0,0,0.282006039830151,0,0,0.36534921722854,0.0044952746706124,0.000719724755888003,0,0
"Glut-DACH2-7",0,0.000324081802381843,0.228095542516838,0,0,0,0,0,0,0,0.00120282385873947,0.101447438016832,0,0.12577820796222,0.0211985420097882,0.0010323449516311,0,0,0,0.000240501443409797,0,0
"Glut-DACH2-8",0,0,0.000713554855989311,0,0,0,0,0,0.000488789443846103,0,0,0.00133090132917173,0,0,0.745198447534324,0,0,0.0245296227865312,0,0,0,0
"Glut-DACH2-HVCra",0,0.00571893784966455,0.0573465664330311,0,0,0,0,0.000350674582625712,0,0,0.000212832964737314,0.107355178975138,0,0.137945591752923,0.00207294200013974,0.000393958058931174,0,0,0.00384211801531193,0.0398234065350916,0.00558085905030938,0.000940752927689109
"Glut-DACH2-HVCra-Int",0,0,0.177305423931065,0,0,0,0,0.000395700351999702,0,0,0.0018877818175928,0.11891626388614,0,0.156582053396478,0.000820366178966976,0,0,0,0,0.00170310856344887,0,0
"Glut-DACH2-HVCx",0,0.21729882535679,0.000696403592945016,0,0,0,0,0.00057236686429375,0,0,0.0020182082996532,0.00597928798294431,0,0,0.00410046654216449,0,0,0,0.157109488166925,0.00903378010720118,0,0.040326123983503
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676573398791188,0,0,0.0107206784210453,0,0.000252019169019882,0,0.00829628467937066
"Glut-DACH2-LMANsh",0,0,0.262943196351809,0,0,0,0,0,0,0,0,0.0352088336493985,0,0.00773471928309464,0.0585566059479053,0.0538354349371311,0,0,0,0,0.00140327836343557,0
