"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-DACH2-6","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-1","Glut-DACH2-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-HVCra","Glut-DACH2-LMANco"
"Ex_BCL6",0.0119108548646689,0.370449752480171,0.00100489323777929,0.00749235053074001,0.0318812763483829,0.000995304263417046,0.0357349940631391,0.00171288546809444,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0249553216246156,0.000873044739249672,0,0,0.472748406565039,0,0.00300375745102768,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0479865812932637,0,0,0.055700227383144,0.392360858797358,0,0.00404320030154552,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.123393965714111,0.00163307761089331,0,0.116925568485074,0.223943855755057,0,0.0174324988740042,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0643447806964161,0.0755032806957528,0,0.00481036755595768,0.14685579010175,0.00050891579743151,0.0696222920460079,0.00254175365004101,0.000551823916067894,0.000904116656133516,0,0,0
"Ex_CACNA1H_PROX1",0.00148780659734014,0.00307237846971779,0,0.0239146699331633,0.375468231564637,0,0.0373427159602729,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.103816644810794,0.00364545256240046,0,0,0.00393305000131249,0.232124005050119,0.00362581040956038,0,0.00732038664647219,0,0,0
"Ex_DACH2_CEMIP",0.000581696502699078,0.438614131637722,0.0207560924235017,0,0,0,0.00746752163013637,0.00176508708860288,0,0.017157574564675,0,0,0
"Ex_DACH2_GRIK4",0.000769769647067946,0.00541506273513005,0,0.00111931265300369,0.0010786731274846,0.0028857126491951,0.403316565458498,0.000279939256898169,0.00654553448101085,0.000212823900939561,0,0,0
"Ex_DACH2_ITGA9",0.00663271555212576,0.207122838708213,0.00556208908502386,0,0.000231418301362504,0.00188156250166209,0.112627796598668,0.0292683853420147,0.000249622809799485,0.0053123624291621,0,0,0
"Ex_DACH2_LHX2",0.000412858388077061,0.0215183210987577,0,0,0.00199206670016677,0,0.442053944404593,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0.0004119002555483,0.024715520575035,0,0.0103765793111377,0.0231016095971975,0.00022976987454217,0.377688593421699,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.000272573681705413,0.013376187549962,0.000260916091351022,0.000297075596145187,0,0.00157667504017126,0.421953814198847,0.00199099367777798,0,0,0,0,0
"Ex_DACH2_NR4A3",0,0.0211768140228526,0.000553315823161064,0.000931566348208189,0,0.000589171293436354,0.521225941562043,0,0,0,0,0,0
"Ex_DACH2_RORB",0,0.465736985345495,0,0,0,0,0.00572407511528789,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.000413013008624966,0.470864971868177,0,0.00290116449491772,0.00720153511624973,0.000432462287324295,0.0910609171199305,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.418263696747902,0.00523581196916777,0,0,0.000322397162766981,0.00634149369024807,0.000470955773789858,0.00030357845024957,0.012995345085647,0,0,0
"Ex_DACH2_ZMAT4",0,0.410479458297974,0.00378136853100105,0,0,0,0.00523662891300691,0.00175740063879186,0,0.0397621746002506,0,0,0
"Ex_KIAA1217",0.14905538986392,0.0682443467278704,0.0107332660635333,0.0269887265155897,0.0294689083379063,0.000997340066448738,0.00322652337487483,0.0117445528887199,0.00185787423907861,0.000504468080625279,0.000429435243091978,0,0
"Ex_KIAA1217_BCL6",0.155438663431325,0.016617014638769,0.0228887562134745,0.064896644845679,0.0778634360167372,0.00132287796899782,0.0112020427742748,0.00731969674675126,0.000610467209136167,0.00129327463746154,0,0,0
"Ex_Pre_KCNH7",0.00196723241884222,0.136607530792706,0,0.000671018547559894,0.0121641157080585,0.000491071341201844,0.124187689897109,0,0.00178617221010754,0,0,0,0
"Ex_Pre_SATB2",0.00629306010489021,0.117066663934752,0,0.00252403507868017,0.0309664243393809,0.00208528076367491,0.091380113186897,0,0.00460264605963051,0,0,0.000701363852479279,0
"Ex_SATB2_FOXP2",0.102653274080588,0.0328580991689304,0.0126365322103895,0.00137351123133974,0.00196303087541419,0.00443725166237506,0.0378042061396945,0.0291238270940753,0.0234852067132491,0.0150533047667395,0,0.000998904955593441,0
"Ex_SATB2_OVOA",0.00819374136746142,0.0370401112558224,0.000622199644618355,0.00360624212078605,0.008262889826734,0.00778345297742169,0.26439221048819,0.00842219262664404,0.00628519873731082,0.000995630430842459,0,0,0
"Ex_SATB2_SOX6",0.0200416985587979,0.0680433922724313,0.0212859532146956,0.00487923465903427,0.00435722640159543,0.0119455993634299,0.0675653548122266,0.0394116899517054,0.00900496986935123,0.00863539710969639,0.000178198525542242,0.000330354029351783,0
"Ex_SATB2_ZNF385B",0.037189888717124,0.126584902354642,0.0211322269298922,0.00738795059030418,0.0177731556940101,0.00512761989585432,0.0166954196792662,0.0154927202703414,0.010249415604575,0.00164399803387632,0,0.000389412199670502,0.000150691342073725
"Ex_TSHZ2_NR4A2",0.513949772641504,0.00523243976052729,0,0.00879534986416994,0,0,0.0161306434606786,0,0,0.00135047680079853,0,0,0
