"","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-1","Glut-DACH2-7","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-3","Glut-DACH2-LMANco"
"Ex_BCL6",0.218115454508905,0.148109857019243,0.00599811621485814,0.00187257091760727,0.00114118654825988,0.0597689047701639,0.0346587395103066,0.0178617279012972,0.0141350343480179,0.00113229481319402,0,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0020537470510664,0,0.713608961022918,0,0,0,0.0202334580754578,0,0,0,0.00688227781198217,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0,0,0.452851692598708,0.000680362237478004,0.00705008516621776,0,0.135459697155153,0.00112190024113686,0,0,0.00107208364291031,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.000873780575604931,0.00452234052120693,0.112708063782373,0.00120540408802693,0.0023311446547928,0,0.515835880705112,0,0.00544696429043879,0,0.066810067167544,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00180088563835283,0.0079195093904557,0.0890683091603405,0.00181164411880824,0.147974016249191,0,0.128457999350459,0.00436236972655922,0.0218568860780977,0.00191173765577148,0.000669316910958637,0.0235773463950805,0.000441855615073611,0.0019326052531987,0,0,0,0
"Ex_CACNA1H_PROX1",0,0.0021787919846068,0.34801516392051,0,0.0541224566069754,0,0.154737610020702,0,0.0150098874389078,0,0,0,0,0.00125292957737505,0,0,0,0
"Ex_DACH2_ADAMTS5",0.0138890287970894,0.000659836633378066,0,0,0.030116633095817,0.000758383264115078,0,0.000263160146602643,0.0706183382442084,0.0828394376755615,0,0,0.220707817129054,0.00750882606840016,0.000175721116424682,0,0,0
"Ex_DACH2_CEMIP",0.563965841127582,0.0815844451417689,0,0,0,0,0,0.00207997400505137,0.00833715987468961,0.000899473700240313,0,0,0,0.0328860212276517,0,0.000277980892576858,0,0
"Ex_DACH2_GRIK4",0.00196272190384793,0,0.0003391351245076,0.00139127251812709,0.139687683658825,0.000401610767279065,0.00614470979512034,0,0.33013594838147,0.0328087899628283,0,0,0.0137733834303534,0,0,0.00035999215908527,0,0
"Ex_DACH2_ITGA9",0.0273142350312784,0.102468077896893,0.00130759314655979,0,0.032305457307093,0.00199974636705257,0.000353192274837717,0.0437144107042815,0.0929130740317837,0.022875271152962,0,0.022244013367419,0.000508709369309434,0.0972422512501503,0.000205137431590218,0.000322397522704367,0.000546152848041892,0
"Ex_DACH2_LHX2",0.000461116213775863,0.00235128034841807,0,0.000302245459872823,0.282101687103736,0,0.00159937852261872,0.000242929691504571,0.22758257580884,0.000742324408847216,0,0,0.0138749440432623,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.00940152350436826,0.00196771727333426,0.000711238751321047,0.0850784960769758,0.000478370113733825,0.0649213919656908,0,0.38596769684754,0,0,0,0,0,0,0.00121421842989686,0,0
