"","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-1","Glut-DACH2-7","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-3","Glut-DACH2-LMANco"
"Ex_DACH2_MGAT4C",0.000303919973960817,0.000355244777805871,0,0,0.0988815312663115,0.00256183678552544,0.00136483382067857,0.00174670984986721,0.442143675105309,0.0261055369982358,0,0.000594119601089904,0.00736483030551703,0,0,0.000645393956909425,0,0
"Ex_DACH2_NR4A3",0.00277637849006326,0.00147226938279317,0,0,0.0174527238643543,0.00193000704641231,0.0014662904586826,0,0.412839109394521,0.08536624639649,0,0,0.0346371995337219,0.000448369807243368,0,0.00034395348118714,0,0
"Ex_DACH2_RORB",0.00154058386395609,0.558032622896539,0.00256543705565309,0.000281639774529092,0.000305057992907733,0.00265633037725849,0,0.000322330817770271,0.00093615998951102,0,0,0.000635580570799014,0.0026208922729275,0.00428842836380811,0.000977589781162981,0,0,0.000295020362332967
"Ex_DACH2_SLIT2",0.0140540854525245,0.479146162437632,0,0,0.00423870308925205,0.000829651518184687,0.0859493126130875,0.0100276636420217,0.0914079042345044,0,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.0189861465138301,0.256509964902833,0.000598194131355608,0,0.000672943505698211,0.00203163219074193,0,0.00319258370112998,0.000725233293588746,0.00741131349143861,0,0.00277821070803347,0,0.215921781107882,0.000301290106422258,0,0,0
"Ex_DACH2_ZMAT4",0.0359458864681101,0.24066217135723,0,0,0,0.000572594713555716,0,0.00317789474388533,0.00426685298334838,0.000733103833674743,0,0.000508685086723063,0.000635604603466727,0.327287613991171,0,0,0,0
"Ex_KIAA1217",0.00196025613456446,0.000266981435800653,0.00318166275586606,0.081255731049498,0,0.109752229447766,0.0118632000389964,0.0109759744998709,0,0,0,0,0.0127618277205561,0.0407283872311316,0.00460578687859571,0.00335195471195587,0.000968760595306889,0
"Ex_KIAA1217_BCL6",0.0257608521532148,0,0.0412296835230331,0.00293320346172247,0,0.267577173274952,0.0254761927644931,0.0586685566502419,0.00112858555646704,0,0.00121164269876052,0,0,0.0060346620931798,0,0,0.00149676956681044,0
"Ex_Pre_KCNH7",0.112628474186797,0.00812149396435513,0.110433554796969,0.0224377764124631,0.00148037362796266,0.00286093241088448,0.0193297081875313,0.00318235260068168,0.0588509394902133,0,0,0,0,0.00276629498501917,0.008928175545397,0.0016087754411879,0,0.00265715280455828
"Ex_Pre_SATB2",0.00718940683703112,0.000551441992247705,0.24339315256027,0.00336815344558779,0.0261105393813794,0.00596753134359715,0.0149304343732502,0.0123085627089627,0.0167685371454098,0,0,0,0,0.00583943458418683,0.00684778267028713,0.00377714974408282,0,0
"Ex_SATB2_FOXP2",0.0079915838927426,0,0.0191332184668933,0,0,0.0991217595752356,0.000872082615160364,0.09016204159473,0.00254735015218856,0.0018972699781374,0,0,0,0.0321527404406772,0.00187158651348085,0.0538488266975625,0,0.00774037441875528
"Ex_SATB2_OVOA",0.00197717683934468,0.000292685966213817,0.0120548080212651,0.000613444891204713,0.0237339560255738,0.0171817440553111,0,0.0325394988326583,0.245477624241233,0.0565791374511921,0.00031581694472528,0,0.00892922058805636,0.00108859356951654,0.00174302943209514,0.00342529923703348,0.000230399110296175,0
"Ex_SATB2_SOX6",0.0127506758890338,0,0.00495208250158689,0.000752026317085197,0,0.208678607628344,0,0.0634392416000635,0.0132303095090083,0.000631593299591762,0,0,0,0.00108203316186715,0.00105020810161431,0.0155696416121459,0,0.0387890184302299
"Ex_SATB2_ZNF385B",0.00216131432848192,0,0.0118860787393001,0,0,0.605897931831351,0,0.00468021443360121,0.0033277840792925,0,0,0,0,0.00210331925551695,0,0.00154736366808199,0,0
"Ex_TSHZ2_NR4A2",0.00218815999249691,0.0054981823641702,0.0445858892614161,0.00241007329912201,0.0473886004875328,0,0.0205762228808108,0.00279629205532559,0,0,0.204621197363362,0,0,0,0,0,0.0311648668079349,0
