"","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_SATB2_OVOA","Ex_DACH2_NR4A3","Ex_KIAA1217","Ex_BCL6","Ex_CACNA1H_MCTP2","Ex_CACNA1H_KIT","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_SATB2_FOXP2","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_CACNA1H_PROX1","Ex_KIAA1217_BCL6","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_DACH2_TAC1","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00122633567519621,0.79070877480336,0.0109357078302989,0.00274319975271317,0.036167063178325,0.000518487073878845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00148925730570928,0.355732129666257,0.00689837944630927,0.0177122043538903,0.0458620138960459,0,0.000457861216488258,0.00171204842447455,0.0400005938621213,0.0570585515399733,0.00153282022896622,0.000320252666918333,0.00199342649818789,0.000360313004309651,0.00854864455729134,0.00176520169528751,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00472443719687464,0.613705726984469,0.0097983543918106,0.0324868016277322,0.0616447855979732,0.00321692167500547,0,0,0.00214823901949093,0,0,0.00104917143271156,0,0.000889759194031586,0,0,0.000693820122383978,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.645362368733418,0,0,0.00290564640087425,0,0,0.00136809627906037,0.00503707859495065,0,0,0,0.166983296768942,0,0,0,0,0.00141210332661036,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.346013941029471,0.208185713049956,0.00264613554544774,0,0.0225654579655352,0,0,0,0,0,0.000546837121123898,0,0,0,0,0,0,0.000334110388095891,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000708364998559125,0,0,0.00597530318415272,0.107537705970433,0,0,0.00193821256345585,0,0.000952691086664891,0,0,0.00880107087791505,0.0119565709671249,0,0,0.00107978972814203,0.0100123297938278,0.00378991936655373,0.0748872077382769,0.0202107736444632,0.346258267120774,0.0297938427955473,0,0,0,0
"Glut-DACH2-2",0,0,0,0,0.0267777459533773,0,0,0,0,0.000329404766454044,0,0.00036052033645143,0,0.00420491963514098,0,0,0,0.0746693213419762,0,0.0649218258558252,0.0360998440531505,0.113828425398044,0.184177752817143,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00919265984982492,0,0.00077550265232578,0.0019365915674177,0,0,0,0.000835633288699082,0.560733479588669,0.00703348690471708,0,0,0.0840477723133939,0,0,0.00105791444445633,0.000582933294296679,0.00349308900216683,0,0.0354078364986916,0.000433442722702558,0.000905998898580319,0
"Glut-DACH2-4",0.00341451280107511,0,0,0.0302239117111281,0.0474865504879416,0,0,0,0,0.00110638677162758,0,0.0105889191383493,0.00740505602324585,0.261693825817615,0,0.00201826752694243,0.0329988090104928,0,0.0568022025735499,0.00130596355148073,0.00373110870024091,0.0133598439122418,0,0.00793590882118717,0,0,0
"Glut-DACH2-5",0.000508895425525939,0,0,0,0.0213358865104957,0.000851691187665248,0,0,0,0,0,0,0,0.00691385187644149,0,0,0,0.00074143537629889,0,0.0558468526599576,0.243131985445508,0.0377625857795268,0.189519804849663,0,0,0,0
"Glut-DACH2-6",0,0,0,0,0.00171225021754924,0,0,0,0,0,0,0.00338407610764491,0,0.0301512872495015,0,0,0.0778168489344785,0,0.0148308821480477,0,0.00132298374055717,0.000302462886621397,0,0.627579434231753,0,0,0
"Glut-DACH2-7",0,0,0,0.00471062098894848,0.0731281735078642,0,0,0,0,0.00159802805045108,0,0.00155065261149797,0.000413553107533977,0.0119550426550519,0,0,0.00804410319634142,0,0.00795850266945741,0.127641112854029,0.0704887579364977,0.180254055488913,0.0103507046691166,0.000850095971754438,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0.00314282974584701,0,0,0,0,0,0.0286006884760264,0.00060740073253885,0.0170287800642917,0,0,0.579334467020454,0,0.00193491311209331,0.00273866561940666,0.000772273817178366,0,0.000629040007968295,0.0622898079348743,0,0,0.000700194273840972
"Glut-DACH2-HVCra",0.00637999024568678,0,0,0.00126535102018291,0.000514627554657027,0,0.0372632024530522,0,0,0,0,0.0122114980763007,0,0,0,0.00333782921033595,0,0.00193217517493509,0.185489837025199,0.00623512885105837,0,0.0040054430755997,0.00036331905232996,0,0.307224418009063,0,0
"Glut-DACH2-HVCra-Pre",0,0,0,0.00535072778688046,0.0161202387830327,0.000524097855697523,0.00512784468547526,0,0,0.00198647527577953,0,0.0479791741672608,0,0.00863997160429738,0,0.000537767899569416,0,0.0754235601724089,0.0458180892822347,0.0932619325167988,0,0.132504659243844,0.0289455294616816,0,0.000521456557835029,0,0
"Glut-DACH2-HVCx",0.168910719895598,0,0,0.00650138528315411,0,0.00413381367516441,0.00440611181038692,0,0,0,0,0.0277502942510573,0,0.00522875230482062,0,0.00875650026469588,0.00109962453923977,0,0.0700143415999429,0,0,0,0,0.00153640306400325,0.0954966778037201,0,0
"Glut-DACH2-LMANco",0.000540549809309253,0,0,0,0,0.0053944486795275,0,0,0,0,0,0.00165259001385605,0,0,0,0,0.0655842253301321,0,0.682266374446158,0,0,0,0,0.0175686684880983,0,0,0
"Glut-DACH2-LMANsh",0.00537525142119338,0,0,0,0.0119228508755052,0,0,0,0,0,0,0,0,0.188957708775491,0,0,0.0131857170324799,0,0.00079586674784496,0.0370360150197486,0.0759153855651959,0.00653651599163769,0.0973126880028574,0.000568833202426911,0,0,0.0130358627848776
