"","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-HVCra-Int","Glut-SATB2-1","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco"
"Ex_BCL6",0.000396817552613212,0.00154935626928798,0.000327708316899579,0.0665092862341901,0.00635811378543689,0.180253676272952,0.155835866781152,0.0399078453945782,0.0177018935579999,0.00041633508089229,0.00293643804461398,0.0154424184053292,0.00053100624389875,0.00735003735000321,0.000925156689076147,0.0114968624840798,0,0,0
"Ex_CACNA1H_CPA6",0.00640514282404219,0,0,0,0,0.00140961393991304,0,0.0390528257122766,0,0,0,0,0,0.722456980101937,0,0.00108366922371104,0,0,0
"Ex_CACNA1H_KIT",0.00759061397830609,0,0,0,0,0,0,0.0804779657662092,0.000876603856011202,0.000836514153560915,0.00412369218223348,0.00131649243924524,0,0.596010678193731,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0796225828209059,0,0,0,0,0.00063759722110767,0.00346896581126022,0.526629053909503,0.00476636725907816,0,0.00485205768096272,0.00157291397741221,0,0.123723329771703,0,0.00104298199463005,0,0,0
"Ex_CACNA1H_MCTP2",0.00326639256477633,0,0.00619668087288985,0,0.00198139744522286,0.000697046544211839,0.0272571790612811,0.102651285529744,0.0209684668026038,0.000489152845006884,0.0792052530462707,0.00824272250816768,0.00506610193621373,0.124556342423503,0,0.00086839662575913,0.05295151957589,0,0
"Ex_CACNA1H_PROX1",0,0,0,0,0,0,0.000826971179442395,0.142059827596946,0.0156851730394357,0,0.0635599697842572,0,0,0.416567563406569,0,0.00117815951262986,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.00655360873539653,0.000613194681406711,0.000281632677532795,0.0117189813857591,0.00110281965962763,0,0.0304440893851881,0,0.0482700069947757,0.000335586778155472,0.149718527784004,0,0,0,0.000534188599578007,0.251278066894961,0
"Ex_DACH2_CEMIP",0,0,0.037231331458709,0,0.0014878626642466,0.57989160953982,0.109474658953252,0,0.0075214906935429,0,0,0.00176055039487955,0.00187252805743746,0,0,0,0,0,0
"Ex_DACH2_GRIK4",0.000729166281929702,0,0.000286857159871749,0.000884122759240835,0,0.000717162433205033,0,0.0062904384894667,0.26736203621074,0,0.127992155733033,0.00217032293183019,0.123218781268441,0.00100900489404721,0.000793055352110176,0.00332801196434807,0.000240804881386278,0.0139304357356786,0
"Ex_DACH2_ITGA9",0.00326351218954183,0,0.14099395874337,0.00143910119978656,0.0610882929099162,0.0207732577345963,0.109032140148295,0.000321268554200096,0.0640578232591711,0.000263649303115807,0.0277202260337195,0.00165937408497254,0.0451306025996834,0.00142844660934833,0.000829156569239882,0.000917435271063741,0.0177372874865639,0.000545839159618876,0.00042711050731462
"Ex_DACH2_LHX2",0,0.000590878835346671,0,0,0.000623015716249615,0.00041348030768013,0.0054199061291047,0.00118514491238346,0.168520898015268,0,0.379273754784921,0.00124717573450213,0.00434347551289673,0.00231946068755578,0,0,0,0.00788559475026393,0
"Ex_DACH2_LUZP2",0,0,0,0.000425526394999388,0.000389895105244156,0.000323010145999188,0.00879242521038607,0.0337617155515166,0.228010762248541,0,0.320243009445302,0.000682538018253898,0.000566662718352564,0.00185053054175116,0,0.00100918452660724,0,0,0
"Ex_DACH2_MGAT4C",0.000787106721336009,0,0,0.00122075087969685,0.000385611708909274,0,0.000299615418302305,0.000902320045309449,0.338240124077052,0,0.136216594259457,0,0.0779285967356633,0.000695693465519935,0.00101182237957508,0,0,0.0225402444966545,0
"Ex_DACH2_NR4A3",0.000774983175620642,0,0.000583125749192692,0.000820546919860834,0,0.000635611158823362,0,0.00162819865595787,0.413419088787513,0,0.0127063326805126,0,0.139706778294483,0.000330464038547577,0,0,0,0.0306018178939258,0
"Ex_DACH2_RORB",0,0,0.00305218153826456,0.00183879747079336,0,0.000348250813715534,0.712139622431181,0,0.00142056673561063,0.000772992459133231,0.000873671232988157,0,0.000792396606866585,0.000633883200039576,0,0.0166991278654635,0,0.00221794778398964,0
"Ex_DACH2_SLIT2",0.000338502502700838,0,0,0.000672882711878945,0.0142138802261714,0.0147998349003807,0.53168318174525,0.0846893849514921,0.0888571248468304,0,0.00690875264204226,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.365364716832803,0.000725139052273739,0.000759988791200512,0.00106373167511941,0.20793512897188,0,0.00194478406033558,0,0.00106860775266799,0,0.0043080083093586,0.000272211804385685,0,0.00802181221494273,0.00131595590263192,0,0.000418046429841865
"Ex_DACH2_ZMAT4",0,0,0.343194518267326,0.000467146294594606,0.00858546664693571,0.0391716485512052,0.269487902765609,0.000417113276749893,0.0018399496117465,0,0.000635953962767918,0,0.00444021493111166,0,0,0.000690661719257626,0.00179905466109142,0.00081107569680228,0
"Ex_KIAA1217",0.000264030649385088,0.00722797169518046,0.0102602368153753,0.042215028977224,0,0.000376511065255668,0,0.00481182746754937,0,0.000551506968054794,0,0.0724339339542869,0,0.00186178628031397,0.000623497554604354,0.262967054367878,0,0.00336452394380144,0.000174821549173015
"Ex_KIAA1217_BCL6",0.0105602643506432,0.000746579961598886,0.01611685988317,0.135041325137884,0.00974008072627932,0.00396854200028255,0,0.0172866925854978,0.00586655716412509,0.00277407082801609,0.000562338302457707,0.0219609845366551,0,0.0293545605729547,0,0.193870543499033,0,0,0
"Ex_Pre_KCNH7",0,0.000256996799575192,0.00144003963404331,0.0285280985859933,0.000989721630772454,0.0808643161888151,0.00636371164361993,0.0162929703418012,0.0977716147215484,0.00820746964242686,0.00418642329732865,0.0389176853482061,0.000413223789535666,0.0449662804808761,0,0.0477205520613595,0.000376221509401159,0.00040039782826851,0.0012717790103786
"Ex_Pre_SATB2",0,0,0.00192927225858279,0,0.00141195693873404,0.00431710744577801,0.000885261046002781,0.0101914063732594,0.0550930475419509,0.00668993381979022,0.0267159707438411,0.00244593916842392,0,0.066939722848003,0.00127178842300963,0.318204426479963,0.000649556366040035,0.00100413104686176,0
"Ex_SATB2_FOXP2",0,0,0,0.000964539154326939,0,0,0,0.000585130877756086,0.000841123165090972,0,0,0,0,0.000252246640251144,0,0.920098381536818,0,0,0
"Ex_SATB2_OVOA",0,0.000429942855884078,0,0.00799961256331074,0.00346702624343546,0.000617039226138946,0,0,0.12695495909666,0.00348679429919987,0.0366266254725499,0.00110755852312121,0.0901894502519884,0.00947222555642101,0,0.192600652506825,0,0.0100131429139322,0
"Ex_SATB2_SOX6",0,0,0,0.00875207286226418,0.00168355583874021,0,0,0,0.00592590107711163,0.000267099441789618,0.000645262022610781,0.000497292011560459,0.000383824986225826,0.000293389823631925,0,0.916819940150716,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0.000596436274409107,0,0,0,0,0.000513771442323251,0,0,0,0,0,0,0.975035146333032,0,0,0
"Ex_TSHZ2_NR4A2",0.416899814623169,0.00440324523674043,0,0,0,0,0.00484009166079569,0.0118842791295304,0,0.0040745359008229,0.00628635677333029,0.00563462568982224,0.00450310308050441,0.029565746366618,0,0.0125235832863254,0.00334591901742667,0,0
