"","Ex_KIAA1217_BCL6","Ex_KIAA1217","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_DACH2_CEMIP","Ex_CACNA1H_CPA6","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_SATB2_SOX6","Ex_Pre_SATB2","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_DACH2_LUZP2","Ex_SATB2_ZNF385B","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00590389261424237,0.00141934666894909,0.00212428842051104,0.000916840872283676,0.00514142479902807,0.0375908113669616,0.00123028735097344,0.019684230219475,0.721971678119492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00450215568116447,0.00143484742052961,0.0780343482305785,0.000373275843067974,0.00804807480305557,0.0410065228894319,0.0257313802782784,0.0142767885892529,0.281696947212812,0.0020702388614724,0.000323510905748756,0.00273365620940381,0.00126177548265862,0.00690200118369017,0.00109433265946974,0.0593669359413192,0.0208515668138741,0.0033056053507332,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00315837728964923,0.00473989717079802,0.00414701399314696,0,0.0363785665896445,0.0700297925366569,0.0163783629962921,0.016474698582787,0.542598091876067,0,0,0,0.000610318416938646,0.000547213795944074,0,0.00196667912889608,0.000660718440765491,0.00288367157705263,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.0130474569610782,0,0.00445038114521701,0.00366975925286531,0,0,0.626483987817286,0,0,0,0.10202387482714,0.00272901185847638,0,0,0.0026646329527239,0,0.00423285736236317,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.00214887845942911,0.0962648234786245,0.0228296788736318,0,0.00283861138536398,0,0,0.0225592649083109,0.350331360477992,0.000637437337358218,0,0.00112255662850861,0,0,0,0.015217511245283,0,0.00200534710129245,0.000820258481665573,0.00179021887869167,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000425645178636303,0.000834216073776571,0,0.00659451898961511,0.00347741409256847,0.102838416257622,0.0177391802119088,0,0,0,0,0,0.0114465496195657,0.00433988789588778,0.0038894839273788,0.00147673720879425,0,0.00201730301673799,0.0191720046387766,0,0.000601065604983822,0.27532244601028,0.000760876287313064,0.0936750973275355,0.0205335441446207,0.0443509460537154,0
"Glut-DACH2-2",0,0.000340006240658093,0,0.00583756025583835,0.00149893260509444,0.0342137063255092,0.00202587257292359,0,0,0,0,0,0,0,0.000384524848037712,0,0,0.00118532902007495,0.0611287106741521,0,0,0.117892851624268,0,0.0940805138610906,0.0401008587738484,0.193903898680662,0
"Glut-DACH2-3",0,0.000750599494429996,0,0.0188716003580358,0,0.0129353816193007,0.0014248022940649,0,0,0.00487266501093023,0.0434583996794463,0,0.536776301644123,0.00273114132966328,0,0,0,0.000865763368838135,0.000506055798546139,0,0.0843962229882013,0.000719253317479992,0.00180820286028114,0,0.000521978552919276,0.00118169692304252,0
"Glut-DACH2-4",0.00723334145420421,0.000667456871822647,0,0.223449927223966,0.0060967415897956,0.048982267368384,0.0350627353431097,0,0,0.00141849367734625,0.0104361397956679,0,0.020948789927167,0.00117276415344492,0.0670179332484976,0.00172368481187476,0,0.0129088537852891,0,0,0.0508251042502195,0.00765239958593202,0,0,0.00179918835239598,0,0
"Glut-DACH2-5",0,0.00112318701566257,0,0.00375504340145551,0.000850671330478531,0.0226945180732861,0.00178358472762994,0,0,0,0,0.000439219814241896,0,0,0,0,0,0,0.00118072820508095,0,0,0.056295256950435,0,0.0689342758901875,0.218912192424838,0.221608761095074,0
