"","Ex_TSHZ2_NR4A2","Ex_Pre_KCNH7","Ex_DACH2_NR4A3","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_KIAA1217","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_DACH2_SLIT2","Ex_CACNA1H_CPA6","Ex_Pre_SATB2","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_CACNA1H_PROX1","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.0104782712160408,0.00638643576713059,0.0383108158062987,0.000575978130337801,0.00246516597294156,0.000765178568971989,0.773472148483509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.0102367797486141,0.0166483282716794,0.044388238991522,0.000382617861523409,0.00353823860749681,0.000367717756529803,0.335679525500038,0.00132301361715438,0.00140312305273722,0.00193991372399592,0.0401135728551378,0.0102809118934355,0.0686462083182206,0.0194606511957515,0.00160590584471242,0.00503078435222774,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00665087422386287,0.0561635647238913,0.0761167833480804,0.00092761793654758,0.00251046429502934,0.00433582462673943,0.60323360925087,0,0,0,0,0.0010013963804772,0.00254777443924628,0,0.0017281316502653,0.000655120645135734,0.000678859676902353,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.00195602826338366,0.00166568375883107,0.00322238331590065,0,0,0,0.646930744720041,0,0.128605277737862,0,0,0.00118170120426194,0.00586711671949408,0.00115352446892565,0,0.0017478259996554,0,0.00267688430372828,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0764824669819039,0.00175631410300768,0,0,0.00101966886834789,0.0679986715217442,0.433077728822842,0,0,0.00067288029839908,0,0,0.00120647502632064,0,0,0,0,0.000405974394820248,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00430357608132038,0.0936154709406739,0.0063242228994576,0.00050285655699621,0,0,0.000589930873333978,0.00942573886388154,0,0.000998671932356921,0.014381127666184,0,0.000467357199901596,0.00145691881180099,0.00283809670177596,0.00109660178042199,0.0197184399808192,0.0171490677007243,0.0926256708147593,0.306869607230252,0.0425708728463993,0,0,0,0,0
"Glut-DACH2-2",0,0.000509301163195364,0.0271651130049839,0.00606941077823782,0,0,0,0,0,0,0,0.00129400928915194,0,0,0,0,0,0.0606712299105332,0.0423488073993332,0.0724522549633596,0.106056699721879,0.230015736838897,0,0,0,0,0
"Glut-DACH2-3",0,0,0.0118577595313689,0.0152745340194275,0,0.000672478744323708,0,0.00265840961273229,0.556758782959994,0,0,0.00036743424530602,0,0,0.000663046746467282,0.00134559024668941,0.0830511560080062,0,0.000464423587951722,0,0.00186674862321678,0.000383307600616806,0.0480911337322933,0.00155833271625209,0,0,0
"Glut-DACH2-4",0,0.00567294704079749,0.0475046744562064,0.261333803560787,0.00968995254931733,0,0,0.00126834223573359,0.0313790120515683,0,0.00348224416600817,0.0264299781388791,0,0,0.00542800792350055,0,0.0455097520915285,0,0.000942186257715505,0.00127008329117673,0.0143581645439485,0,0.0127481701298118,0,0.024738868522266,0,0
"Glut-DACH2-5",0,0.00113622981812375,0.0225950622799901,0.00380998998679721,0,0.00111832486721116,0,0,0,0,0,0.000493124828500782,0,0,0,0,0,0,0.225681620907871,0.0346775597442541,0.0534304518270351,0.27348724322082,0,0,0,0,0
