"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_ITGA9","Ex_DACH2_SLIT2","Ex_DACH2_CEMIP","Ex_DACH2_GRIK4"
"Glut-CACNA1H-1",0.581336707170208,0.00286879690982842,0,0,0,0
"Glut-CACNA1H-2",0.581665808559133,0.00338128361357656,0.000288959919257372,0.00089249626998103,0,0
"Glut-CACNA1H-3",0.535283349717159,0.0111807240793865,0,0,0,0
"Glut-CACNA1H-4",0.550559827106594,0.00458482135838616,0,0.00234432618364945,0,0
"Glut-CACNA1H-RA",0.606810361646502,0,0,0,0,0
"Glut-DACH2-1",0,0.38998680434578,0.0090014021908089,0.00366980887197514,0,0
"Glut-DACH2-2",0,0.426213968510315,0,0.000255063846041903,0,0
"Glut-DACH2-3",0.000433060219832995,0.0351707056751717,0.0110598183810356,0.247130196314079,0,0
"Glut-DACH2-4",0.00740312146692022,0.0748813939993425,0.136002198432703,0.0544928184206775,0,0
"Glut-DACH2-5",0,0.414172018015672,0,0.000233224372775347,0,0
"Glut-DACH2-6",0,0.0262242507183189,0.10404972573549,0.106716988967382,0.000226707692976938,0
"Glut-DACH2-7",0,0.362632772184021,0.0108418102395074,0.00132779438615511,0,0.000492812593510568
"Glut-DACH2-8",0,0.0115194663770704,0.14375801759788,0.0765070561206368,0,0
"Glut-DACH2-HVCra",0.00142723199021038,0.250426269359291,0.0421193430834642,0,0,0.00161911302683931
"Glut-DACH2-HVCra-Pre",0.000423184976997386,0.362021200832085,0.00879744404034338,0,0,0.000346113765523356
"Glut-DACH2-HVCx",0.0975158981943734,0.0073012364603293,0.145911463260768,0.00109622849550212,0,0
"Glut-DACH2-LMANco",0.0106309461127409,0.000806380957339184,0.163664384528882,0.0523777853815574,0,0
"Glut-DACH2-LMANsh",0,0.354904181161787,0.0047403155955486,0.00046762900967878,0,0
