"","Ex_KIAA1217_BCL6","Ex_SATB2_FOXP2","Ex_DACH2_ITGA9","Ex_DACH2_RORB","Ex_CACNA1H_MCTP2","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ADAMTS5","Ex_BCL6","Ex_Pre_SATB2","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_CACNA1H_CPA6","Ex_Pre_KCNH7","Ex_CACNA1H_PROX1","Ex_SATB2_SOX6","Ex_DACH2_GRIK4","Ex_SATB2_ZNF385B","Ex_KIAA1217","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP","Ex_DACH2_TAC1"
"Glut-CACNA1H-1",0.00134662026150804,0.000225841740375377,0.000531903071754523,0.000372901113617235,0.000451617754372001,0.00152854842755387,0.104959168182347,0.0020167429774451,0.00421453148879156,0.606431662831972,0.000311135309822425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00160445660790556,0,0,0.000466926862340093,0.0128846426961985,0.0133300955303525,0.110202439886916,0.102164086168245,0.0120883291545228,0.286160381765901,0.000261108640651579,0.00317430119772661,0.00277279548893768,0.000399044031525474,0.00114458835783921,0.0036154811298464,0.00805689405455845,0.0141816114622044,0.0010847869387472,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.000939305253517319,0.000603862222697775,0.00176204976680009,0,0.00394876544395712,0.188981768592193,0.00532115042507317,0.00711303457630889,0.363955576148624,0.0111871145105354,0,0,0,0,0,0.0128694621568024,0,0.00171775789443785,0.000558505263729003,0.000577078407304565,0.000682440462310596,0,0,0,0,0
"Glut-CACNA1H-4",0.00329345648165079,0,0.00158081677185866,0,0.00687931418974177,0,0.0132587225932986,0,0.00176692192868887,0.593242453056769,0,0,0,0.0564090747285749,0,0,0.000730906323646666,0.00286872476137018,0.00414758673478154,0,0,0,0.00250426437013716,0,0,0,0
"Glut-CACNA1H-RA",0,0.000411450382165133,0,0,0,0.0012610482050211,0.535228184866324,0,0.000316360750647933,0.149261514410767,0,0,0,0,0,0,0.00173824148885081,0,0,0,0.000443917619039392,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.0123150877306373,0.000461690699245472,0.00245572261943338,0.0113559235604382,0,0,0.111854487829305,0,0.019707979299485,0,0.000432787744378374,0.00457588441216405,0.0127583407909702,0,0.00267836974310669,0.000558313798826157,0.00488679965417693,0.141286359537632,0.00103330157551526,0,0.013932158302885,0.230117182494714,0.00152346110970152,0,0
"Glut-DACH2-2",0,0.000422359486744183,0.00189557525436235,0.00105261900674229,0,0.0137277457831055,0,0,0.0698021642026654,0,0.0339954147152745,0,0,0,0.0377397219248105,0,0.00138220728548543,0,0.0066560616523509,0.0365419944075494,0.000843282562152396,0.000907437799806035,0.0457132020081296,0.177782256688918,0,0,0
"Glut-DACH2-3",0,0,0.0068213696096897,0.00116775136798305,0.00808145463766001,0.00239466974103687,0,0,0.0136749446679123,0,0,0.000662101540553342,0.000495287171561471,0.520260249263762,0.00459621358337176,0,0.000706829915623908,0.00100632841990943,0.000264942137856967,0.00134512539091132,0,0,0.000784724313228235,0,0.109059866758063,0.0426875291135741,0
"Glut-DACH2-4",0.0220450116140291,0.0137928683973463,0.178528499890065,0,0,0.00307432510153362,0,0,0.0327813796002496,0.00154038824947494,0,0.00260461976965096,0,0.0552213569056362,0,0,0,0,0.0608638265183376,0.00414289378782916,0,0.00340843846304527,0,0,0.0980943333827627,0,0
"Glut-DACH2-5",0,0,0.00106713990730622,0.00114355500386977,0,0.00295519531427815,0,0,0.0348243983441024,0,0.168971952683222,0,0,0,0.0870459783438703,0,0.000848988685853156,0,0.00133797338463404,0.0176951832320773,0,0,0.00120177216452904,0.145530413706187,0,0.000281440468750894,0
