"","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_DACH2_NR4A3","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_DACH2_RORB","Ex_CACNA1H_MCTP2","Ex_KIAA1217_BCL6","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_SATB2_SOX6","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_CACNA1H_PROX1","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Ex_Pre_SATB2","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B","Ex_DACH2_CEMIP","Ex_KIAA1217"
"Glut-CACNA1H-1",0.000420476810608037,0.000303504054805642,0.0024076480129269,0.00174860985457008,0.0604596090719646,0.000343732928189877,0.00052357509454356,0.000427708438194589,0.717196616313078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00040598510312202,0.00361562887995585,0.00564815387343466,0.0157973119879417,0.0948788850383259,0.000362220643662013,0.0066284886719054,0,0.397176972077446,0.00273443118652742,0.000473654791573484,0.00224656130613033,0.0480584227657443,0.000386129769928469,0.000291899017032074,0.00487128478756419,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00646906379751812,0,0.00574811525611381,0.0106505697644808,0.169501138036681,0.00106566733062696,0,0,0.441199530687952,0,0.00253502122135137,0,0.00110454819502379,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.0016573264753435,0,0.00459659943645448,0,0,0,0.667351708144174,0,0,0,0,0.0514081790913668,0,0,0.00151005570228141,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0,0.00289894993211645,0.0509617916269651,0,0,0,0.694213723936425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0154783030560513,0.00597859825462879,0.112775431663984,0.00133005875551465,0,0,0.00156182267398033,0,0,0,0.00397936248532979,0,0,0.00396847296805461,0.00788725698577298,0,0.00538120308246915,0.285335072199542,0.117896800670588,0.000390257995809568,0.00721008766801342,0.000855155054261163,0.000224950270019983,0,0,0
"Glut-DACH2-2",0.0230480204305178,0.00701408035996306,0.0815339281110636,0.000822019613343171,0,0.00055315954967616,0,0,0,0,0.00165244133381942,0,0,0,0.00112061326100932,0,0.0200054695949562,0.230183147408494,0.034615238339379,0,0.0240671351020971,0,0,0.000647560906561492,0,0
"Glut-DACH2-3",0,0,0.0111678344710903,0.000282752564228174,0,0.000726495095989306,0.0036880876204352,0,0,0,0.000317782508958847,0,0,0.562562858105999,0.00476227613983513,0.000603106800812819,0,0.000338197008078501,0.00222472347948682,0,0.000830140140434598,0.0971232262637499,0,0,0.0348397424570986,0
"Glut-DACH2-4",0,0,0.0391610858373132,0,0,0,0,0.0255215310694385,0,0.00104237292597658,0.0332961179607094,0,0,0.0751453399855618,0.181001343559528,0,0,0.0017122195277149,0.00282477886313435,0,0,0.0819360863399596,0.0172558154377795,0,0,0
"Glut-DACH2-5",0.18226822716814,0.00271160362071429,0.0319241832695303,0.000575798832765454,0,0.000499309615063451,0,0,0,0,0.000990573802346015,0,0,0,0.000628627651122979,0,0.00101660353318363,0.168494397249219,0.0170125614451355,0,0.0354244266068129,0,0.000220127160486465,0,0,0
"Glut-DACH2-6",0.000666251920275818,0,0.0011403306663426,0,0,0,0,0.00135739533904031,0,0,0.00417820954403079,0,0,0.00140428859694191,0.0127815356207008,0,0,0,0.000440729613840307,0,0,0.133699472334966,0.000948940120225468,0,0.583170768371367,0
"Glut-DACH2-7",0.0242696569256441,0.00516973521588589,0.0463447401807777,0,0,0,0,0.000243062797404654,0,0.00143423095795832,0.0111153648601027,0,0,0.000929341031386283,0.0264725911422963,0,0,0.254504390680179,0.0653567017392746,0,0,0.0102196527833106,0.000377206489970898,0,0.00316909624483277,0
"Glut-DACH2-8",0,0,0,0.00064794158297868,0,0,0,0,0,0,0,0,0,0,0.000639196454273932,0,0,0,0.000880719012900003,0,0,0.558460832483057,0,0,0.117062988076687,0.000655774718001506
