"","Glut-CACNA1H-RA","Glut-DACH2-4","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-8","Glut-DACH2-2","Glut-DACH2-6","Glut-DACH2-3","Glut-DACH2-HVCx","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANco","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00115445803079102,0.00496884373065718,0.136806953512465,0.0365899980849469,0.045380783754074,0.000435470515308258,0.00208075889882718,0.00205056849210811,0.0694806545236852,0.275177438014601,0.0724313225238525,0.0045989752845651,0.00127391088029288,0.0032501861149402,0.00147681749022998,0,0,0
"Ex_CACNA1H_CPA6",0.00882438688527843,0,0,0.00471381748076306,0.831763666969466,0,0,0,0.00220692544061526,0,0,0,0,0,0,0.00521586459117715,0,0
"Ex_CACNA1H_KIT",0,0,0,0.148649039554378,0.626952392048015,0,0.000733906982048726,0.00757403091486021,0,0,0.00161958833666353,0,0,0.00174284968727525,0,0.0108207473096708,0,0
"Ex_CACNA1H_LHX9",0.00144013345022971,0,0,0.531152635258532,0.199697498642904,0,0,0.00584945414140361,0,0.00196294493048443,0.00398185104670317,0.000933911476152668,0,0,0.000858232876258587,0.0621337198657885,0,0
"Ex_CACNA1H_MCTP2",0,0,0,0.104043768917339,0.190027857499369,0.0143160752011972,0.00803535728373769,0.107602783990928,0,0.0265671541478019,0.0201733267682212,0.0375199218236636,0.00176192418171693,0.000777271349202056,0.00103202103390819,0.00194307312770718,0.00387166674776909,0.0193601194497098
"Ex_CACNA1H_PROX1",0.000672839621541065,0,0,0.0703571152580495,0.589643451002244,0,0.00211298452823126,0.0479266483752715,0.00161731860164953,0.00425227319015412,0.000398038979399183,0.008343338461068,0.000408239966840321,0,0.0121935820158528,0,0.0051057478620037,0.00131619573787127
"Ex_DACH2_ADAMTS5",0,0.000456701185051177,0.00131929422616007,0,0,0.175898205466647,0.012035471972488,0.0657969671288952,0.0194992915942795,0.00268442268349646,0,0.0208952436786732,0,0,0,0.000775281801612874,0.304953481059727,0.00253545279232354
"Ex_DACH2_CEMIP",0,0.00601640699865301,0,0,0.0019935696963322,0.00201204206409674,0.0349831933636016,0.00104744322673763,0.622178190580273,0.123437089003467,0.00567045446889524,0.00188516272916856,0,0,0.00241213439228583,0.00149219858968185,0,0
"Ex_DACH2_GRIK4",0,0,0.00159276166242429,0.006898519740768,0.0033449054800217,0.158655609265932,0.000349940129866474,0.130430806275995,0,0,0.0013169692371458,0.267343994598563,0,0.00466004632726122,0.000550501952861031,0.00171357821125487,0.0360550485267665,0.00266381893980842
"Ex_DACH2_ITGA9",0.00199556799552644,0.0717423172262695,0.000819189779239046,0.000277953833488307,0.00438979168381949,0.0499379907591177,0.149200522847314,0.0320979597537579,0.0378018098674262,0.114183309953933,0.00647501636607349,0.0620085846867146,0.00114303802329368,0.00246129516393988,0.00065744149660902,0.00937592917434223,0.00191172454004943,0.0315538507575144
"Ex_DACH2_LHX2",0,0,0.000571536254485116,0.00245168730117359,0.00707083878237172,0.00905148145291591,0,0.341358225824862,0.000873153450887616,0.00868517765027349,0.00224317349941466,0.142941151012484,0,0.000858557645735854,0.000338062457882739,0.000403634146645562,0.0679308395909737,0.00248233254370838
"Ex_DACH2_LUZP2",0,0.00121089747903622,0.000807958631077541,0.049064752149272,0.00590015826593386,0.00110845076775592,0.000452665331176152,0.242528195942056,0,0.0180067563434332,0.00167229867983609,0.234105098349474,0,0.0401334620830372,0.000297286338022645,0.000786721516945314,0.0007745963995627,0
"Ex_DACH2_MGAT4C",0,0.000653561493041809,0.00463568324330012,0.00275573244352914,0.000708441573089159,0.087570358209701,0,0.175600622087445,0.00377327965628261,0.0015161707215482,0.00135487222095463,0.2714354839911,0,0.0231071910619746,0,0.000971306793379458,0.0604268536506122,0.000543584735188412
"Ex_DACH2_NR4A3",0.000970204893565746,0.0014502724299925,0.00207221054552015,0.00171904471924563,0.0046438179664671,0.144607321957391,0.000428374097446613,0.0178545375048399,0.00251599653800185,0.00260304457477224,0,0.28523554663256,0.00430343993393142,0.00110026907254142,0,0.0114698247719556,0.0475038782135854,0.00257152855555819
"Ex_DACH2_RORB",0,0.00066162715240176,0.00228645297430033,0,0.00349980853362477,0.00244465657830204,0.0416711088576416,0.000570268896608408,0.00248727281268191,0.292439452498643,0.00102983604958771,0.000966885860979119,0.00333583255177148,0.00122162903279464,0.00478032852575404,0,0.000855129129769367,0.186082747232863
"Ex_DACH2_SLIT2",0,0.0276239360996516,0.000811119034667525,0.105437043741754,0.000749402961019833,0,0.00247141224383027,0.00593755116952961,0.00256019588495959,0.589494464254449,0.00117464465544314,0.0883138243266863,0,0.000569150600868646,0,0,0.000724410609909327,0
"Ex_DACH2_TAC1",0.000400561328188093,0.00116025124169741,0.00329574869689486,0.000665203000311421,0.000946281297463791,0.00515846056954775,0.355272710265865,0.00142636689013729,0.0191024040544192,0.274109717022992,0.00063343179906774,0.00397751991660835,0.000370049621270416,0,0.0163546864764118,0.000555339335256327,0,0.0016374405526566
"Ex_DACH2_ZMAT4",0,0.0261572741392648,0,0.0006791806418443,0.00109882606454194,0.005648242620698,0.337590255398223,0.000791333809413569,0.0862648118106687,0.269903626439327,0,0.00156812962948337,0,0,0.00223227140161473,0.000506598614913969,0.00111077155115086,0.00595828946324953
"Ex_KIAA1217",0.225282190897447,0.00109859010379521,0.0158174797451101,0.000737809286358224,0.00188931099819187,0,0.0518434684941313,0,0,0,0.145231211837272,0,0.00502209883061041,0.034923987726725,0.0318424140835672,0,0.000337840615753817,0
"Ex_KIAA1217_BCL6",0.00706122550177289,0.0615986049767866,0.201312406948303,0.0305336037714286,0.0438741741801312,0,0.0232641130884257,0,0.00664851384561858,0,0.0942687205468465,0.00271843119344624,0.00113086254710389,0,0.00250611266312217,0.0383102016382872,0,0
"Ex_Pre_KCNH7",0.000373284645789568,0.000953410957696378,0.0848948922882615,0.00906417039571645,0.119808957004932,0,0.0109515512850531,0.00363738095484266,0.0494422166849447,0.0110812346946899,0.0881649024565185,0.0589467513233,0.0169476038489985,0.0128259787967575,0.00684634072058908,0.000605509466068912,0.00106966490387781,0.0199323358670198
"Ex_Pre_SATB2",0.00330748724569419,0.00141497279701453,0.0139602118942947,0.0125270914291686,0.364578173425869,0,0.00113179247434724,0.0307826370352898,0.00527972397590581,0,0.00343670795286651,0.0732718337217996,0.0155617426615405,0.0207988765955927,0.00109185342145412,0,0,0.00263678185481177
"Ex_SATB2_FOXP2",0.000356536328520923,0.0378076384022416,0.068549583351503,0,0.0339047934374394,0.011015944001697,0.0986023480009766,0,0.0141842776585202,0.000306525473220928,0.040018212159082,0.00220529237507262,0.00289564487065853,0.0931399521388322,0.0445333108166447,0,0,0
"Ex_SATB2_OVOA",0,0.0356990633470979,0.0488248931516316,0.000417815404162317,0.0400821845820083,0.137688088909543,0.000933300716517401,0.0177587820867416,0.000957435818125798,0.00469586530291051,0.00578125778808055,0.174688139632634,0.00602553019142264,0.00730435589124903,0.000506351478529031,0.000370033470658847,0.0268995064946449,0.00157871845062777
"Ex_SATB2_SOX6",0,0.0412277338972641,0.187609508089086,0.000435500620142811,0.0157221053372423,0.00634512929994711,0.000517994721453043,0.00180600088333177,0.0515757861241708,0.00217968893133647,0.0211577043430691,0.00173115936186769,0.00235010794282206,0.0277200805248944,0.195101520379566,0.000345577715972214,0,0
"Ex_SATB2_ZNF385B",0,0.00223232672188863,0.833787275123857,0,0.00488958939909561,0.00324392201106013,0.00531792234737597,0,0.000971409596323655,0,0.00672453505165877,0.000956340181954699,0,0.00181152664224869,0.00735699769754226,0.000342068162392552,0,0
