"","Glut-CACNA1H-1","Glut-CACNA1H-4","Glut-SATB2-1","Glut-DACH2-4","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-HVCra-Int","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_BCL6",0.000521448411946179,0.0368133765335701,0.00626163547059254,0.00631586036654552,0.00391347500629973,0.000603053830088514,0.00114055747476926,0.107780710275397,0.0933370013463784,0.0313439151434636,0.238707697364721,0.00180941747502534,0.0197131082411401,0.000983122722609115,0.0116602305138662,0,0,0,0
"Ex_CACNA1H_CPA6",0.0104295970566199,0.027936003516455,0,0,0,0.00248321135122851,0,0.000958914582336745,0,0,0,0,0.791135316848584,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0164420321884663,0.0590793809301888,0,0,0.00335987930991192,0,0,0,0,0.00120801903194793,0.000484771188676772,0,0.678687596632328,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0822406774877191,0.54054354051199,0,0,0.00174546095817206,0,0,0.00069894438983728,0,0.00160844342448869,0.00618137307206124,0,0.157626413024891,0,0.00275268053307682,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00493279204167174,0.0750463931742304,0,0,0.0810187527065857,0,0,0,0,0.00875747782801359,0.00914979730171897,0.000475794117729104,0.173209642041772,0.00846644934007024,0.0524151891743514,0.0168671301462262,0.0321552266639295,0,0
"Ex_CACNA1H_PROX1",0.00053117368244852,0.102315977567476,0.000613116310470145,0,0.0560979765478708,0,0,0.0107867075977443,0,0,0.00886992582526743,0,0.511943232618488,0,0.010718110896136,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0,0.00198454861558532,0.0460396188670447,0,0.200080554534869,0.0120983984853111,0.000821027431165217,0,0.00155250263262384,0,0,0.00847404384985771,0.0157712832221002,0.281155608351024,0,0,0
"Ex_DACH2_CEMIP",0.00040018260767381,0,0,0.00400149568474574,0.000493970749271062,0,0.00203009019484411,0.640247282574451,0,0.00259684260362235,0.0973347542569123,0,0.000471114590254826,0.0324366827558858,0.0045628105043332,0,0,0.00081842169424921,0
"Ex_DACH2_GRIK4",0.00036346797718279,0.00866819336860052,0.00332782989995034,0.00143751953519054,0.12322198601352,0,0.152580974126986,0,0.00109909346271242,0.0014781081522384,0,0.00195704312334342,0.00112228484605801,0.000736030570177422,0.262016489287631,0.0294744345383577,0.00195986745838447,0,0
"Ex_DACH2_ITGA9",0.00428525003526244,0.000339978088708421,0.000460183234156452,0.069585076409964,0.0271540940983504,0,0.0442509390030073,0.0310202755035185,0.000488834461677631,0,0.13470641352467,0.00232248680882091,0.00152728006597231,0.164548904012222,0.0540382666895629,0.00522779857719626,0.0190751643348506,0,0
"Ex_DACH2_LHX2",0,0.000907633841885799,0,0.00159897604941411,0.365017446296577,0,0.00502400083779895,0.000453824823316168,0,0.000498845408262585,0.0024987817395682,0.000264701466818624,0.00588846920978691,0,0.163298227796494,0.0326257338107788,0,0,0
"Ex_DACH2_LUZP2",0.000400357093476177,0.0300515017463377,0.000543119036576937,0.00175993312172473,0.315185570135622,0,0,0.000321264988072247,0.000493372978416371,0.000627816881561046,0.0101400308572113,0.00893625726668747,0.00602656074026005,0,0.242996509797232,0.000750361730554995,0,0,0
"Ex_DACH2_MGAT4C",0.00110520075860466,0.00136923672591151,0,0.00237319402203543,0.157403503191097,0,0.0903071523442483,0.000552094837599596,0.00181509912289066,0,0.00103446974557022,0.0115656495147338,0.00052120385212766,0,0.288873218210515,0.0405794407753541,0.000584795204419829,0,0
