"","Glut-CACNA1H-1","Glut-CACNA1H-4","Glut-SATB2-1","Glut-DACH2-4","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-HVCra-Int","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_DACH2_NR4A3",0.0023768301480226,0.00166885853338851,0.000505759001533625,0,0.00800554105226662,0,0.177794057546686,0.00148881635473637,0.00060065483645984,0,0,0.000323152902150621,0.000386417480825463,0.000653955460582337,0.374296935114972,0.0449355533979646,0.000348165910873776,0,0
"Ex_DACH2_RORB",0,0,0.0149333564228332,0.00372624016606164,0.000437952384457412,0,0.00105350643639113,0,0.00171866759915619,0,0.62886217021186,0.000599460176057195,0.00103068261048826,0.00753053132876533,0,0.00216321646204381,0.00185672163126888,0,0
"Ex_DACH2_SLIT2",0,0.0884607723427338,0,0.0131853654432816,0.00827044201935677,0,0,0.00621733702944902,0.000658801443838929,0.000897479136432834,0.591918937678249,0,0,0.000951566176309342,0.0902974217944204,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.00576398006397522,0.000503890244619736,0.00193515500346241,0,0.00636839141056014,0.00170804646608652,0.000806845827179418,0,0.282218931804772,0,0,0.358113702735207,0.00095207840483692,0.000449832073363376,0.00200630412317105,0.000317832064552561,0
"Ex_DACH2_ZMAT4",0.000376238962823796,0.000604239735168306,0.00038723941771591,0.0157952319515282,0.000292009173979635,0,0.00916416984822146,0.0674181216413385,0.000670850053934489,0,0.275155567505985,0,0,0.32911360130915,0.00107402529909433,0.00131007669564693,0.00516555757326204,0,0
"Ex_KIAA1217",0.000260529609396278,0.00194461237068562,0.0793615365360062,0.00111971518826236,0.0677872804381332,0.0981622248429704,0,0.000542348754961335,0.0275541829788182,0.0709570657756153,0.000247444985068597,0.00132198729158728,0.000505833814997745,0.0358110764631959,0,0.000393984343548759,0,0.0187338671779333,0.000331160216747874
"Ex_KIAA1217_BCL6",0.0176148897474337,0.0105745174848043,0.0989670891459297,0.0403135508623873,0,0.0016024784941572,0,0.00314391252224323,0.105270748700771,0.0694507046700006,0.00264406960355726,0.00628307331529669,0.0240830231030175,0.0206808411787225,0.00102792263839599,0,0,0,0
"Ex_SATB2_FOXP2",0,0.000449534310913082,0.907718755570335,0.00244104483235001,0,0,0,0,0.00128312683681078,0,0,0,0.00242698745281387,0.00107535085058898,0.000494707939887393,0,0,0,0.000951249068178644
"Ex_SATB2_OVOA",0,0,0.170375512271335,0.00712284415108558,0.0166197893008738,0.000321043050737783,0.115390834837098,0.000313369834225054,0.010052567714936,0.000830696565615677,0,0.000269540065501756,0.0193297030202855,0.000612165366087791,0.12528323862425,0.0301764798830952,0.000280126773187521,0,0.00558668443969296
"Ex_SATB2_SOX6",0,0,0.904981709986313,0.00625294754471124,0.00065035980729401,0,0.00051127051116153,0,0.0152434773751722,0.000452269482681523,0,0,0.000581318176165063,0,0.00205172169539424,0,0,0,0.000223559059265757
"Ex_SATB2_ZNF385B",0,0,0.963061354890595,0,0,0,0,0,0.0104218950952919,0,0,0,0,0,0.000704979178173124,0,0,0.000586364761169452,0
"Ex_TSHZ2_NR4A2",0.477678025501871,0.00863947594624427,0.013912141741831,0.00404173648338784,0.00701281781711459,0.00412122810874507,0,0,0,0,0.00730685805131718,0,0.0590454981789832,0,0,0,0.00247934325055307,0,0
