"","Glut-DACH2-3","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-2","Glut-SATB2-1","Glut-DACH2-8","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_DACH2_LHX2",0.0116619441606436,0.359074166419956,0.00129734363570473,0.181197898492438,0.000402589856333667,0.00364082634375359,0.00538779322858387,0,0.00165003935279953,0.00137174211248285,0,0.000964680331274915,0,0.0303354291194509,0,0,0,0.00444856313201541,0
"Ex_DACH2_LUZP2",0.0147201000065106,0.292097450546387,0.000578144324616457,0.256452075446113,0,0.0336389335778802,0.00049898338104863,0,0.00530500244986931,0.000835984694573872,0,0,0,0.0023047618249226,0.0177194025283811,0,0,0,0
"Ex_DACH2_MGAT4C",0.00201224230924105,0.186523829934914,0,0.254219602204957,0.000639778533727721,0,0.122042484356802,0.000815026825945964,0.000370331540434095,0,0,0.000876955581223431,0.00231392203572129,0.0322183881113291,0.0123752905533847,0,0,0.00177368777046385,0
"Ex_DACH2_NR4A3",0.000630787804650543,0.00562986123749945,0.0014199533568308,0.352004686618047,0.000705042175013511,0.00191757804452473,0.19593896746333,0.00116135484788425,0.00202284536488728,0,0,0,0.000911666212973638,0.0394532464658315,0.000297235558210474,0.00189174827534279,0,0.000841185544255514,0
"Ex_DACH2_RORB",0.443917954796149,0.00063849429369401,0.00175699729119865,0.00111500268685735,0,0,0.00113144723508419,0.000750583513325667,0.00173494071732565,0.00818423983670196,0.0643098057945147,0,0.00214132129034943,0.00351143506120877,0,0,0,0.0168824323178475,0.000663367874126211
"Ex_DACH2_SLIT2",0.585914108434665,0.00998569777209549,0.0204884613761956,0.0987692084446808,0,0.0877552327336249,0,0.00356933030871562,0,0,0,0.00236245846587642,0.000887477756476901,0,0,0.000387741446981431,0,0,0
"Ex_DACH2_TAC1",0.232909807114471,0.00247500770867329,0.00200149566491757,0.00148605531494673,0,0.00038835242259734,0.0108647317590794,0.00180552310146358,0,0.00356855901171569,0.40819355890695,0,0.00106613066445128,0.000488488403085702,0,0,0,0.00137379179199383,0.00189157582820677
"Ex_DACH2_ZMAT4",0.269488338626351,0.000514773411112334,0.0132462073115442,0.00151199594493794,0,0,0.013191942027767,0.0533273369077163,0,0.000855819314459801,0.375822940946018,0,0,0.00217336578948939,0,0.00045705149099338,0,0.00412227105110513,0
"Ex_KIAA1217",0,0.030540043497613,0.00104836450143176,0,0.000725546588908767,0,0,0.000532366117830333,0.00255781073061925,0.0584610991276881,0.0683858767770671,0.0892712760717625,0.0119422139438258,0,0.00606296322522108,0.000686364012198832,0.083676510427903,0,0.0583039385446871
"Ex_KIAA1217_BCL6",0,0,0.0339436701638652,0.000997144330945937,0.000919504536227288,0.0177023348369667,0,0,0.0271663043339764,0.109045049992031,0.0346586021559558,0.0323889370416369,0.147531323490772,0,0.00126646074904383,0.0137514730209564,0.0109418187077582,0,0.00539053650243008
"Ex_Pre_SATB2",0.00110705369582813,0.0325981934661391,0.00110083833247414,0.103029366780074,0.00776544891587036,0.0116324765144516,0,0.004527325226433,0.136539843366467,0.200226793690466,0.00140421259289356,0,0.0061538536518958,0.00194699218536641,0.00730920630438764,0,0,0.00138280590756854,0
"Ex_SATB2_FOXP2",0,0,0.00137388157225907,0.000506065096216103,0,0,0.000381849793451739,0,0,0.926859234727823,0.00126072475284462,0,0.00332867861792065,0,0.00139845070701296,0,0,0,0
"Ex_SATB2_OVOA",0.000423221076473841,0.0316554217177575,0.00237460859310436,0.121230190270588,0,0.000245154263522344,0.109993045331155,0.000368139457203017,0.00705615191988505,0.195021180981344,0,0.000430243109921642,0.0384591159609871,0.0363261366254153,0.00192468179854444,0.00102681789742367,0,0.000517112607396928,0
"Ex_SATB2_SOX6",0,0,0.00597982376299511,0.00298433929987398,0,0,0,0.000626762652509578,0,0.90722172800561,0,0.000392153469224791,0.018523552281956,0,0.000326277695803437,0,0,0,0.00545187764294843
"Ex_SATB2_ZNF385B",0,0,0.000446670048085056,0.000702520316657219,0,0,0,0,0,0.969269929329574,0,0,0.00559440135629993,0,0,0,0,0,0.000819157768997626
"Ex_TSHZ2_NR4A2",0.00841612942676374,0.0094865220282361,0,0,0.0100225149892813,0.00245608895596526,0,0,0.0752737931978515,0.0168107051584748,0,0.00577028976756837,0,0,0,0.459654563710751,0.00417104938588863,0.00144619404945125,0
