"","Glut-DACH2-3","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-2","Glut-SATB2-1","Glut-DACH2-8","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_BCL6",0.266407555065422,0.00467177965728283,0.00612466606213022,0.00902741077148677,0.000486576953341059,0.030002276012016,0.00138832069683502,0.0843418170096395,0.0130345010349108,0.00817761497282765,0.00126142705462153,0.0590357799130596,0.135905055514124,0.00058042573482497,0.000762613905331778,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0.00135806897997242,0.0123369916275091,0,0,0.827412811550708,0,0,0,0,0,0,0.0165035446873491,0.00289380594422575,0,0
"Ex_CACNA1H_KIT",0,0.00708496244343774,0.00147663493877387,0,0,0.106186589108535,0,0,0.637874979926466,0,0,0.00169296426600946,0,0,0,0.0103485492447438,0,0,0
"Ex_CACNA1H_LHX9",0.00457197180710433,0.00480483382212451,0,0.00481395889198853,0,0.525357884913318,0,0,0.168278339272991,0,0,0.00191720567070093,0,0,0.000977046709243942,0.0793087058584652,0.000968947329695862,0,0
"Ex_CACNA1H_MCTP2",0.0214361222512928,0.0764730318199253,0.00197317689817535,0.0448173351177632,0.00058270334849347,0.0834646422175534,0.002149063828233,0,0.177213914239828,0,0.00541052092225178,0.00730194888797367,0,0.00201221691811778,0,0.00355210337764774,0,0.0595957220318534,0
"Ex_CACNA1H_PROX1",0.0068300162753588,0.0507339384942606,0,0.00788132342381782,0,0.0827746533676907,0,0.00268588020182877,0.546795392218228,0,0,0,0,0,0.00177360966230983,0.000819793851135479,0,0.0059215255805008,0
"Ex_DACH2_ADAMTS5",0.00171665609553254,0.0566801767018968,0.000595987509307206,0.0225152837227861,0,0,0.202411478524194,0.0135030591002532,0,0,0.00853544223583632,0.000835834125828002,0,0.275208917082155,0,0,0,0.000429168018357369,0.000929125156880258
"Ex_DACH2_CEMIP",0.118620204754743,0.000684139554225044,0.00366111377427245,0.00218673133744151,0,0,0.00335598955234257,0.629932667198075,0.000450567551142537,0,0.0294623588710341,0.00335939252824123,0,0,0,0.000559523476511633,0,0,0.00174537214738128
"Ex_DACH2_GRIK4",0.000473354021273254,0.103362724428761,0,0.261057766289495,0,0.0110723435473562,0.189895234638591,0,0.00262051398733204,0.00537217843832554,0,0.00154689032661774,0.000777306117347198,0.0260744749125861,0.0024319735972628,0,0,0.00711450186920776,0.000429299898221738
"Ex_DACH2_ITGA9",0.0993010545420912,0.0267808084741034,0.0800487738613161,0.0518743135085331,0,0.00289695179448622,0.0626430847436038,0.0192093273918954,0.00130897242141189,0.000272167831352193,0.184121009869471,0.00807536091814203,0,0.00223515734806148,0.0017908004321509,0.00257817842665064,0,0.0360568306483965,0.000537490823412552
