"","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-SATB2-1","Glut-DACH2-1","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-5","Glut-DACH2-2","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_BCL6",0.00272959335025207,0.175015197085313,0.0550660487409986,0.00739591375366411,0.00801643855308953,0.029255392943628,0.000473993855879578,0.00135537410168872,0.00475882377320818,0.00080632707386017,0.00337950923344176,0.0667086756906394,0.254644483868464,0.0256093312384313,0,0,0,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.0113261000110542,0,0,0,0,0,0,0,0.846422153368039,0.00825966328280584,0.00748061347616841,0,0,0
"Ex_CACNA1H_KIT",0,0,0.00150356381155451,0,0,0.115879873189077,0,0,0.00201806133447892,0.00060392329905766,0.00838016256969528,0,0,0.646273067589748,0.00940044544223279,0,0.0015633822624449,0,0
"Ex_CACNA1H_LHX9",0,0,0.00205707527443982,0,0.000943546159644494,0.503536818192722,0,0,0,0.000787176988113303,0.00594691444008159,0,0.00415565168965168,0.188823377791707,0.0755674387732931,0.00107726153542792,0.00187867531442873,0,0
"Ex_CACNA1H_MCTP2",0.00568181922879581,0,0.00899134956219465,0,0.0260804628537646,0.0944514142941782,0.000546557490927062,0.00526719335417932,0.00272462393585396,0.00988377102698454,0.0751491175105586,0,0.033790260205583,0.195528448663147,0,0,0.00132969455213526,0.050122651348743,0
"Ex_CACNA1H_PROX1",0,0,0,0,0.00835267980060066,0.0649543238336504,0,0,0,0.0260300870640593,0.0247661020788021,0.00259956495169498,0.00615715385033209,0.596155934941058,0,0,0.000569011909337711,0.00325664171254822,0.000515995928261681
"Ex_DACH2_ADAMTS5",0.00950500186222566,0,0.000679427226268525,0,0.0202878257990173,0,0,0.217441542914438,0.000489722356233431,0.273358481957637,0.0576414637244693,0.0153702496868337,0.00147001977891699,0.000393897849196839,0,0,0,0.00250310579662246,0.00120808744589303
"Ex_DACH2_CEMIP",0.0323967377348704,0,0.00545954405821921,0,0.00166358232033727,0,0,0.00340634913704612,0.00666556213221214,0,0,0.624658673827764,0.114366554439617,0.000500017758772822,0.00169194674140606,0.000561676167966773,0,0,0.00199793338644585
"Ex_DACH2_GRIK4",0,0.00205019691167594,0.00150541010006115,0.00322142341193661,0.258694487604578,0.0118108615337816,0.000449611501724763,0.196954439695173,0.000421361695526678,0.0277149879643834,0.102286720231676,0,0,0.0037005341010205,0,0,0.00322808866027148,0.00816789994888985,0.000530042927498654
"Ex_DACH2_ITGA9",0.184906389293479,0,0.0108994015973492,0,0.0488018809581646,0.00188956502305644,0.000441128254725188,0.0604472678118691,0.0879743779940173,0.00250005596997344,0.0286617943108637,0.0187212097800611,0.102749847923069,0.00215444471040845,0.00479817933807102,0,0.00422884806981366,0.029196613168928,0.000607572909483029
"Ex_DACH2_LHX2",0,0,0.00105306021360308,0.00137174211248285,0.173650992864126,0.00433755029195918,0.00108308060599872,0.00566027766738496,0.00175106099164021,0.0344380173310244,0.358242523202299,0,0.0136915722325887,0.00421017475251536,0,0,0,0.00428852074708924,0
"Ex_DACH2_LUZP2",0,0.000497014354702156,0,0.00097078348088431,0.244686767436396,0.0366458225751057,0.000398858982187734,0.000883552929591374,0.000848314124554964,0.00257404069195565,0.308269495127472,0.00039097366373124,0.0146271179457995,0.00539437874828142,0,0,0.0263316453887777,0,0.000385622669171195
"Ex_DACH2_MGAT4C",0,0.00273724508033662,0.000956555996833568,0,0.246749406762071,0.000751733480434522,0.00112628804823607,0.135451375440908,0,0.0356590791808235,0.189321222775431,0.00113677128318769,0.00163986790957984,0,0,0,0.0127577640385743,0.000397973355712015,0
"Ex_DACH2_NR4A3",0,0.00111527614418571,0,0,0.31935597564431,0.00284353374772664,0.00202706133587477,0.207273973771801,0.00281780263105008,0.0358916304753374,0.00909252348605007,0.00101703627428,0.000941414440255786,0.00139332443755522,0.00361138328231803,0,0,0.00329873056127882,0
