"","Ex_DACH2_ITGA9","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_SLIT2","Ex_DACH2_LHX2","Ex_TSHZ2_NR4A2","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP","Ex_DACH2_LUZP2","Ex_Pre_KCNH7","Ex_DACH2_ZMAT4","Ex_BCL6"
"Glut-CACNA1H-1",0.000259510596978255,0.619504279619012,0.00526501904968114,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00126861884529139,0.545029785287847,0.0102180172133412,0.000530226434509421,0.000209748986645811,0.0012524319585951,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00135211403292929,0.563036647071167,0,0,0,0,0.000461149039896179,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.638444814413264,0,0.0239933821777448,0.00105413538243496,0,0,0.000925838883274937,0.00221688100606908,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.61681064056618,0,0,0,0,0,0,0.00060916221434931,0,0,0,0,0,0
"Glut-DACH2-1",0.00396086318339176,0,0.0743057190956063,0.00079950787324627,0.0292332728902813,0,0.0123864470584775,0.000428298457011245,0.3556826941203,0.0143353799182412,0.000300399457885234,0.000352602286047168,0.000361645622901402,0,0
"Glut-DACH2-2",0,0,0.00931586801997982,0,0.157359016445169,0,0.025746531542317,0,0.153119828985702,0.0234546173196199,0,0,0,0,0
"Glut-DACH2-3",0.0175738866787828,0,0.0126491521568792,0.48537436582748,0,0,0.000420138011715992,0.000510210269192016,0.00412290657021877,0.00101458750510847,0.0452900421263623,0,0,0.0256817908670285,0
"Glut-DACH2-4",0.247228487416102,0,0.0558857174259602,0.00317878368477467,0,0,0.00219693665832612,0,0.026477141089155,0.00685681905479224,0.00371072944196526,0,0,0.00668992390970836,0
"Glut-DACH2-5",0,0,0.00848787687527855,0,0.16011529586414,0,0.0208222045728297,0,0.0499063124278544,0.171894589351958,0,0,0,0,0
"Glut-DACH2-6",0.0314586091753011,0,0.000596123691545366,0.000514496254665984,0,0,0,0,0.000722098940551735,0.0016309865444336,0.359227319309493,0,0,0.0668753760230209,0
"Glut-DACH2-7",0.00313247709122366,0,0.0435653488857925,0,0.0310908501241391,0,0.0395669840447023,0,0.230307179662564,0.0391827600980902,0.00260695834707913,0,0,0.0034557452297504,0
"Glut-DACH2-8",0,0,0,0,0.000538584544541421,0,0,0,0,0.00179000962833723,0.0346045742278815,0,0,0.445333595840675,0
"Glut-DACH2-HVCra",0.00639184320781936,0.000635586694527886,0.00200283621058213,0,0.022812184553416,0,0.00429640315801077,0,0.202686282921872,0.0162910037910429,0.000973779612517654,0,0,0,0.058168518863771
"Glut-DACH2-HVCra-Int",0.00498306174073756,0,0.0105423913291674,0,0.134376174275913,0,0.021172710090271,0,0.20887621881454,0.00113580464853889,0,0,0,0,0.000573268228369797
"Glut-DACH2-HVCx",0.166616658495994,0.0340920301848025,0.000576327229408184,0,0,0,0,0,0.000839166681419799,0.025282305099395,0.0232174889070606,0,0,0,0.00107507278045112
"Glut-DACH2-LMANco",0.00104139085608358,0.00126112858015952,0,0,0.00134778240389908,0,0,0,0.000583309080186986,0.000507317386907842,0.142775336605076,0,0,0.219031275481218,0.00108081318010886
"Glut-DACH2-LMANsh",0.000255204402995875,0,0.00335319465350409,0,0.294202554956776,0,0.0103136315504739,0,0.00385394098787915,0.0871156010879851,0.00192923122216925,0,0,0.00358397821086765,0
