"","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_CACNA1H_PROX1","Ex_SATB2_OVOA","Ex_CACNA1H_MCTP2","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_DACH2_ITGA9","Ex_DACH2_LUZP2","Ex_Pre_KCNH7","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_ZMAT4","Ex_DACH2_CEMIP","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00067146520193836,0.0011822433767564,0.000253058587362532,0.749385251968828,0.0345714020416302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.104109742424758,0.00349873289614756,0,0.396063964552464,0.0662714201552645,0.000316125656792141,0.000657024826344967,0.00548707548453189,0.000708002879837918,0.00195431429324802,0.000746036272487276,0.00074297821096413,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00620285076281712,0.00229683950916354,0.000472636425930577,0.533348754746502,0.121775028425834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.00149391079338068,0,0.678885405497347,0.00502865894840626,0,0,0.00213284748083941,0,0.00276307291236249,0.0628929742938985,0,0.0019363335547179,0.00104652431409508,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.000302963465162033,0,0,0.69855080645948,0.058779498944761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.133444753841214,0.00113650391853535,0,0,0,0,0.000433049000012648,0.00110776570183218,0.00305903719151636,0.00505706161491556,0.1792248603619,0.00427655178049203,0.00184909867365303,0.00149969962398609,0.00753402414714193,0.19035582528638,0.0109507971380154,0.000767421076958088,0,0,0,0
"Glut-DACH2-2",0,0.0830623590117591,0,0,0,0,0,0,0.000346936185443398,0,0.000355894337251285,0.122621290371689,0.000323242625155694,0.00542559651630502,0.000567462513626466,0.017892257699262,0.0771170922543096,0.0932163153707106,0,0,0,0,0
"Glut-DACH2-3",0,0.0098819986201391,0,0,0,0,0,0.00107244434450688,0.000509099106104714,0.00620388255822852,0.591580754050708,0.00138971971140083,0.00917339698566247,0,0,0,0,0.00408547322131587,0.0952779168903466,0.00987854955488922,0,0,0
"Glut-DACH2-4",0,0.0681870795504508,0.0532180389817079,0,0,0,0.0202209404443322,0,0,0,0.0657352408899807,0.0220985750533275,0.213275821940655,0,0,0.000654208904794406,0.00260132896045967,0,0.0367718630684648,0,0.000706394991448087,0.01855306055008,0
"Glut-DACH2-5",0,0.0383588126390724,0,0,0,0,0,0,0.000511592543776787,0,0,0.069762014606574,0,0,0.000451828178529812,0.130625062837475,0.0648739513450608,0.0755107192498831,0,0,0,0,0.000365542486638371
"Glut-DACH2-6",0,0.00135959472805194,0.0184435661950929,0,0,0,0.00156735170203665,0,0,0,0.0016284452472212,0.00314211088711852,0.00790117082086108,0,0,0.000257198548878987,0,0,0.198127886888685,0.475985556201861,0,0.00170838215958185,0
"Glut-DACH2-7",0,0.0589169189999961,0.00878328242458065,0,0,0.000645210712484237,0,0,0.00340982354688275,0,0.000340529600619607,0.181021854885597,0.00695034693078617,0,0,0.0138261479294419,0.139676771753295,0.000285665907347723,0.0126105296723392,0.00078686466490893,0,0,0.000934594918560567
"Glut-DACH2-8",0,0.000289011829062537,0.00123129715335406,0,0,0,0,0,0,0,0,0.00125761840837837,0,0,0.000625421471795574,0,0,0,0.677985381390428,0.054997750233517,0.00113227015523096,0,0
"Glut-DACH2-HVCra",0,0.0189394803216864,0.117064600873948,0,0,0,0.0111624438116073,0,0,0,0.000238613844780912,0.113475247038012,0.000223502253449363,0.00028668036625933,0.00743585074245431,0,0.0589638157606451,0,0.0134663981639711,0,0.00108519516186573,0.000640787461654109,0.0232182402017656
"Glut-DACH2-HVCra-Int",0,0.0549748944252905,0.0214135474933559,0,0,0,0.000353674945183068,0,0.000648374317962006,0,0,0.213118972727841,0.00431262843628266,0.00318249537353267,0,0.000338817675641068,0.101989813106303,0.0131026483690041,0,0,0,0,0
"Glut-DACH2-HVCx",0,0,0.0232115834595988,0,0,0,0.365893483229768,0,0.00155334785397242,0,0,0.00313260108669031,0.00577889659542356,0,0,0,0,0,0,0.000997730168414981,0.0358051483216252,0.149557942183444,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0.000608643490930332,0,0,0,0,0,0,0,0,0,0,0,0.519607167787679,0.102029686779475,0.0263079114069074,0,0.00109427370115419
"Glut-DACH2-LMANsh",0,0.0275389853086303,0.000155675512918122,0,0,0,0,0,0.000937710143741635,0,0,0.0571679751604025,0,0,0,0.177573309485501,0.0234837909974233,0.0532590356653346,0.0193601537513253,0,0,0.0002968201242286,0.0391447244234968
