"","Ex_TSHZ2_NR4A2","Ex_DACH2_ITGA9","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_Pre_KCNH7","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_Pre_SATB2","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_CACNA1H_CPA6","Ex_DACH2_CEMIP","Ex_CACNA1H_MCTP2","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_TAC1","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.0200016380233653,0.000498601461914593,0.042475157702388,0.00915982141115744,0.00506707284624477,0.739749589273348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.010397939992573,0.0020888214758374,0.049800176871719,0.0185127600470464,0.0211233986244951,0.37115085286473,0.00370460360765123,0.0608008781674592,0.00249847975540932,0.0114727312193707,0.00395336625286051,0.000452453796286365,0.00643383669051016,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0169226316483644,0.0010154971901477,0.0641845409742859,0,0.0544967583229225,0.576569476944193,0.000776501389825419,0.00637573019453052,0.00119381819858599,0,0,0,0,0.00074970728354427,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0,0.00216513102512206,0.00268108196923984,0.00141082451529168,0.673286225846754,0,0,0.136039878069275,0.00267509854839977,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0696368662949377,0,0.000483045865701807,0.253968502994768,0.00213393259109398,0.23525837963933,0.0012946056553489,0.000391745697512729,0,0,0.00450501651654236,0,0,0.000266934499677307,0.00043359568321344,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00627820990052423,0.110094468814954,0,0.00240284772553734,0,0.000696948718750006,0.000752486465920664,0.01681772303173,0,0,0,0.00348651013751085,0.110391125404212,0.0170279668936205,0.000478844353503772,0.0324540054195049,0.0244115065930378,0.280572243271796,0.000783532955637644,0
"Glut-DACH2-2",0.000339400761712058,0.0090800135765851,0.028645597767472,0,0.00108324570082745,0,0,0.000367357042788033,0,0,0,0,0.000366796838605073,0.0875992388319853,0.0458203534451518,0,0.159298818396347,0.0284652796162574,0.173967595552101,0,0
"Glut-DACH2-3",0,0.0160045188513288,0.0145823969938278,0,0,0,0.00187110028441851,0,0.580876293042732,0,0,0.0453102472667594,0.00143677220840509,0.000505491536625584,0,0.0020235911675471,0.00153945440398293,0.00161399604114424,0.00107839597276323,0.0598143349783115,0
"Glut-DACH2-4",0,0.27794129814842,0.0563899724510641,0,0.00649750089046026,0,0.00297713946780288,0.00301226835067355,0.0557083415527954,0,0,0.00250402854872398,0.00165211055936591,0.00237802463918849,0,0,0.00123610983407846,0.00664808238494723,0.00723924981829451,0.0701470100251411,0
"Glut-DACH2-5",0.000863893269314482,0.00443233270220951,0.018525105363138,0,0.00259385759891542,0,0,0,0,0.000459484492720672,0,0,0.000632715968744913,0.0805235581003424,0.000353480799768378,0,0.173245174756972,0.253792532121538,0.0378861423739493,0,0
"Glut-DACH2-6",0,0.0314372844483401,0.000355956497762345,0,0.00359140531033319,0,0,0.00159313727430558,0,0,0,0.604036847571774,0,0.00196425126506689,0,0.00108341213164108,0.000313755169020303,0.00466954165852298,0,0.11635294020897,0
"Glut-DACH2-7",0,0.0118272975624517,0.0857859926043755,0,0.000739082602447558,0,0.000956023235342348,0.00132221839107872,0.00147472066979488,0,0,0.0023030847382843,0,0.183034478938111,0.00159897090944154,0,0.0115981601311398,0.0905201545105372,0.14418040034805,0.00267405716451384,0
"Glut-DACH2-8",0,0.0207741869138925,0,0.000556147542925687,0.00519665363038441,0,0,0.00108853692936823,0.00962809409016755,0.00372706126199066,0,0.145110450412817,0,0.00376492353176098,0,0.000707295632413735,0,0.0020269620560569,0,0.47925111686311,0.00215388341788875
"Glut-DACH2-HVCra",0,0,0.00620687095992643,0.0011862430843814,0.0146586259702941,0.00170694414061645,0.459404611490907,0.00113972089135928,0,0,0,0,0.000703668158509205,0.0308998481864997,0.0153986441027759,0.0166935155361892,0.00201269278496355,0.0192947145103312,0.0210801354917538,0.00048252472276235,0
"Glut-DACH2-HVCra-Pre",0,0.0188713512905124,0.0214396887733195,0.00125353569405025,0.000845560036122344,0.000520615363590597,0.0187214132987291,0.00215679188413753,0.00207589922341005,0,0,0,0,0.186864961034026,0.0590566756985991,0.00558525912321055,0.0315325582367739,0.00228418633180084,0.152545530994007,0,0
"Glut-DACH2-HVCx",0,0.0854940516564424,0.0010341350076841,0,0.268787349249289,0,0.16298063416796,0,0,0,0,0.00568973964712728,0.0211417497023271,0,0,0,0,0.00307352990479393,0,0.00314194189957266,0.00187120088187298
"Glut-DACH2-LMANco",0,0.0138873005025293,0,0,0.00661937429888613,0,0.130384387730579,0,0,0,0,0.362365920030733,0,0,0,0.0221975535958912,0,0,0,0.0688296648291079,0.0311391994703466
"Glut-DACH2-LMANsh",0.000304445125154571,0.0713359855671071,0.0119138520204177,0,0.0239515844465161,0,0.000910649276666251,0,0,0,0,0,0.00721184727843077,0.137428856323832,0,0,0.090652662004458,0.145780511276496,0.00461680374622592,0.00617302612412714,0.0108607837027627
