"","Glut-DACH2-8","Glut-DACH2-HVCra-Int","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-LMANco","Glut-DACH2-5","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-LMANsh","Glut-DACH2-HVCx","Glut-CACNA1H-1","Glut-CACNA1H-RA"
"Ex_BCL6",0.00129615326039402,0.00856320164678583,0.0236080535708376,0.00150525221540139,0.0112551240988562,0.114264371909233,0.0072234953376511,0.00985574019770844,0.000524954983598467,0.00562445883218125,0.313013852745661,0.0933476497058668,0.00106285356529956,0.0155835609954773,0.00102135822858913,0.00905601272020795,0,0
"Ex_CACNA1H_CPA6",0,0,0,0,0,0.91607141312559,0,0,0,0,0,0,0,0.00751183418543466,0,0,0.00464569571086283,0
"Ex_CACNA1H_KIT",0,0.00158544779528724,0.000759352908982315,0,0,0.774304009085588,0,0,0,0,0,0,0,0.0544861159204452,0,0.00289567183116884,0.0162931162927175,0.00119052078295999
"Ex_CACNA1H_LHX9",0,0.000837440310682142,0.00330094855563871,0,0,0.249063269124787,0.00157105914990006,0,0,0,0.00260692754357358,0.00158084887586697,0.000835478990666107,0.440445268235618,0,0,0.092687477297887,0
"Ex_CACNA1H_MCTP2",0.0335371505249405,0.000765863308120523,0.027128000993812,0.00367809319962327,0.00198512434644164,0.322473932112971,0.00615222614473239,0.00895410940665312,0.00069722901762529,0.00624391967627941,0.142270590536764,0.00300591224519242,0.000663687593604387,0.0433941198291509,0,0,0.010174778333143,0
"Ex_CACNA1H_PROX1",0.000360478690223034,0.00140248427442633,0.0151259405448098,0,0,0.60473313555601,0.00972306814034076,0.000649002923931676,0.00654026589747779,0.00523872192891557,0.0100228392262021,0.000545037488367875,0.00070247018644982,0.0676615628107164,0.000954223694821184,0.00181632520507571,0,0
"Ex_DACH2_ADAMTS5",0.0165146166774702,0.00154343408117652,0.0508975506390609,0.00158123998626938,0.0659586842510945,0.00273804081485362,0.0637988042342279,0.0031831940733542,0.000451930031493923,0.223250025566548,0.0176154002709158,0.0113357775454779,0,0,0.0520595267717604,0,0,0
"Ex_DACH2_CEMIP",0.117320411609176,0,0.00223000007663693,0.000625109529005563,0.00165127326679737,0.004776444910848,0.00109795735533787,0.00535048553931055,0.00989481267767927,0,0.187184037047671,0.392561755266811,0,0,0.000765241512516472,0,0,0
"Ex_DACH2_GRIK4",0.000378215872677785,0.0148938462894185,0.380708470416448,0.000444028566173225,0.0792628243844536,0.00101883984658491,0.044743924884696,0,0.000448576021961768,0.0539458283005836,0.00162754782865277,0,0.00979200660734889,0.0106269190769573,0.00538422266052257,0,0,0
"Ex_DACH2_ITGA9",0.101747299294404,0.0101201468613317,0.0698992181965515,0.00125053276427457,0.0525499172982613,0.00294645511642939,0.00956933489143737,0.110717340612546,0.000809346468943999,0.00602563530256806,0.131975991734489,0.0515489217126317,0.000341054101829809,0.000631282477870395,0.00425823164466871,0.00900641411001296,0.00212552513681608,0
"Ex_DACH2_LHX2",0,0.00114913412155445,0.205955123058785,0,0.00512012524883458,0.00716751326644957,0.0985559611469461,0.000443414658295138,0,0.218127143515194,0.0362971855157673,0.000372132522100646,0,0.00258921939548261,0.000792332483041727,0,0,0
"Ex_DACH2_LUZP2",0,0.0101031573612111,0.259922484104888,0,0.000866740100115004,0.0186141461059249,0.17202521006198,0,0,0.0136792809398554,0.0402469513545387,0,0.000419240156631118,0.065650118174988,0.000406129977755205,0,0,0
"Ex_DACH2_MGAT4C",0.000856128353260994,0.0174234319762043,0.306345893692792,0,0.0575046192407628,0.00265853688586691,0.107924405736669,0.00626737727826471,0,0.085590068628019,0.00500957917111669,0.000549659728743984,0.00051992810914219,0.0017623490854276,0.000789069133416688,0.000447436385250602,0,0
"Ex_DACH2_NR4A3",0.000355888211254118,0.00110489899276844,0.365497471203429,0,0.0333090472484738,0.0033942172619073,0.0413667182360171,0.0134460762337658,0,0.0474079138119295,0.0141061902129121,0.00233032980934342,0,0.0020919646241944,0.020928288315428,0,0.000784655521706721,0.000471119827833483
"Ex_DACH2_RORB",0.019791450372654,0,0.00193270748281946,0.00217099891783432,0.00139101430832512,0.000438234072748168,0.00999315879019625,0,0.14489657756894,0.00664190643830221,0.409193170906073,0.000846188976315675,0.000399045535721056,0,0.0131689635151271,0,0,0
"Ex_DACH2_SLIT2",0.000876478406766666,0.00156239394753564,0.0512509562617545,0.000726514950273072,0.00588265351630048,0.00768547807552536,0.0100272951462783,0.0203777685420811,0,0.00109893040703445,0.650273943589864,0.00363607349513604,0,0.0403347182754518,0,0,0.000795369694828555,0
"Ex_DACH2_TAC1",0.266297409718907,0.000844680627962366,0.00212632723734927,0,0.0143606445155799,0,0.00163045249983507,0.00283774552808796,0.00167077791252364,0.00313568729482298,0.269140642727164,0.0803346901496428,0.00129589791018975,0,0.00278484523784583,0.00225861853708385,0.000477052943818874,0
"Ex_DACH2_ZMAT4",0.298502023925346,0.000383539722259706,0.00258904950389836,0.000311603458806901,0.00374503917390914,0,0.000402882875035841,0.0199992358596029,0.00343481213193714,0.00103395949786836,0.318290812657169,0.0550782866279899,0,0.000534944822400719,0.00546094344057895,0,0.000397523172536524,0
"Ex_KIAA1217",0.00887882656975191,0.0749690324147595,0.000247624358799544,0.00513682753507979,0.00335457537158732,0.020959126566957,0.000281938350881716,0.0113506742710309,0,0,0.000445279436595548,0.0175155814011351,0.00234671274583963,0.000665482690160232,0.000302069546949729,0.351105189688155,0.00367326830800706,0.00168531266200873
"Ex_KIAA1217_BCL6",0.0045239086789781,0.0150190266290697,0.00183326195794406,0.00538462128005266,0.00240745543300775,0.0953769496035889,0.0022519884466385,0.0696759372644817,0,0,0,0.0134442618497217,0.00945715581284753,0.0106113523719695,0,0.316375403762518,0.0314952275852796,0
"Ex_Pre_KCNH7",0.00276711910228906,0.0142270724509299,0.109829055150597,0.0155370659303577,0.00691258308906364,0.0606081512273316,0.0357084966709786,0,0.00854924283912249,0.00362556589261543,0.0525398391559918,0.00864037256623287,0.025682299088771,0.00605561558863634,0.0275708612530759,0.000994112895534971,0,0.000995225576935381
"Ex_Pre_SATB2",0.000921521124836785,0.0179973434996462,0.061400900931349,0.0131054473886394,0.0144386421371319,0.161434440072698,0.0360465457126902,0,0.00270728367999713,0.00356674713098646,0.0294808779092898,0.005888987451948,0.0204726014857988,0.00853040623025004,0.0166161988111871,0.000609569336083243,0.00129958378457997,0.00088886633335898
"Ex_SATB2_FOXP2",0.0140528227862607,0.105079357871248,0.00146186320355109,0.00199741837553625,0.021183781258153,0.0176073374406372,0.00432101821920695,0.121889506732151,0.0011529581869208,0,0.000269650268080352,0.0222393878610546,0.0215234972846048,0.00504608146103723,0.00266512141251053,0.0598026241211908,0.00796392280551079,0.00082486306636243
"Ex_SATB2_OVOA",0.00718920088591915,0.0202913343560556,0.142143618194228,0.0019347471962027,0.0760665665143631,0.0439350512377342,0.0366502141500895,0.0164183899464355,0.000399784734065681,0.05432815828988,0.0221778388281183,0.00401517173551479,0.00863438413686002,0.00668761169222343,0.011569629780524,0.00216284688022699,0,0
"Ex_SATB2_SOX6",0.0138225921170145,0.177177568445162,0.00988114917662579,0.00255015119570847,0.00926040062210201,0.0132956652894349,0.00266568558257838,0.0988796439883621,0.000498769045139503,0.00161350954813926,0.00155096197414874,0.0288560319432619,0.0600866809888464,0.00533987479884375,0.0018390660279298,0.0162885066402087,0.000805138956949368,0
"Ex_SATB2_ZNF385B",0.0125981282934374,0.0989430589039435,0.00802216080672516,0.0020439805478118,0.00438919099355359,0.020810790531483,0.00740920270037931,0.0326548774259739,0.00402126049503699,0.000711912126695032,0.00530020947740387,0.0137166708910258,0.0877039622203319,0.00418831096589421,0.017665663402506,0.0209702551988857,0.000573862237956178,0.00781370562345924
"Ex_TSHZ2_NR4A2",0,0,0,0.00556529301659905,0,0.217558446757394,0.00619354067948926,0,0,0,0,0.00404423275878396,0,0.00732175630360779,0,0,0.421855780459076,0.00544879468951604
