"","Glut-CACNA1H-1","Glut-DACH2-8","Glut-DACH2-3","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Int","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-CACNA1H-3","Glut-SATB2-1","Glut-DACH2-6","Glut-DACH2-LMANsh"
"Ex_BCL6",0.000671928646613516,0.00256947228464012,0.229824629580492,0.19341500072456,0.0495587424842097,0.00243642581667179,0.00444323144493201,0.00701073724141814,0.0267004675427673,0.000992797983246455,0.0558865853386665,0.00198678209933524,0.000618295293719495,0.00095986407822319,0.00031351792103607,0.00127157413558331,0.00562146600946332,0.0561305041873899,0
"Ex_CACNA1H_CPA6",0.00413792364135572,0,0,0,0.824113049580882,0,0,0,0.0071463748340029,0,0,0,0.0263918793676748,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.015246856607686,0,0,0,0.641475204612059,0.00193154389157272,0.00511869008364259,0,0.121217885014127,0,0.00288952091076207,0.00927243409086405,0,0,0,0,0.00114948989033282,0,0
"Ex_CACNA1H_LHX9",0.0704683091872968,0,0.00407703954247854,0,0.19253031517391,0,0.00322246679926468,0.00320075344382059,0.499959169117816,0,0.00147298109672796,0.00651499918396406,0.00277768851733706,0,0,0.000915335592288353,0,0.000554937010049632,0
"Ex_CACNA1H_MCTP2",0.0021326364141565,0.00447969896178502,0.0304461097719595,0,0.218189855641154,0.00102573054277743,0.0590008144721265,0.0210428762892485,0.105049244247776,0.00370555622875737,0.0126206615995649,0.00914540334571542,0,0.00609362579519694,0,0,0,0,0.0562611110043898
"Ex_CACNA1H_PROX1",0,0,0.00910562512847823,0,0.588233853837738,0,0.0396856453544357,0.00919227407469277,0.0602889093069518,0,0,0.00329841876871711,0,0.00454915551836271,0.0037811338326575,0,0,0.00133445236515065,0.00501331346822948
"Ex_DACH2_ADAMTS5",0,0.0123416440319946,0.00295676683762076,0,0.000598720549379879,0.000567589896141639,0.0581233687191199,0.0207671697237636,0,0.22077050964314,0.00102488748010146,0,0,0.269420860619283,0.00246468511081884,0,0,0.0132562737951571,0.00521388618990492
"Ex_DACH2_CEMIP",0.00100990567658296,0.0317152702631409,0.11844723868482,0,0.000758828014367759,0.00753590974247511,0.000783922074167694,0.000507674804703559,0,0.00351739109535954,0.00803513872694381,0,0.000438584926678528,0,0.00342906900905378,0.000944339552879207,0,0.621721541623889,0
"Ex_DACH2_GRIK4",0.000752787090389869,0.000293140280614802,0,0.00386502538282725,0.00290019166193531,0,0.0985674815822573,0.256523483204887,0.0125614493688359,0.191642234946396,0.000782494250642567,0.00706831931810278,0,0.0282870933449629,0,0.000530418839259845,0.00220454957054241,0,0.0084977974948638
"Ex_DACH2_ITGA9",0.0109647747506303,0.17612125817233,0.101049404100316,0,0.00239195219641536,0.0875755812347382,0.0263716138163927,0.0463524443891487,0.00166162374906877,0.0570371947572796,0.0114917206911039,0.00576059658464227,0,0.00130892253672518,0.000481600447131555,0.000393940447468531,0,0.0226891260276069,0.0340294537829241
"Ex_DACH2_LHX2",0.000498648772084786,0,0.0143956498926671,0.000356819326847276,0.00581293644025665,0.00181845849564166,0.348160310797667,0.160553247829853,0.00486368093835652,0.00671006390116392,0.000488552536046258,0,0,0.0468470103028885,0,0.00106230163742995,0.00135326393008713,0,0.00430042342237623
"Ex_DACH2_LUZP2",0,0,0.0159982782172822,0.000530261373450263,0.00653149501551412,0,0.268881289295337,0.23636406516417,0.0337754800750623,0.00104361727886674,0,0.0802741104202125,0,0.00105485575207852,0,0,0.00087617592592779,0,0
