"","Glut-CACNA1H-1","Glut-DACH2-8","Glut-DACH2-3","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Int","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-CACNA1H-3","Glut-SATB2-1","Glut-DACH2-6","Glut-DACH2-LMANsh"
"Ex_DACH2_MGAT4C",0,0,0.00205936325278507,0.00290861917086675,0,0.000585599347831198,0.19530822759139,0.238060492288201,0,0.141453993812273,0.00108625963636018,0.0162690045346791,0,0.0327933508901618,0,0.00068990496913942,0.000335766228082918,0,0.000356716363606184
"Ex_DACH2_NR4A3",0.00965192411418545,0,0.00161357638778396,0.0019915421132374,0.00348112461149459,0.0023978297121991,0.011514471087165,0.295514881032316,0.00112049038258559,0.196873053994847,0,0.000532215223803154,0,0.034045985224964,0,0.00288782985279856,0,0.00234605528256368,0.00490121496309667
"Ex_DACH2_RORB",0,0.0491914891604577,0.342527645231535,0.00184250623105086,0.00253663945402951,0.00163720806503872,0.00114684836010402,0.000472558778587355,0.00114289000533799,0.000821822801354206,0,0.000539719797462432,0,0.0026968935234852,0.0582666277000934,0,0.0064367204486455,0,0.051584715854685
"Ex_DACH2_SLIT2",0.00157207335059087,0.00203248637574586,0.568949264010302,0.000984273777573095,0,0.0395787329567928,0.00868814849652901,0.0868096372730409,0.10144407564823,0,0.00117007072158314,0.000644871349337389,0,0.00498989675773959,0,0,0,0.00548667550137662,0
"Ex_DACH2_TAC1",0.000483639232671004,0.405421160387237,0.231014430479881,0.00133561149135297,0.000829123430324432,0.00197059704105913,0.00193288351810627,0.00108396556094324,0.000736778004631308,0.0119593729499245,0,0.000664238008501298,0,0,0.00480817243675622,0.000460323700743505,0.00193045784188756,0.00351467030306238,0.00223557922857543
"Ex_DACH2_ZMAT4",0.000481385292418847,0.357075084281208,0.266577550545362,0,0,0.0159376290537815,0.000659243956282594,0.00174203169411102,0,0.0136886748921118,0,0,0.000384786899772703,0.00206221168271944,0,0,0.000969986391361756,0.0616242300283575,0.00809576393890812
"Ex_KIAA1217",0.00215121287689405,0.0500523649963975,0,0.00330196954573899,0.00254574856125659,0.000386831484713781,0.0842077213815917,0,0.0035985907076518,0,0.0713565874884587,0.0412363989870307,0.15768739480209,0,0.0670976480788075,0.00115139651543762,0.00585827749754436,0,0
"Ex_KIAA1217_BCL6",0.0388405213410133,0.0335756837393469,0,0.199203918796724,0.0258424707833155,0.0343219807420207,0,0.00228747653007435,0.0281768890583006,0,0.0575472028105895,0,0.00786933572955673,0,0.00634898573489839,0,0.0611316562766413,0.00335741923354845,0
"Ex_Pre_SATB2",0,0.0027181639596399,0.000929349664859147,0.00469721637616736,0.214485128454801,0.00281261927712615,0.0289159866568501,0.0745342522475917,0.0102673364467374,0,0,0.00893197858290902,0,0.0011171385534612,0.0019705151721664,0.00980321882246912,0.188145864601714,0.00491570725207618,0.00120979332010666
"Ex_SATB2_FOXP2",0,0.00116234912180283,0,0.0045871298643522,0.0012011300696351,0.00150467402744476,0,0.000663868541509641,0,0.000471198929657953,0,0.00317185764315567,0,0,0,0,0.880576358379043,0,0
"Ex_SATB2_OVOA",0.00132512782444677,0,0.00195160104295935,0.0473879620578677,0.0223631658314547,0.00459871497501235,0.0239349250977063,0.128366082199158,0,0.105679188118356,0.00143977992584732,0.00187959992636462,0,0.0337187308431534,0,0.00112466559190621,0.187381456657532,0.000389371078301724,0.00122088180435896
"Ex_SATB2_SOX6",0,0.000702695645249994,0,0.0195257009943847,0.0014308278124588,0.00391337761171166,0,0.00313759979992883,0,0,0.0017277513412476,0.000401734486047683,0,0,0.0133599085434645,0,0.884835214696634,0.000318177254230355,0
"Ex_SATB2_ZNF385B",0,0,0,0.0100091714603673,0.000963324035400493,0,0,0.000846057476625021,0,0,0.000716322346676282,0,0,0,0.00163615205161419,0,0.918545961563655,0,0
"Ex_TSHZ2_NR4A2",0.497000136787757,0,0.00856053800532459,0,0.153927327250384,0,0.00930936983074641,0,0,0,0.00459972062551465,0,0.00786828627466305,0,0,0,0.0154366834228739,0,0
