"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_DACH2_ZMAT4","Ex_DACH2_ITGA9","Ex_DACH2_MGAT4C","Ex_DACH2_CEMIP","Ex_DACH2_LHX2","Ex_DACH2_SLIT2","Ex_BCL6","Ex_DACH2_ADAMTS5","Ex_SATB2_SOX6","Ex_DACH2_LUZP2","Ex_SATB2_OVOA","Ex_DACH2_GRIK4","Ex_Pre_KCNH7","Ex_SATB2_FOXP2","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.00450125754168291,0.802984226487578,0.0255415927771891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.000435026845573617,0.742872173186607,0.0406016382095395,0.000291557581698436,0.000583791931232024,0.000619218806001622,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0,0.734012567524356,0.0633522070745981,0,0,0.000669576420778146,0.00129821561744519,0.000523183380866882,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.878367999385278,0.00227215916387127,0,0,0,0.000880773949405071,0,0.00116383212451571,0.00478086280160448,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.842929896806666,0.00139499035502833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.0612312770256702,0,0.0101269645035815,0.00772200390865001,0.178259508341196,0.000628762017718044,0.0280539069196673,0.00398576683648269,0.00041763168907823,0.160776052215203,0.00818128967448856,0.00063953717143951,0.0279614056248536,0.0193592601223636,0.000204307996003244,0,0
"Glut-DACH2-2",0.00118770023508461,0,0.0083530246331654,0,0,0.0033528948618927,0.163286490095307,0,0.139269168499069,0,0,0.138147038605395,0.0168850419756196,0.000548380804767715,0,0.0488933090163274,0,0,0
"Glut-DACH2-3",0,0,0.0121890114246291,0,0.306499893250263,0,0,0.0225521389121105,0,0.349012381644087,0,0.00276611938970088,0,0,0.000600554116737101,0,0,0,0
"Glut-DACH2-4",0,0.00151930487924727,0.0350806222763828,0,0.346012408629069,0.00721137097163928,0.0042189211923933,0.0392908416635059,0,0.0105954488609919,0.0015008855582555,0.0574832756248115,0.00307580480834338,0,0.0017193733380918,0,0,0.00216158897871186,0
"Glut-DACH2-5",0,0,0.00282947364698403,0,0.000376980386189799,0.00572096157992942,0.0473074196513868,0,0.185918867074649,0,0,0.301776764695243,0.00118798496533465,0,0,0.0245950740036758,0,0,0
"Glut-DACH2-6",0,0,0.000338499917274631,0,0.154049675483919,0,0,0.631897628893302,0,0,0,0.000645148878713534,0.00189199008047124,0,0,0,0,0,0
"Glut-DACH2-7",0,0,0.0350747198621879,0,0.0222146367241364,0.0320887538311935,0.115236206076739,0.00823016993975513,0.0139305632131699,0.000368230616805772,0.00285949128073255,0.248309061869061,0.0221461744288644,0,0.000280114823833354,0.0214718924025388,0,0,0
"Glut-DACH2-8",0,0,0,0,0.527687711634205,0,0,0.110926683196377,0,0,0,0,0.0239265884447055,0,0,0,0,0,0
"Glut-DACH2-HVCra",0.00110734756008872,0,0.000320414820629084,0,0.00455720612409699,0,0.00343145110470463,0,0.00165899530503117,0,0.0600878292031206,0.0848866722946412,0.315274372218793,0,0,0.0113535063822864,0.0512960140808205,0,0.00141693545418267
"Glut-DACH2-HVCra-Int",0.0114297560509463,0,0.00713444174790901,0,0.00164974152187245,0.00557654638108757,0.0987761472740894,0.000269947637328303,0.0289917422100838,0,0.00655900876833542,0.0635134899664263,0.153863494886728,0,0.00135823771855574,0.105500148943143,0.00834116324498153,0,0
"Glut-DACH2-HVCx",0,0.0391574273820958,0,0,0.0237669953129388,0.0246341633374451,0,0.329176396424522,0,0,0.0038796537747741,0.00594903100543614,0.025431960851209,0,0,0,0.0139218483363926,0,0
"Glut-DACH2-LMANco",0,0.00124533355905964,0,0,0.0502009692904139,0,0,0.0151823736280291,0,0,0,0,0.782303397813591,0,0,0,0,0,0
"Glut-DACH2-LMANsh",0,0,0.000521339375384597,0,0.0895629347190905,0.0211347768852156,0.00746571499875452,0,0.273296386420093,0,0.00124305053583707,0.0335510894848041,0.00850355079585103,0,0,0.0719653643514377,0,0,0
