"","Glut-CACNA1H-1","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-2","Glut-DACH2-4","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-DACH2-HVCra-Pre","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_BCL6",0.000583888223238469,0.0268097327018118,0.0178217769076623,0.000454955878295081,0.00029936745664733,0.0518073961839401,0.0103343867206577,0.00200687544976626,0.352733999649068,0.00486164213213486,0.0096335731700465,0.0105150450186469,0.0728242964466946,0.00138311521665218,0.0041561460289198,0,0,0
"Ex_CACNA1H_CPA6",0.0141972232594916,0,0.00223999660758552,0,0,0,0,0,0,0,0,0,0.863006823120395,0,0,0,0,0
"Ex_CACNA1H_KIT",0.00761412508704572,0,0.0722905195912208,0,0,0,0.00136972478264909,0,0,0,0.00111040122929225,0.000613618578519616,0.699935542520653,0,0.00154214649585287,0,0,0
"Ex_CACNA1H_LHX9",0.0994544695874674,0.00528115964686283,0.383773310858547,0,0,0.00130028766331159,0,0,0.00229626003641167,0,0.000973774036124548,0,0.244852513276301,0,0,0.00173670464203542,0,0
"Ex_CACNA1H_MCTP2",0.0107528600892299,0.0350348091947679,0.0416861577636994,0.0036009109350119,0,0,0,0.00209491099618755,0.15771490217509,0.00811994314989301,0.00604860816999691,0.00960094440252507,0.277028697582158,0.00369854959774545,0,0,0.000463813274964238,0
"Ex_CACNA1H_PROX1",0,0.0182903142340021,0.0648339649443187,0,0,0,0.000553432571162237,0.00245985866373087,0.0153775827888603,0,0.00804343734490218,0.000351788793700406,0.56130326617046,0,0.00102538575111093,0.00251496906357622,0,0
"Ex_DACH2_ADAMTS5",0,0.0662985177424318,0,0.0176385134008198,0.0127869160299951,0.0107539015666551,0,0.178458865567442,0.0312381410696277,0.0498028396657378,0.066732944976392,0.00439464554014936,0.0010876001510648,0.00342636044777123,0.0019651838339192,0.000586662951685222,0,0.000225460109484
"Ex_DACH2_CEMIP",0,0.0050337483568573,0,0.102810404797597,0,0.278138143265091,0,0,0.232708439865505,0.000439622817109371,0.00309967316277914,0.00732821700336482,0.00251045381848218,0.000598565989550019,0,0.0088316406144583,0,0
"Ex_DACH2_GRIK4",0,0.387498471969335,0.00593911935019547,0.000661353761468362,0.000758782516212249,0,0,0.0405986721260668,0.00367721487775913,0.0515997060107026,0.0585531947115587,0,0.000425770543250975,0,0.0124948028143654,0.000514110505105255,0.00579578954757772,0
"Ex_DACH2_ITGA9",0.0013224552407052,0.0823499201838318,0,0.097780761599418,0.000880233337423338,0.0303588512977514,0.00194011931562345,0.00502490442912938,0.15170712176051,0.0329974206677409,0.00975650462546878,0.10153324401371,0.00280230336374261,0.000725489066753425,0.00756291477329194,0,0.000269612016395812,0
"Ex_DACH2_LHX2",0,0.262879522370769,0.00123993908528999,0,0,0,0,0.132582218673403,0.0334655922102554,0.00367019533733403,0.0816666263816419,0,0.00321231263175756,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.297923362421226,0.0689734249857607,0,0,0,0,0.0126447156254057,0.0377374351516866,0.000294024438349979,0.0938860151973933,0,0.0132061020969126,0,0.00477249453913158,0,0,0
"Ex_DACH2_MGAT4C",0,0.349610058863151,0.00190514313109465,0.00184437345624157,0,0.000268984630885636,0,0.0588235491922649,0.00527755639309679,0.0331680836467238,0.0850230962094347,0.00526080459042481,0.000235814797602898,0.000394858679371751,0.00575604287106523,0,0.000539497295951706,0
"Ex_DACH2_NR4A3",0,0.44475039741358,0.00221970865501754,0.000294499217161879,0.00690990442291517,0.000764468146058414,0,0.0386979781317397,0.0151198927057917,0.0244750411925876,0.0315211485763592,0.00923547498756793,0.00153876778886976,0,0.000753596204032546,0,0,0
"Ex_DACH2_RORB",0,0.000502759896164051,0,0.016745519164999,0.00109535259591432,0,0,0.00786234138355105,0.582757181472442,0.00085768218535686,0.00781460538890728,0,0.000674215575755905,0.00149521943268371,0.00468456354007915,0.00767827063127138,0,0
"Ex_DACH2_SLIT2",0,0.0720444932401693,0.0293087331954263,0.00236505553239478,0,0.00180060416632964,0,0.00121255750199994,0.627194213131017,0.0045386957790652,0.00346880344742804,0.0105288548155849,0.00566386761342305,0,0.000425395984245624,0,0,0
"Ex_DACH2_TAC1",0,0.00135505604026072,0.000531401715069226,0.276326593705029,0,0.0334685114620985,0,0.00120480520850377,0.263189765571143,0.00649954979863518,0.00135759672087615,0.00561245485032885,0.000278027487314079,0.000644237620957849,0.00159187001859791,0,0,0
"Ex_DACH2_ZMAT4",0,0.00214808627457516,0,0.2966889073418,0.00359343345375603,0.0253193134218234,0,0.000894270499182018,0.333806313102463,0.00256344580143549,0.000845560886462524,0.0146122028406139,0,0,0.000395706200080935,0.000333078827768172,0,0
