"","Ex_TSHZ2_NR4A2","Ex_CACNA1H_LHX9","Ex_Pre_KCNH7","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_CACNA1H_MCTP2","Ex_DACH2_SLIT2","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_BCL6","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_DACH2_LHX2","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_CEMIP","Ex_CACNA1H_PROX1","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.00705311271769469,0.808766468256301,0.00220829993280696,0.000449911206064076,0.0218063155451373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00852910029046296,0.550969082163417,0.00633633259857635,0,0.028854043374582,0.000675632103535409,0.0044533404685994,0.000941684628267943,0.0111371010392419,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.0145292506743702,0.679283182764556,0.0110772948259143,0,0.0278866492788491,0,0.00100510525609816,0,0.00249845579555595,0.000813166330948054,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.674843755235039,0,0,0,0.00141232538917901,0.183055463527397,0,0,0,0.00208358000460666,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0053200363688575,0.606795247847185,0.00260935707087785,0,0,0,0.000314731709701746,0,0,0.000727010969335806,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0,0.00183643612881448,0,0.105217567264744,0.000824322973386502,0.00918145029833307,0.00470528480331227,0,0.000479053533078197,0.0946548964854441,0.0049680339643047,0.325247007784381,0.018709817950947,0.020516337662674,0.000887781095669533,0,0,0,0
"Glut-DACH2-2",0.000374146890317388,0,0,0,0.0217009806660685,0,0.00174423086905811,0,0,0,0.0783595430879427,0.0269809412614126,0.172025556378061,0.130140557389871,0.0318527779371498,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00596009146443875,0.000560603343958657,0.595653445793444,0.0062598075256873,0,0,0.00141914089440964,0,0.00343185381223734,0,0.00186236468950603,0.056544787136014,0.00085833863692788,0.0400322306290609,0,0
"Glut-DACH2-4",0,0,0.00104584113888972,0,0.0387575081965065,0,0.0302605980485186,0.410330387056809,0,0.00335487100907861,0.00589191182757138,0,0.0154524074745441,0,0.00256195409611681,0.0164288276378893,0,0,0,0
"Glut-DACH2-5",0,0,0.00100089862128826,0,0.0143202820848605,0,0,0.000438741905559997,0,0,0.0775316933406325,0.000372386010817137,0.0380932418136403,0.149045252090563,0.234191061170464,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0,0.000703638293622687,0,0,0.050216680946227,0,0,0.000278401027978091,0,0.000550779937450926,0,0.00275166399097695,0.0764128001115365,0,0.604553520131301,0,0
"Glut-DACH2-7",0,0,0,0,0.0728608519958698,0,0.000828938301795467,0.00389627800976239,0,0.00105902795097949,0.193051369057712,0,0.120158074762144,0.0189525591206315,0.0703923160896202,0.00222798030943252,0,0.00176561727441677,0,0
"Glut-DACH2-8",0,0,0.000314425880433275,0,0,0,0.000816218649095511,0.0023613052141582,0,0,0.00178653393540188,0,0,0,0.00145082355578581,0.509744345713123,0,0.133152907903949,0.000406762409663105,0
"Glut-DACH2-HVCra",0,0,0.00191757331551222,0,0.00129061283606749,0,0.000401743159740962,0,0,0.61029468236852,0.0228119439701249,0.00036732048094869,0.0111443513971544,0.00468857867048084,0.000707980398950697,0,0.000291688601160154,0,0,0
"Glut-DACH2-HVCra-Int",0,0,0.00118797329874223,0.000472809858582133,0.0210728972020531,0,0.00262782356243525,0.00737705488561427,0,0.023362554587008,0.157344665049862,0.0167691090076735,0.141943791910798,0.0790078136902966,0.00120193900154948,0,0,0,0,0
"Glut-DACH2-HVCx",0,0,0.366935912752741,0,0.000938606973334051,0,0,0.0716504424453419,0,0.123061671654201,0,0,0,0,0.00112597266692786,0.00353569068111215,0,0,0,0
"Glut-DACH2-LMANco",0,0.00276887749116156,0.0105612309809882,0,0,0,0,0.0019729367775918,0,0.0407621583158882,0,0,0,0,0,0.0644673727952961,0.0101852624100064,0.362505373365793,0,0.0224755935629153
"Glut-DACH2-LMANsh",0,0,0.00164025798591664,0,0.0125303381256853,0,0,0.0116016093453151,0,0,0.0947562218153059,0,0.0022073969139356,0.171331265473599,0.0921072943922182,0.00641542973515556,0,0,0,0.015023639042766
