"","Ex_DACH2_ITGA9","Ex_CACNA1H_LHX9","Ex_CACNA1H_KIT","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_Pre_SATB2","Ex_BCL6","Ex_DACH2_SLIT2","Ex_DACH2_CEMIP","Ex_DACH2_LHX2","Ex_CACNA1H_PROX1","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_TAC1","Ex_DACH2_RORB","Ex_DACH2_MGAT4C","Ex_DACH2_ZMAT4"
"Glut-CACNA1H-1",0.00365632873927282,0.681086269706868,0.0119769733959985,0.0051365246473684,0.030620753338041,0.039404840947196,0.000574574057717601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.00377983769301526,0.300478338241338,0.0318945843555726,0.022577130866731,0.0154745254672677,0.0436364020055312,0.0753726107833599,0.0103669190352374,0.00331492511541288,0.00149322560009065,0.0003011456437307,0.0181171940755187,0.00657214884745449,0.00493099327746982,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00594257162134211,0.514431194789692,0.00101984701659856,0.0649978460434734,0.0251126719803096,0.0560486277098465,0.007049387603733,0.00518707242419137,0.00122460363359236,0,0,0.00068732109170155,0.0013278129121679,0,0.000915690121399274,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.637631261906209,0.00452673658064721,0.0029213795588731,0,0.0073557831126658,0,0,0.101748480761127,0,0,0.00762716452160219,0.00136805514956518,0,0,0.00188409233675108,0,0,0,0,0
"Glut-CACNA1H-RA",0.000366176556609338,0.204421687391603,0.325930788583301,0.00232760993157431,0.0279068523872214,0.000599414826414283,0,0.00101169622373871,0.00108851721146988,0,0,0.00120777661389361,0,0.0127677584244853,0,0.000375321618384252,0.000355984331016539,0.000270515669257845,0.000551268234583772,0,0
"Glut-DACH2-1",0.00513790061392383,0,0,0.00299372569733884,0.000469540262364865,0.110526249986483,0.00172432148034936,0.000692680097122219,0.0165429900742535,0,0.0378929611306721,0,0.00429194695317784,0,0.115832989269821,0.0196242354899791,0.0251404712667265,0.00128311284376542,0,0.25271951060108,0
"Glut-DACH2-2",0.00935528658181938,0,0,0.00204113544818741,0.00115094775961628,0.0288618590168565,0.00116444121389736,0,0,0,0.162587595683813,0,0.00205270504496792,0,0.0854446963669119,0.0579533099124129,0.0334718905766433,0,0,0.156324455548873,0
"Glut-DACH2-3",0.0134673996279099,0,0,0,0,0.0143577217500021,0,0.00298392897229777,0.554824262593919,0.0481086548143606,0.00248080869481946,0,0.00135050594060335,0,0.00051542583890313,0.000295321581184477,0.000621932497444685,0.00239028806932481,0.00155990470406351,0.000415824540612342,0.0677770757142597
"Glut-DACH2-4",0.283760695993896,0,0,0.008585174733017,0,0.0554063200958634,0.00428626129123871,0.00383992265595314,0.0512564191864388,0.00228935410409824,0.00296857706379917,0,0.00136362867514273,0,0.00163047814052854,0.00216751715606004,0.00318587654234289,0.00164504003681136,0,0.00618198255587872,0.0585266207637407
"Glut-DACH2-5",0.00536270178999598,0,0,0.00293708136763077,0.00308503995873981,0.0225808036611644,0.00060708482808487,0,0.000824210520009976,0,0.155160571241729,0.000557236341549513,0.00212292753250475,0.00043754313102565,0.0804451510654261,0.00045820464251432,0.257486726409163,0,0,0.0498129754917283,0
"Glut-DACH2-6",0.0324031253216286,0,0,0.00873006238500052,0,0.00337134636132784,0.00388447126085937,0.000362683731289495,0.000311955068572507,0.599081502175826,0,0.000340508286673458,0,0,0.000409697326231727,0,0.005633302643716,0.00163638029438461,0.0005070174077479,0.000434622057813672,0.112607119833014
"Glut-DACH2-7",0.01310005983046,0,0,0.00154278264725426,0,0.0894822372162042,0.00212437934622938,0.00190350839755441,0.00329724582658419,0.00282201861017127,0.0145400289895382,0.000307209997503764,0,0,0.168787830672003,0.00113333621105834,0.0981397060989827,0.000480595039669226,0,0.136163244971306,0.00458950401787072
"Glut-DACH2-8",0.0296696794250882,0,0.000589635168298827,0.00656462263712039,0,0.00114589272671751,0.00382066200684359,0,0.0122018932873885,0.146200223153313,0,0.0046333897879839,0,0.000427319921016619,0.00244329712356991,0,0.00229733460529138,0.00187052613266829,0.00708774153966274,0,0.452872221609804
"Glut-DACH2-HVCra",0.000822478042564568,0.00308060996462889,0.00121940505359463,0.0205394171632093,0,0.0055850751394941,0.00104357155154401,0.352106770615848,0.000544017317514897,0.00094611292056408,0.00892866485696646,0.000620537456628708,0.00107260165561159,0.00149094560352447,0.0394177072710302,0.0159606851961546,0.0334743203955111,0.0198716301378427,0,0.0374195468068942,0.00135949052310398
"Glut-DACH2-HVCra-Int",0.0215945677714517,0.00115510892241654,0.00137130331329227,0.00277740061033334,0,0.0264578717118327,0.00300160978721458,0.0298398964377505,0.00308385370731982,0,0.0319420913381675,0,0,0,0.197008267844027,0.0640192278680586,0.00258736821565557,0.00378007353907949,0,0.143487613168947,0.000257091710775488
"Glut-DACH2-HVCx",0.0836344421627935,0,0.00617595111261198,0.203254162940673,0,0.00125735100633918,0.00519513636217483,0.154227989612417,0,0.00921471710494691,0,0,0.0325011898655737,0,0.000941438460708399,0,0.00233925691434367,0.00154346146854129,0.00263252508073274,0.00371434810228284,0.00397639199144282
"Glut-DACH2-LMANco",0.0109156768030202,0,0,0.00720944613503198,0,0,0,0.1166384211174,0,0.371617820577117,0.00319727763963875,0.00261395134789858,0.000609248607793048,0,0,0,0,0.0175978649319484,0.0544537652626943,0.00044587634752471,0.0665017834589821
"Glut-DACH2-LMANsh",0.0527866870964291,0,0,0.0295223094101897,0.00386614616965385,0.0110295196626528,0,0.00113332800731112,0,0.000725157850479967,0.0907632424382333,0.000951830445494915,0.0153639359227618,0,0.165988059126512,0,0.162564688878166,0,0.0119789583727815,0.00296509018265019,0.00646193985405724
