"","Glut-SATB2-1","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-1","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-DACH2-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-4","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-CACNA1H-3"
"Ex_BCL6",0.021857730528481,0.141821525684781,0.00613966454774599,0.00138928591220526,0.185677116725641,0.0355877371035725,0.00108885484472338,0.00334860232336962,0.00977635387133016,0.000336645034134576,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00619640810017879,0,0.00349504137485093,0,0,0,0.335351924239893,0,0,0,0.124431069227285,0.00168774014970783,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0101016268967777,0.00178710036558881,0.226426351600023,0.000694190994147295,0,0.00234939724718639,0.135790401680363,0,0,0,0.043551461019247,0,0.000311891973277375,0,0,0,0
"Ex_CACNA1H_LHX9",0.000999710302066594,0.00450296444694974,0.25900262312995,0.000985140739939743,0.00298736441467756,0.026990568395487,0.043162048899923,0,0,0,0.133437231810123,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00391353129991562,0.00761583625061941,0.0893720980173403,0.00193869034412224,0.00698204236628634,0.0644573294805507,0.0358732753469197,0.0020604767755436,0,0.0390603697774262,0.0129022375724985,0,0.013505178188405,0.000339229728600366,0.00883189385946535,0.00038060453097189,0
"Ex_CACNA1H_PROX1",0,0.00271754633680373,0.128705963830424,0,0.00080598141122907,0.070767116577684,0.196540600179856,0,0,0.00202280080062967,0.000630026116791074,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0.000513606159078815,0.0079879578651591,0,0,0,0.0096314777929001,0,0.123199637138483,0,0.0124403327658079,0,0,0.240412191965269,0,0.00235954512396447,0,0
"Ex_DACH2_CEMIP",0,0.415009900150243,0,0,0.0674678243068113,0.00900242040048836,0,0.00484934316239686,0,0,0,0,0,0,0.0181971540935252,0,0
"Ex_DACH2_GRIK4",0.00221472126939119,0.00124477103414412,0.00320400540467724,0.00148417661628934,0,0.216441750591123,0,0.0672410438412436,0.000294222804652168,0.0693542416352471,0,0,0.0371479790044353,0,0,0,0
"Ex_DACH2_ITGA9",0.00263310995360804,0.0209951173765308,0,0,0.108568216921045,0.0858231064770516,0,0.069588689271138,0.000213745494452166,0.0108716021634205,0.00119657427669474,0,0.012268893314789,0.00155435247632297,0.0524168956962872,0,0
