"","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_ITGA9","Ex_Pre_SATB2","Ex_KIAA1217_BCL6","Ex_DACH2_SLIT2","Ex_TSHZ2_NR4A2","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_LUZP2","Ex_DACH2_MGAT4C","Ex_SATB2_FOXP2","Ex_SATB2_OVOA","Ex_DACH2_GRIK4","Ex_CACNA1H_MCTP2","Ex_DACH2_CEMIP","Ex_DACH2_TAC1","Ex_KIAA1217","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_CACNA1H_KIT","Ex_DACH2_RORB"
"Glut-CACNA1H-1",0.0074672447021884,0.798288238437679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.01074508905075,0.589343779671492,0.000501870497377175,0.000271697568105292,0.00179125152523303,0.00587109522583774,0.000725164759344207,0.00020536918912484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00843272046218423,0.725424925698108,0.00110031036046149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.620660500159535,0,0,0,0.186762215130836,0,0.00119003957772191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.812573978289529,0,0,0,0,0,0.000204140798078816,0.000337973092544408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0871211854189417,0,0.00159452848251725,0.000437799908969175,0,0.010283570134565,0,0.0441725898222579,0,0.0327235367800401,0.000394715787820222,0.000787394556417323,0.234731947079411,0.000253643574295628,0.000341536039853136,0.0864411402395106,0.000477809967492814,0,0,0,0,0,0,0
"Glut-DACH2-2",0.0136663815939172,0,0,0,0,0,0,0.221726245087853,0,0.0641424068233344,0,0.00685055378160891,0.106703377710511,0,0,0.0246536954397896,0,0,0,0,0,0,0,0
"Glut-DACH2-3",0.0123914630696114,0,0.00917470214818593,0,0,0.568981521214897,0,0.000458411357241709,0,0.000706380082479255,0.0758372356405721,0,0.00363965348481523,0,0,0.000909938242729487,0,0.0251409019625179,0.000604876098503448,0,0,0,0,0
"Glut-DACH2-4",0.0475225201173579,0,0.292875237778466,0,0.00725646165574055,0.0202403109374151,0,0,0.00850110784451963,0.0126805187016684,0.0127768531622326,0,0.00636566240846965,0.000990088008289479,0.00389186340044451,0.00347778981842033,0,0.0177725299123827,0,0,0,0,0,0
"Glut-DACH2-5",0.0124397111368035,0,0,0,0,0,0,0.196747156884516,0,0.271616539005389,0,0,0.0168010005104291,0,0,0.0240888868990448,0,0,0,0,0,0,0,0
"Glut-DACH2-6",0.00028379638707234,0,0.0129357990833914,0,0.000289298428038689,0,0,0,0.00152705381782163,0.00121657970817992,0.0473921448420132,0,0,0,0,0.000277953363497125,0,0.631084963208915,0,0,0,0,0,0
"Glut-DACH2-7",0.0496888670461748,0,0.000669903523043616,0,0,0.00203552166995933,0,0.0441764923111172,0.00154000313408314,0.14789287627111,0.00246383649183912,0,0.111089128875934,0.000600737282771904,0.000379850903399483,0.103673675347623,0,0.00305364864295959,0,0,0,0,0,0
"Glut-DACH2-8",0,0,0,0,0,0,0,0,0,0.000765762188752554,0.723989208177535,0,0,0.000796423456551502,0,0.000888262692396684,0,0.0312746187053504,0,0.00150482509653046,0,0,0,0
"Glut-DACH2-HVCra",0.00373152337424651,0,0.000306153878264025,0,0,0,0,0.0170652913854325,0.252155648542789,0.010162788448876,0.00141878574899962,0.000358956614571052,0.0281675994889218,0.00278763780123096,0.00854931768129774,0.0137246306721553,0,0.0146357607756739,0,0,0.00879006837742167,0.00617767684312192,0,0
"Glut-DACH2-HVCra-Pre",0.0145875955018825,0,0.00200226734961904,0.000560481106254687,0,0,0,0.176056039542668,0.00669006623205083,0.0109868728873285,0,0.00538065828902496,0.133973934671138,0.00852386121387724,0.000587769057692147,0.0449868215989294,0,0,0,0,0,0,0.00040281785044356,0
"Glut-DACH2-HVCx",0,0.0061667738740774,0.011426350651819,0,0.00191411228965513,0,0,0,0.0380864439579643,0,0,0,0,0.00304032532805447,0.00114412824493252,0.000493260776480363,0,0.387717016382161,0,0,0.000902608625053098,0,0,0
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0.135532727688297,0,0.191898776172395,0,0,0,0,0,0,0.184595251030576,0,0,0,0,0,0
"Glut-DACH2-LMANsh",0.00501704245695454,0,0.000261799661852382,0,0,0,0,0.327928188398179,0,0.104368164655579,0.0311448870358255,0,0.000738401687645811,0,0,0.0174274035047578,0,0.00104656494233681,0,0,0,0,0,0.000413722854145009
"Glut-SATB2-1",0.000717610585351895,0,0,0,0,0,0,0,0.349152841131705,0,0,0,0,0.216213997694059,0.0091970339239984,0.00142292448298643,0,0,0,0,0,0.114087173659437,0,0
