"","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-8","Glut-DACH2-2","Glut-SATB2-1","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-2","Glut-DACH2-HVCra","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco"
"Ex_BCL6",0.00106192504875487,0.00216222575570863,0.00224535835786488,0.00644821872323458,0.251315065902517,0.071329001696716,0.00431863757034418,0.00247244992639453,0.0076215167410125,0.0474618037569344,0.0317941153488531,0.00664992109932163,0.0334247949206101,0.164754273358361,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0124524951392923,0.0016122278095758,0,0,0,0,0,0,0,0,0.00876411237463849,0,0.814127739135503,0,0.00496843509973437,0,0,0,0
"Ex_CACNA1H_KIT",0.0146576571080271,0,0.00157394731651648,0,0,0,0.000665911552545174,0.00633587880453542,0,0.00204624976100387,0.0908586764580545,0,0.689875761822816,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.076497807049455,0,0.00399405042577941,0,0.00464549703802843,0,0,0.00409925175903541,0.00128846051145783,0.00439944179934791,0.513847135401695,0.00152531513429444,0.178198285787975,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.00444295301137618,0,0.00186079729803988,0,0.0354132754187658,0,0.0064940464803953,0.0654347786218724,0,0.0147113911969767,0.0732990716218764,0.0300688728398335,0.203549746357193,0,0,0.00253971090976933,0.0497420160525678,0.00718738725634512,0
"Ex_CACNA1H_PROX1",0,0,0,0,0.00723445887419758,0.00327573833690622,0.000571695332792084,0.0385413365163564,0,0,0.0553073426090027,0.00764840440264631,0.615907461065872,0,0,0.000471815231825279,0,0.00301861352048034,0.000676822631191374
"Ex_DACH2_ADAMTS5",0,0,0,0.00098682161554865,0.00254628189339983,0.0151716135467749,0.012980666483201,0.057884899884888,0,0,0,0.0209160027687841,0.00038860854146491,0.00091950759413281,0,0.213705971363337,0.00194540360503722,0.276768416903872,0
"Ex_DACH2_CEMIP",0.000475572093347324,0,0,0.00917841787078561,0.117201032403248,0.639266161219292,0.0344332191630339,0.000925045960572466,0,0.00593562656475073,0,0.00118896354141675,0.0010924685706931,0,0,0.00268076123101509,0,0,0.00182561154139072
"Ex_DACH2_GRIK4",0.000743214838211876,0,0.00632636140942403,0,0,0,0.000395526335482955,0.130202095005859,0.00442268925013438,0.00191182903876139,0.00665393078141491,0.269905794050837,0.00202299548271993,0.00210410812439583,0,0.153934602972162,0.0064814624605232,0.0258355775263307,0
"Ex_DACH2_ITGA9",0.00700821847248231,0.000535009303330611,0.00278739284733482,0.0888070537212158,0.102917358139169,0.0329751232666868,0.161784759687989,0.0241522339440596,0.000586743490524405,0.0015203475747663,0,0.0575027887074836,0.00248147567492478,0,0.000534808715094624,0.0568173159527405,0.0358959883656699,0.00073631196313978,0.00030023413308077
"Ex_DACH2_LHX2",0,0.000378826438578232,0.00128317592243706,0.000203674631537252,0.0101443051232305,0.000675074027097629,0.000371297906912033,0.342159157403191,0,0.00140046038051631,0.0012751598530758,0.172391350534225,0.00404099108838757,0,0.000597648339495486,0.00797944369521322,0.00282153516330794,0.041143715727256,0
"Ex_DACH2_LUZP2",0,0.000356292062154257,0.00670035048568362,0.000675933824425565,0.0164469570046933,0.000434687386972317,0.00033841352733452,0.305934747539261,0.000461566144300573,0,0.0373180378034397,0.247913340564392,0.00649083866560285,0,0,0.00132815740579618,0,0.0014128465682937,0
"Ex_DACH2_MGAT4C",0.000463865402054371,0,0.0182599875120196,0.000972188078187152,0.000704423128334754,0.00200568325929943,0,0.172322282099257,0,0,0.00206255392426049,0.283756941827646,0.00127035475486265,0.00392706697775338,0,0.108250174624859,0.000573521844636396,0.0436475165994127,0
"Ex_DACH2_NR4A3",0.00579728888245084,0.00147059796208574,0.000813265730919721,0.00135050593784755,0.00176237789325254,0.00195776032689163,0,0.010682208986307,0,0,0.00149029605993072,0.323372009261174,0.00116379839082109,0.00101774243819907,0.000786062178620898,0.179057383237772,0.0023368541448753,0.042423790610954,0
"Ex_DACH2_RORB",0,0.00205238478540945,0,0,0.587844840796219,0.00163865141176917,0.00684519804011657,0.000773487748223673,0.00696919307338169,0.00117411619129664,0,0.00140105736497831,0.00202980052209933,0.00185131325490934,0,0.00182396999262381,0.0198404435932708,0.00274892201799028,0.00871092844075712
"Ex_DACH2_SLIT2",0.000612642646061491,0,0.0007826404545201,0.0346320702244875,0.567866209189064,0.00674708625000069,0.00405720393929416,0.00600499871538559,0,0.000835281070104147,0.105820853808018,0.087833347137565,0,0.000939686390581834,0,0.000489918620381347,0,0.000600227101369669,0
"Ex_DACH2_TAC1",0.000613122690913914,0,0,0.0012361293739484,0.228260342259604,0,0.428090526414368,0.000816452590414632,0.00286058920414061,0,0.000515303330758836,0.00117694465336597,0,0.00139969264459269,0,0.0115936047023454,0.00347222526714245,0,0.00753506655605112
"Ex_DACH2_ZMAT4",0.000458841223222214,0,0,0.0269419981909404,0.272115826833223,0.0711338474060502,0.338585611672191,0,0.000548052130355179,0,0.00104877031566117,0.00066028034958692,0.000856543307827503,0,0,0.00942431386979724,0.00684428035945273,0.00139680237375254,0.00155247593228507
"Ex_KIAA1217",0.00098532551331737,0.00228221800620205,0.048587071333703,0.000898825769812376,0.00124979254052975,0,0.0397569843672755,0,0.0339124646339571,0.156204863397116,0.00136900195999467,0,0.0017103630531347,0.00697393307431825,0.145734447023167,0,0,0,0.0347301679721167
"Ex_KIAA1217_BCL6",0.0280287676143821,0.00594315948643297,0,0.0384271617612414,0,0.00117104766972153,0.0313175527502167,0,0.056555400676838,0.0698220460682493,0.025949308868623,0.00333559182467046,0.0323036200278374,0.160448447387517,0.0112102590760109,0,0,0,0.00151305635798403
"Ex_Pre_KCNH7",0,0.0179144839460776,0.00266539330291993,0.0037224138652359,0.00871500735591256,0.0551469646779587,0.00578533489517672,0.00460905109755153,0.0409996832636118,0.0706814368814979,0.0180349277013149,0.0664645451010336,0.0988703055091166,0.0528793174213199,0,0.000754280416771917,0.0270259485385831,0.00196358823092893,0.00549341951713993
"Ex_Pre_SATB2",0,0.0139488568888348,0.00326506663723146,0,0.000969163857865574,0.00573149418737082,0.00170247792339213,0.0232190931221124,0.265380043768276,0.00341066802804222,0.00859090868551022,0.0605029507481235,0.19080614270976,0.00394538638667018,0,0,0.00216856662727171,0.00108737588852116,0
"Ex_SATB2_FOXP2",0,0.000237572842153669,0.00211417516021565,0.00152852489007015,0,0,0.00300307653140192,0,0.890802855494805,0,0,0.000373956957602156,0.00248782519733209,0.00497377981434183,0,0.000414054495155601,0,0,0
"Ex_SATB2_OVOA",0.000466219028068657,0.0033991972843244,0.00205491010403463,0.0116905120406575,0.000491197236818307,0.000311980792064145,0.000929901419093779,0.0213815233757048,0.175051085222838,0.00195411600716184,0,0.123803985245738,0.0243780109753222,0.0418692301137078,0,0.105931586170337,0,0.0215846856400179,0.00025607461628276
"Ex_SATB2_SOX6",0,0,0,0.00765748320447988,0,0,0,0.000894284067619365,0.885096641768637,0.0010726159453716,0,0.00149230810280547,0.00222694169567782,0.022505463066048,0.000381665875364339,0,0,0,0.00341032105883362
"Ex_SATB2_ZNF385B",0,0,0,0.000471320946479227,0,0,0,0,0.958737113756859,0.0012214015651634,0,0.000304811103976128,0,0.00700881455859232,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.471325206935471,0,0,0,0.00860387732859906,0,0,0.00751888403697374,0.0122048919147424,0.00466679038739299,0,0,0.144982106305371,0,0.00821750977576123,0,0.00339274442144929,0,0
