"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANco","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-HVCra","Glut-CACNA1H-3"
"Ex_BCL6",0.00120947064722653,0.000387395321747301,0.0109299381769435,0.0167984832522991,0.369208674598363,0.00562315089464217,0.00927707428919376,0.00908950281750409,0.000510503886478888,0.000671996008967705,0.00287634304412418,0.0642970639033194,0.0263249690791621,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.00248487652670021,0,0,0,0,0,0,0.00277936131056658,0,0,0,0.799462606926655,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0146399585925135,0,0.000813998675985681,0,0,0.0257481199145812,0.000710058732771229,0.00169367562498467,0.000920187462619153,0,0,0.663602053751505,0.00117062816022741,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.116950285858286,0,0,0,0.00347148639855457,0.256020632855199,0,0.00073796592022616,0,0.00103234784147071,0,0.244362080638485,0.0165119942264682,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0149958912619949,0.00123643337969466,0.000430099234668409,0,0.134413056740215,0.0172595474916299,0.00899889131589058,0.00261963687581073,0.000663037599894663,0,0.00892854914863376,0.249491383338082,0.0532116451994903,0.00202505400416632,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.000522746381699823,0,0.00902745084209477,0.049962342862017,0,0.0070895077543264,0,0,0,0.501317655491167,0.0351408052443584,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.094480959169812,0,0.00615275613904821,0.0398701468078102,0,0.00366480100895332,0.0348974352109529,0.00102968236428946,0.000300221122371619,0.0588365774423331,0.00180562452955128,0.117314961675009,0.0166048426263061,0.000370435428193753,0.000345323536800052,0,0
"Ex_DACH2_CEMIP",0.0007175379666325,0.000305206937198744,0,0.153073065873953,0.290665412724661,0,0.0043550891667711,0.00244683520096006,0,0,0.000402686093771755,0.00141696083134946,0.0054007489401747,0.0997069070943352,0,0,0,0
"Ex_DACH2_GRIK4",0,0.0298033765892727,0,0,0.00225609270287408,0.00251664982757093,0,0.0274193137553396,0.010318882792739,0.000460670847790015,0.0340301920204239,0.00100510785475194,0.408265189145708,0.000317634370424268,0,0,0.00394333312338321,0
"Ex_DACH2_ITGA9",0.00200031051079512,0.00217587487327798,0.000359257450866357,0.0272266771354608,0.149016061776,0,0.0883580293569165,0.00994949828830435,0.001468874131842,0,0.0179096015916828,0.00110889261285998,0.0902291525231985,0.0540376278814848,0.000222519228924759,0,0,0
