"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANco","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-CACNA1H-RA","Glut-DACH2-HVCra","Glut-CACNA1H-3"
"Ex_DACH2_LHX2",0,0.0636805774565377,0,0,0.0365148487803479,0.000383238322854465,0,0.0161258650353055,0,0,0.00592267330363846,0.00386097895407236,0.374428478711863,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.00394081887690429,0,0,0.0399670770921072,0.03925667824531,0,0.0361746398548097,0.000945330084576254,0,0,0.0187904926294677,0.36073284732803,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.0459481869053951,0,0.0010629593188295,0.00541440978298463,0.000951452430820018,0.00510818844637786,0.0316294617531905,0.00164731538225365,0,0.0198013384360406,0,0.404656013314649,0.000280129294199751,0,0,0.000255870908704877,0
"Ex_DACH2_NR4A3",0,0.0211997370044401,0,0.000685557667222471,0.0140833329835487,0.00141260235113942,0.00747511221032583,0.0179446366668446,0.000627479584056029,0,0.0209769752411162,0.00109748919460357,0.463505462747506,0.00117767902711793,0.000309533473987033,0,0,0
"Ex_DACH2_RORB",0,0.00318783988741218,0,0,0.424310347196593,0,0,0.0191365586361989,0.00120214458750959,0,0.000283611050054294,0.000613575229723978,0.000916974543715333,0.0825196045318882,0,0,0,0
"Ex_DACH2_SLIT2",0,0,0,0.00158897379745353,0.58363280548878,0.0142856073948016,0.00339016836564685,0.00178761206002149,0,0,0.00194097863580339,0.00702119884872298,0.0825446923828879,0.000673929209829467,0,0,0,0
"Ex_DACH2_TAC1",0,0.000342040786195456,0,0.0260542789422177,0.288605495992147,0,0.0042272127732084,0.00101231344166457,0,0.000328214859725125,0.00253073055836321,0.000279957438701217,0.00230574756160164,0.193121847606466,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.00042330431848119,0,0.019748098580696,0.298285012768586,0,0.00829183484818551,0.00243041154949793,0,0,0.00212705334477538,0,0.00323348374328081,0.239079717067801,0.000395151880958989,0,0,0
"Ex_KIAA1217",0.0247813950687618,0,0.122376889125821,0.0268620408343551,0.0093908339688928,0.00658952817536604,0.0619090281914514,0.00158414271976975,0.0133051821282818,0.0043788047927613,0.00152667824642738,0.0444823162823159,0,0.0054112606666376,0,0,0.00021906383811416,0.00164793848868525
"Ex_KIAA1217_BCL6",0.0299008730806687,0,0.0794743382698859,0.0114419224535312,0.0025186930661564,0.0166854536858366,0.110539125999022,0.00247349314170991,0.00482654996135705,0.00571134277598867,0.00313019008142949,0.113340471842212,0.00209482492063975,0.00480688186038222,0,0,0.00139646601028607,0
"Ex_Pre_KCNH7",0,0.00302695017323235,0.000280043621755681,0.00776257815621307,0.0334312630251308,0.00316455135261104,0,0.131653552534033,0.00613444398026841,0.00111580651576622,0.00161603390639163,0.0613427657460014,0.0942449567326864,0.00299422778696065,0,0,0.000626815174672097,0.00799952678448902
"Ex_Pre_SATB2",0,0.00192484917636628,0,0.00491437834056435,0.0183178612660791,0.00633253980640638,0,0.0995755515039291,0.0155016307506082,0.00235297549094009,0.000586270476975992,0.137510575057956,0.0539275138923044,0.00561921702844502,0,0,0.00116198988812509,0.0088986743879428
"Ex_SATB2_FOXP2",0.00554679598742003,0.000982025074406704,0.004869767984347,0.0122170495894627,0.0029713401493249,0.000379165584499557,0.199976636755527,0.00784314114456649,0.0498845244003496,0.000602790714997999,0.00400545213065709,0.0145609351303708,0.00411536175348697,0.0374251947500465,0,0,0.00322590487780882,0.00159771154982313
"Ex_SATB2_OVOA",0.000518212639853821,0.028547165191652,0.00114937532192868,0.00295837829735195,0.0295693767460832,0.00122946834173117,0.0199725370806234,0.0223612828052462,0.00801587411136388,0.00053398585013442,0.0417586220918233,0.0246068508431379,0.191295115907061,0.00260654189803431,0.000617759778404113,0,0.000948150498436281,0.000250676783435399
"Ex_SATB2_SOX6",0,0.00132788359381621,0.00332357179915729,0.0247446438275673,0.00689657720741554,0.0026757083892726,0.134572405729014,0.00744622239532075,0.0848039650965916,0.000556517027831508,0.00694824343971728,0.0191652651424949,0.0137011111961235,0.024465378294963,0,0,0.00700453732545301,0.000555245270211079
"Ex_SATB2_ZNF385B",0.00379328300592325,0.000764029095316984,0.0262633693725945,0.0165176061520722,0.0200303264529691,0.00171342095241072,0.0840218295435269,0.00533717698510929,0.0585847247046639,0.00516095288035371,0.0035869366003824,0.0388285352335851,0.00394084903038278,0.0210992450698557,0,0,0.00421605653827268,0
"Ex_TSHZ2_NR4A2",0.455939322341958,0,0,0.00276449586575973,0.00287389545378503,0.00406028675932012,0.00378140567659356,0.0103135866712714,0.00413929930673557,0,0.00323846390395755,0.0594874589878901,0.00272890439933589,0,0,0,0,0.005106774583246
