"","Ex_DACH2_LHX2","Ex_CACNA1H_LHX9","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_DACH2_MGAT4C","Ex_DACH2_ITGA9","Ex_KIAA1217_BCL6","Ex_BCL6","Ex_KIAA1217","Ex_Pre_SATB2","Ex_CACNA1H_MCTP2","Ex_CACNA1H_CPA6","Ex_CACNA1H_KIT","Ex_SATB2_OVOA","Ex_CACNA1H_PROX1","Ex_DACH2_SLIT2","Ex_SATB2_FOXP2","Ex_DACH2_LUZP2","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_CEMIP","Ex_DACH2_RORB","Ex_SATB2_SOX6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000282233229071107,0.792646170311265,0.00501483236129014,0.0331671034353016,0.00222977893132851,0.000526255397296062,0.00283987012960205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.399634395791427,0.00710618117669174,0.0402814762814605,0.00124360561498506,0.000466333018958536,0.00357331332163819,0.000799567986408765,0.000377839551149055,0.0491012925303477,0.014315607186672,0.00215826422300928,0.0415587314827551,0.0037299331504893,0.0219791779115483,0.00125217136452366,0.000567380100521246,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.000790853652030391,0.669901979970428,0.0038500868381597,0.0628857346868981,0.0111292801701824,0.00215163688379908,0,0,0.00324340196102548,0.0038212479343625,0.00113729781021825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.655184636788714,0,0.00142391299988247,0,0,0,0,0,0,0.00169650027765534,0,0.00453867311805698,0,0.00154820470542596,0.147152510631887,0,0.00276531329754776,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0.53124563705835,0.0252631357381541,0.000402366293903796,0.000616393700616161,0.000275419359383323,0.00204533675082121,0,0.0379814002169656,0,0,0,0.000348364806451607,0,0,0,0.000302232820223201,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.0561753108837504,0,0,0.0958359249150183,0.222809806457432,0.0054746353990584,0,0.000381963501562457,0,0.00152956086351856,0.00140560704722788,0,0,0.013058104118741,0.000453966859000971,0.0155669952362268,0.00192544866204037,0.0212258752128245,0.110358166737117,0.0202389588540141,0.000703433837492192,0,0,0,0,0
"Glut-DACH2-2",0.218797335660191,0,0,0.0312516606651944,0.0891604923131142,0.00280685952581924,0,0,0.00139571019963656,0,0,0,0,0.000745275387172868,0,0,0,0.0581489340387588,0.0879013507278677,0.0488826866936659,0,0,0,0,0,0
"Glut-DACH2-3",0.000336636753306654,0,0,0.0115112297185064,0.00103920821429398,0.0241061904939111,0,0,0,0,0.00152569207677554,0,0,0,0,0.537968693605797,0,0,0,0.00105102694172253,0.087771611373089,0.00183196565184712,0.051001911353,0.000710684902974812,0,0
"Glut-DACH2-4",0,0,0,0.0471805983118218,0.0143528630461036,0.27901309193318,0.0272683387992584,0,0,0.00197123868645847,0,0,0,0.0133749758652365,0,0.0444971507009229,0.0152818496599149,0,0.00232283229631504,0.00216321634326669,0.0555735735749193,0,0.0129641863708161,0,0.00279071522739943,0
"Glut-DACH2-5",0.222690421403193,0,0,0.02713556568136,0.0297138741152508,0.00258104010863456,0,0,0.000853968349550273,0,0,0,0,0,0,0,0,0.00053178951094495,0.0696324852346635,0.247560158176518,0,0,0,0,0,0
"Glut-DACH2-6",0,0,0,0.00126412394386725,0,0.024309399921996,0.0022406737178455,0,0,0,0,0,0,0,0.000434223349108374,0,0.00265307085770063,0,0,0.00462137898266303,0.106761701218797,0,0.650609223666295,0,0.000631859021478565,0
"Glut-DACH2-7",0.0111982913592807,0,0,0.0811567478347184,0.125741167623778,0.00982075365219209,0.000451115463973106,0,0,0.000371032504247855,0,0,0,0.0160717196355805,0,0.00153480985039031,0.00164594030639979,0.000365199725837791,0.194618172665038,0.0904664880561187,0.00632390614737295,0.000409667889854617,0.00130871020541415,0,0.00194480356638043,0
"Glut-DACH2-8",0,0,0,0,0,0.0135096395589924,0,0,0.00366544678569387,0.000929454516945156,0,0,0,0,0.000741117425565961,0,0.0203922830512953,0,0.00376132190407884,0.00151432759624479,0.588369842212396,0,0.0900988588313029,0.00245958234905195,0,0
"Glut-DACH2-HVCra",0,0.00349161617288367,0,0.00327865727850552,0.00795007850815716,0.000168641005409461,0.0172678120391145,0.16940541813115,0.000646238032700993,0.000860532548160765,0,0,0,0.104409668213146,0,0,0.00633589630829646,0.004658607559172,0.0360064520608831,0,0.000259632503263465,0,0,0,0.0316572987571655,0.0950946056359766
"Glut-DACH2-HVCra-Pre",0.0503298012625039,0.000534826537982505,0,0.0182059094704307,0.097361922983412,0.00873244838681657,0.00178366217808126,0.0103466637761503,0.00265017602559968,0.00196816584910121,0,0,0.000793688556384179,0.0107305702597492,0,0.000436055613992429,0.0344421640884778,0.0877968568739944,0.162719800345939,0.00151603657498732,0.00112429753464293,0.0003000410866372,0,0,0.0017078626893059,0
"Glut-DACH2-HVCx",0,0,0,0,0.000689753669701535,0.0870500206335913,0.0496767009648831,0.0422188186310127,0.0755387091966895,0.00111153100777906,0.00122269224279105,0,0,0.00319351123948173,0,0.00106930699215168,0.00402816996458969,0,0,0.000978031467083592,0.00210998003284695,0,0.167870792835518,0,0.00397676734928762,0.00532578524489903
"Glut-DACH2-LMANco",0.00125553226575435,0,0,0,0,0.00909904312621565,0,0.00184356137130081,0.00558674065306116,0,0,0,0,0,0.000855786635511823,0,0.000516826370488904,0,0,0.00282513431275647,0.075466495585505,0,0.208685993522777,0.0155442875240616,0.25057698838592,0
"Glut-DACH2-LMANsh",0.184656684845594,0,0,0.00938137887570706,0.0100891384629932,0.086467908264896,0,0.00062336700152977,0,0.000855168347459165,0,0,0,0.000473988336080539,0,0,0,0,0.0778808623129234,0.0774009945567026,0.0205576522860477,0,0.000564865341238968,0.0295958165787664,0,0
"Glut-SATB2-1",0,0,0,0,0,0,0.00285862491651549,0,0,0.00542685359163317,0,0,0,0.0251030365660626,0,0,0.207668206406995,0,0,0,0,0,0,0,0.438690859702951,0.11657590385887
