"","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-1","Glut-DACH2-5","Glut-CACNA1H-RA","Glut-DACH2-3","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-LMANco","Glut-DACH2-8","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-LMANsh"
"Ex_DACH2_LHX2",0.000353768300008935,0.000272978921481685,0.169035633001971,0.0328137742127475,0,0.00844890183310319,0.00028429521236533,0.00141239527067037,0,0,0,0.000514708151171792,0,0.000461777198664114,0.373925128482135,0.002127339075189,0.0045373863207301,0
"Ex_DACH2_LUZP2",0.000345554639427825,0,0.333904262707459,0,0.000320531868697718,0.0147750523355137,0.000778088183702353,0.0497487855840825,0,0,0,0,0.00251289168722903,0.000850564835157951,0.157392953895045,0.00483058596344568,0.000417929333441935,0
"Ex_DACH2_MGAT4C",0.000407903804014262,0,0.321096311960327,0.05478140231726,0,0.00111596865501505,0.00257400915796836,0.00257228579970185,0,0,0.000958150816535821,0.00171297839206487,0.0130963511977324,0.000346223463448324,0.13530804202263,0,0.0671448543574658,0.000922769749528239
"Ex_DACH2_NR4A3",0.00209113373824391,0,0.342725889431656,0.0476930971759473,0,0,0.00131172781337643,0.00160974022313285,0,0.000426865566940457,0.00108278683959552,0.00209849530658985,0.000794886997537216,0,0.0159815540572996,0.000313823925398702,0.151023210534116,0.00100274202165003
"Ex_DACH2_RORB",0,0.00200229077853929,0.00183275115531532,0.00426447419355503,0.000770520148681268,0.608788178778879,0.00454847770734236,0,0.00104473141161584,0.00968721751082221,0.000255506031911899,0.00216046350790159,0.000381066094239184,0.000690394448223278,0.000324663431480078,0.00312352363201738,0.00080065591282724,0.00832812129822578
"Ex_DACH2_SLIT2",0,0,0.0776507614536674,0,0,0.594476964655626,0.000739796465128478,0.0919496570969247,0,0.00069258234592687,0.0148961312747772,0.00454017452623393,0,0,0.00804297791248053,0.000613662782652566,0,0
"Ex_DACH2_TAC1",0,0,0.00253343922925589,0,0.000291110350094722,0.216134135225582,0.00213207973543523,0,0.000465653194621194,0.388436818313973,0.00148324112233774,0.0132256430836234,0,0,0,0.000357677481189618,0.00853021213641119,0.0022027341371464
"Ex_DACH2_ZMAT4",0.000703215270006668,0,0.00241548847863417,0.00117915125461894,0,0.276887955370408,0.00057862540109238,0.000754479066911969,0,0.353495514636622,0.0167625541289621,0.0479938671602131,0,0,0,0,0.00762863400833495,0.00147907699421399
"Ex_KIAA1217",0,0.000945236602957554,0.000273217198323831,0,0.139920471792923,0,0.0536064572938235,0.000708286105912627,0.0203001349126486,0.0793911586204889,0.00224412037802764,0.000326435290845261,0.00565153914335575,0.0993421827453425,0,0.00126831294051328,0,0
"Ex_KIAA1217_BCL6",0.0109903430648245,0,0.0043557705744712,0,0.00351148511383246,0,0.258051020468502,0.00400207455577253,0,0.0201293106303394,0.0622546528927826,0.00709594624560011,0.00146972433811406,0.0499533462966914,0,0.051774635559359,0,0
"Ex_Pre_KCNH7",0.000228911651064136,0.0134049450226522,0.0702715066583276,0.00110228868268993,0.00234145057189397,0.0109990023328469,0.025504984699087,0.0137199969409133,0.00722347172361308,0.00381522707421934,0.000838485020305243,0.0546043537296029,0.00233110169415025,0.0815277002844672,0.00134529195589574,0.152664470098136,0,0.00105456901583805
"Ex_Pre_SATB2",0,0.0139982993051573,0.047572835236325,0,0,0.000471935742586446,0.0092910528778647,0.0111912015597155,0,0.00514102284926527,0.00186548056871794,0.00330634381710487,0.00208715728552808,0.00607143215213722,0.0264580407466199,0.374067007310756,0,0
"Ex_SATB2_FOXP2",0,0.00131771806263066,0.0014913037975805,0,0.00104486366185393,0,0.0687579281357487,0.000793782595255379,0.0461208289739401,0.0805023469985339,0.0606920194634541,0.0128587853899187,0.0935562798751472,0.0148681763326271,0,0.0283061566770735,0.00356162624599857,0
"Ex_SATB2_OVOA",0.000724990363602109,0.00611601081516673,0.192564044410663,0.0280718260183157,0.000277547807978406,0,0.0235362858070215,0,0.000490531935218246,0.00263992722411736,0.038085144004304,0.00129858452936948,0.00516186774284264,0.00189070484253816,0.0186819816788237,0.0234316049204912,0.116702362075146,0.000755010469583553
"Ex_SATB2_SOX6",0,0.00106234440806295,0.00598483878515444,0,0.00118573908579286,0.00049591532718321,0.173984305949415,0,0.179396948537356,0.00076238963296497,0.0392833259282982,0.0405642693201697,0.0197193265560428,0.011790593772825,0.00057798737483631,0.00764514263376759,0.000848549443683739,0
"Ex_SATB2_ZNF385B",0,0.000780488406645854,0.00252100437285518,0,0,0,0.794293668161161,0,0.00473082496203431,0.00450916801228067,0.00494332153983817,0.00312044310774094,0.00235120326845,0.00130475578520803,0,0.00753760731187117,0,0
"Ex_TSHZ2_NR4A2",0.461413063076957,0,0,0,0.00579844568882766,0.00826851032835733,0,0.00602793341810131,0,0,0.00319412493124022,0,0,0.00635270579728172,0.0116511933364519,0.112438726640028,0,0
