"","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-1","Glut-DACH2-5","Glut-CACNA1H-RA","Glut-DACH2-3","Glut-DACH2-HVCra","Glut-CACNA1H-4","Glut-DACH2-LMANco","Glut-DACH2-8","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-LMANsh"
"Ex_BCL6",0.000504835314762537,0.0013739682894182,0.00530759888035782,0.000654413232695187,0.00119968713265422,0.254645804178551,0.114321847035141,0.0386246672963279,0.00109689476530246,0.00155955691718477,0.00785682747164958,0.124913521401318,0.00457242425016086,0.0184149362012612,0.000691310106946689,0.0187931415760289,0.000438384768477742,0
"Ex_CACNA1H_CPA6",0.00207138708321226,0,0,0,0.00196582508724044,0,0,0.0147939134650528,0,0,0,0.00145504321993713,0,0,0,0.822182205250298,0,0
"Ex_CACNA1H_KIT",0.0117979527571903,0,0,0,0,0,0,0.0763219221541583,0,0,0,0,0,0.00141781398055885,0.00717863751765099,0.66710329972277,0,0
"Ex_CACNA1H_LHX9",0.0733457431736539,0,0.00102313430105573,0,0,0.00537021822688483,0,0.555776457469496,0,0,0,0,0.000747669527392115,0.00324853005000799,0.00347320101575417,0.155197569653098,0,0
"Ex_CACNA1H_MCTP2",0.00412313783305366,0,0.0183961461097167,0.00284854033663301,0,0.0443627400131702,0,0.0833626860834689,0,0.00528530075847424,0.00406343247408063,0,0.00322775333244978,0.00608918464703845,0.113327846378472,0.176725890026648,0.000665872938486138,0.0314673111174075
"Ex_CACNA1H_PROX1",0,0,0.0107594752027004,0,0,0.00458146928981861,0,0.145795730217541,0,0,0,0.00061009442176998,0,0,0.0590773238585368,0.492749454361515,0,0
"Ex_DACH2_ADAMTS5",0,0,0.0277410113950932,0.343438543917186,0,0.00262038661751955,0.000893548830641935,0,0,0.00847231894488767,0.000298153183474147,0.0141910682595555,0,0,0.0432279030576784,0,0.133822768669575,0
"Ex_DACH2_CEMIP",0,0,0.00383043165764869,0,0,0.115391674944895,0,0,0,0.0323096565901242,0.00358336369626265,0.617434190034263,0,0,0,0.000715548601364943,0.00111090507870509,0
"Ex_DACH2_GRIK4",0.000968494844596483,0,0.292579149449109,0.0210033719412331,0,0,0.000369697008326436,0.00694709004564813,0,0.000387242288511641,0,0.00161848875523213,0.000404400907250405,0.00237217050430153,0.143242748757061,0.00130008773860254,0.116997063784704,0
"Ex_DACH2_ITGA9",0.00521431480512205,0.000378043072752867,0.0697285548774487,0.00505782065706236,0,0.111165904779695,0.00236322967327577,0,0,0.168187697355569,0.0604866464474584,0.0287709142335935,0.000877114638526393,0.00431912799843371,0.0236453085363173,0.00287255197790296,0.0370134467251444,0.026037219286519
