"","Glut-CACNA1H-1","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-HVCra-Pre","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-3","Glut-CACNA1H-2","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-HVCra"
"Ex_BCL6",0.0025789539319942,0.0329674341188671,0.0424026821881392,0.000455646053528257,0.00523759892190859,0.00181085048006182,0.00303240919838159,0.0605387471214251,0.422766893499735,0.0102055229446213,0.000370423443033486,0.000499258678390994,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0212071633801336,0.00138900461395356,0,0.000697981311777799,0.000788557962531546,0,0.00136362791967576,0.777704867157981,0,0.0157076101795633,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0192269204354669,0.00229210963939704,0,0,0.000786124774143298,0,0,0.611124044343468,0,0.104071525492372,0.000873882836387603,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.108832114467347,0.0118293733936091,0,0,0.000609640212165479,0,0.00246137155336803,0.226454954233573,0.00741744015767854,0.325992524092532,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0393871596577792,0.0542347133818587,0,0.00210259394040067,0.00462226328133625,0.00759852958482034,0.00631530105501161,0.240391043885919,0.0992696033520773,0.0390668329164337,0.00353463036368268,0,0.0100780787033576,0,0,0,0
"Ex_CACNA1H_PROX1",0.00143754869902268,0.0298401938234044,0,0,0.00845068303317696,0,0,0.517610865976628,0.0238406782393936,0.0704627285354285,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.180539972633952,0.00797609049541644,0.000794176955432358,0.0776583198223222,0.00116398360240143,0,0,0.104640815230518,0,0.0147043019852706,0,0.0535498263752996,0.000280331131827266,0.000371593421851601,0.00139361190042536,0
"Ex_DACH2_CEMIP",0.000837491610389055,0.00371531263022336,0.138303209462692,0,0.000585672595446202,0.00199172979966879,0.000402898579249482,0,0.317477651701685,0,0.00156976483843892,0,0.146662037421622,0.00501689690217168,0,0,0
"Ex_DACH2_GRIK4",0,0.458435564648495,0,0.0166938680372632,0.0249741218021438,0,0.00035499956255603,0.00149714764813534,0.0043593795858099,0.00504269728609301,0.0216890604286306,0,0.00236680585099668,0,0,0.000349534779903213,0.00080348167183929
"Ex_DACH2_ITGA9",0.00795799494260788,0.0930801805838036,0.0155641394497274,0.00104235191050497,0.00427332439374402,0.0409790645863833,0.00149339243849223,0.000533235891000156,0.195790845868759,0,0.0189646871792312,0.000439986573927055,0.126427217994386,0,0,0,0
"Ex_DACH2_LHX2",0.00051529282173423,0.450484773233651,0.000300013547870328,0,0.0662289149501946,0,0.00201182469474239,0.00201526007666574,0.0318661542528746,0.00271972191484714,0.00217202916198447,0,0,0,0,0.000490624528371655,0
"Ex_DACH2_LUZP2",0,0.384150342612088,0,0.000391599711457567,0.0354010000677968,0,0.000749074730050004,0.0110429847893722,0.0422685194162569,0.0836271418668478,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.485197206775925,0.00106357196821494,0.00178905723718998,0.0295132223032145,0.00367376468534599,0,0,0.0108996512673417,0.00123000834744817,0.0168944393923798,0,0.0036309257910506,0,0,0.000508263501600004,0.000539279284084521
"Ex_DACH2_NR4A3",0.000826598016140599,0.584865076739786,0.00318658108043435,0.00078302637164425,0.0180577280960067,0.00187022127596359,0,0,0.0269891767109824,0.00159132968842155,0.00366203478876293,0,0.00569242734221298,0,0,0,0
"Ex_DACH2_RORB",0,0.00189324073290832,0,0,0.0120198070744902,0,0.000514906491680044,0,0.591487436705457,0,0,0,0.0361699010353471,0,0,0,0
"Ex_DACH2_SLIT2",0.00109202521836826,0.0899100076685839,0.00129496737160557,0,0.00229433230377892,0.00178958890576015,0.000563430156648175,0.00340673087033336,0.612555753767181,0.020084182797751,0.00110678058579663,0,0.00149765473845501,0,0,0,0
