"","Glut-CACNA1H-1","Glut-DACH2-1","Glut-DACH2-6","Glut-DACH2-HVCra-Pre","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-3","Glut-CACNA1H-2","Glut-DACH2-3","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-LMANco","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-HVCra"
"Ex_DACH2_TAC1",0,0.00381622806956777,0.0127507709679054,0,0.00122418949423194,0.00203145258786518,0,0,0.333765886113308,0,0.0010499977360852,0,0.272056234754636,0.000393623638565834,0,0,0
"Ex_DACH2_ZMAT4",0.000346690189746289,0.00409892210513562,0.0103409569221993,0,0.00024596954877676,0.00132279374385628,0,0,0.355658087986123,0,0.000806611226064448,0,0.314950851433595,0,0,0,0
"Ex_KIAA1217",0.217023851271086,0.000800612581172814,0.00714636843727589,0.000363462306968672,0.000739659166553833,0.00956170875690037,0.00549462526880873,0.0914011166064764,0.0451068971747232,0.0323956501379148,0.000495108190060982,0.000792499766177248,0.0478360735744012,0,0,0,0
"Ex_KIAA1217_BCL6",0.150611310101752,0.0031562040694285,0.0163423329486777,0,0,0.00829542749237325,0.00540102408685668,0.202830703765201,0.00820553057375674,0.0586587557273182,0.000916774954532196,0.00572665874950644,0.0356270381271626,0,0,0,0
"Ex_Pre_KCNH7",0,0.117543933998406,0.00297070668620861,0.000916944953220572,0.067730551607802,0,0.020431337648595,0.0293523041651842,0.115232825724169,0.0013336092979601,0.0201659808958955,0,0.00342782233617041,0,0,0,0
"Ex_Pre_SATB2",0.00521196422709101,0.085068695052756,0.00193343938109734,0.0031381633798799,0.0302509591054243,0,0.0337046014969272,0.0714675272316666,0.0866828381952273,0.00647134484754623,0.0335620010975691,0,0.00419043362534244,0,0,0,0
"Ex_SATB2_FOXP2",0.0811356382310309,0.0110359077537195,0.0132461586214634,0.0194629090869701,0.00554496044293368,0.0480941466455406,0.00763644188125261,0.0122098494056596,0.0134625979348565,0.000533866895277107,0.0120816809065692,0.00667391595286788,0.137364186289574,0.00134704264416097,0,0,0
"Ex_SATB2_OVOA",0.00231966114210166,0.25526446142981,0.00337765376163115,0.00915955012822933,0.0291719127224215,0.00839592780562362,0.00639890716178191,0.0237719414815177,0.0420298676068718,0.00501206622388739,0.0173402731172605,0.000283335031120415,0.0197104252940822,0.000573449299338582,0.000264528185021462,0.000360438716506102,0
"Ex_SATB2_SOX6",0.0161864163215454,0.0305110179086774,0.019133011110702,0.0133680993221152,0.0101935982346546,0.0652352013801726,0.00838817669285152,0.0158216304460417,0.0276285151384286,0.0091972238631218,0.0150934388867174,0.00351747322611404,0.116341515142161,0.00164317425231094,0,0,0.000993028174401152
"Ex_SATB2_ZNF385B",0.0370770027092132,0.0113743354285589,0.0400120141975738,0.00676002594544389,0.00509163350834613,0.0227136403393665,0.00385760450335152,0.0517114414427215,0.0751596828944875,0.00614112568150003,0.00401919049683858,0.000217389102532164,0.0798862962022147,0.00680854971233989,0,0,0.00123699273951898
"Ex_TSHZ2_NR4A2",0.511178516792986,0.00305162470963604,0,0,0,0,0.0184213788312334,0.07249485910474,0.00399179512063982,0.0152359375105982,0.00683652226716677,0,0.0028017413564086,0,0,0,0
