"","Ex_CACNA1H_LHX9","Ex_KIAA1217_BCL6","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_DACH2_NR4A3","Ex_CACNA1H_KIT","Ex_DACH2_ITGA9","Ex_BCL6","Ex_CACNA1H_PROX1","Ex_CACNA1H_CPA6","Ex_SATB2_FOXP2","Ex_DACH2_SLIT2","Ex_CACNA1H_MCTP2","Ex_DACH2_LHX2","Ex_KIAA1217","Ex_DACH2_CEMIP","Ex_DACH2_GRIK4","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_DACH2_MGAT4C","Ex_DACH2_RORB","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_SATB2_SOX6","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.772575392229365,0.000378135397155075,0.00670720298181648,0.00941239099009911,0.0398133751647562,0.000444070972735692,0.000519412309311478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.389682632224895,0.00184114814618788,0.0392758184083712,0.00630312447153176,0.0531825592778896,0.0708553487101129,0,0.000353488699489336,0.00668727352182413,0.00175051266845445,0.000985002397655034,0.00331024452430128,0.00215464714017093,0.000724052837507224,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.620730700624424,0.00072936065395239,0.0496966874077607,0.00652497430708733,0.0719815030384054,0.00147584102086602,0,0,0,0,0.00093190995268897,0,0.000620394858290031,0,0.00297257170762041,0.000802197570533322,0.00142105653497265,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.644951850668159,0,0.00188474692542042,0,0.00279453479971942,0.00261523232423682,0,0,0.00129310034255954,0,0,0.161379087260074,0.0015326728557145,0,0,0,0.000941355713973193,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.375500111956605,0.000621471662485116,0.00267314797714114,0.146661720062655,0,0.000252979964897253,0,0,0,0,0,0,0,0,0.0208750997917736,0,0,0.00038070027608457,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00044768319448582,0.0110501379403744,0,0.0958546505140546,0,0.00616926965129151,0,0,0,0.00084962078570829,0.010079505844405,0.00104171705881906,0.0396509395730047,0,0,0.0984358855241338,0.00963572514449674,0.0172105369653731,0.318574389080162,0.000514793368157574,0,0,0,0
"Glut-DACH2-2",0,0,0.000652934365008688,0,0.0274149345735874,0,0.000436587755144791,0,0,0,0,0,0,0.215733193739646,0.00525023500286355,0,0.0845962650217323,0.0496696421368587,0.0475432418204118,0.0928688481960283,0,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.00991703818019087,0,0.0133088334032038,0,0,0,0,0.586634365725777,0,0,0.000707736882311999,0.0379242790934583,0,0.000384957153384555,0.00110267107580305,0.00201274803667789,0,0.0812518040042614,0.00163606305368966,0,0
"Glut-DACH2-4",0,0.0162982830176124,0.0190133545973113,0,0.0495860472808398,0,0.265460121069985,0,0,0,0.00156495879250183,0.0319730135532003,0,0,0,0.0146539764272597,0.00330096918566945,0,0,0.0148117126692137,0,0.0624598587346463,0,0.0113980334559842,0
"Glut-DACH2-5",0,0,0.000977442120680767,0,0.0236468003573248,0,0.00033021819796005,0,0,0,0,0,0,0.264352836808892,0.00110883408771685,0,0.0475413279061131,0.000444824206030905,0.239161418144344,0.0287881154661353,0,0,0,0,0
