"","Glut-CACNA1H-1","Glut-DACH2-2","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-SATB2-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_DACH2_NR4A3",0.0208589265620407,0.011835248334009,0.00139353493198433,0.00136139506514449,0.172095628079912,0.00090009278717314,0.00150970485129211,0,0,0.00261887237235746,0,0.0377920905351029,0.274590834122457,0.000886412287064515,0.0075855344471325,0.00120007906635395,0,0.0010165253833853,0.00381689076490659
"Ex_DACH2_RORB",0,0.000596254426151049,0.00153235451489584,0.000572210790347212,0.00152043357748804,0.000376256611265823,0.000527498880378829,0.0651580557629906,0.00101327879918446,0.382445807849959,0.037717267033202,0.00127642711454559,0.00125281914893139,0.0011772751272879,0.00252026770591283,0.000751104574106661,0.00428743939781423,0,0.0464548600563414
"Ex_DACH2_SLIT2",0.00239514121008787,0.00571582300282886,0.00426366437459636,0.000682743821738082,0.00073607507433633,0.0459334631297858,0,0,0.0013356269531409,0.573458777936643,0.00294385404629212,0.00485151540840118,0.0728692909829008,0.000891963408131551,0,0.101426805283293,0,0,0
"Ex_DACH2_TAC1",0.0005255689694669,0.0013613576614283,0.0103797919628755,0.000401789446307904,0.00733987278416067,0.00115879179121408,0,0.0284852728058945,0.00227823749980545,0.26835974651882,0.37050889415706,0.000611634487470165,0,0.00151520507604286,0.00123425696176975,0.000741328220546,0.00155577702536514,0,0.00300989901748921
"Ex_DACH2_ZMAT4",0.00113928971423889,0,0.0803606056081442,0.000280786113050344,0.00916935481333117,0.032304126985723,0,0.00168403032410656,0,0.261545304373737,0.331596074344157,0.00158885622692993,0,0,0.000639705196874774,0.00067806988576274,0,0,0.00880310192437795
"Ex_KIAA1217",0.000679870525341034,0.00024917770652224,0,0.0647948533976469,0,0.000414139384119813,0.00691612425751144,0.046961575808084,0.125995554990542,0.00107306922632494,0.0294284226302203,0,0,0.00777368100840783,0.00150091322923216,0.00173520351698227,0.0148943409577827,0.206873607264678,0
"Ex_KIAA1217_BCL6",0.0752548789442216,0,0.00089689905641581,0.00279953805336154,0,0.0390674835210971,0,0.00363764483990171,0.0660955361497553,0,0.02555051163249,0,0.00330625797942412,0.168834593211775,0.0313376760650708,0.034037269779534,0.0377655322305531,0.00439010804929103,0
"Ex_Pre_KCNH7",0,0.00542703465057012,0.0387044093403462,0.00376268478422512,0.00166767680035688,0.00301027860127892,0.0175392406503339,0.00674542136047347,0.0689016445979156,0.00755629859662129,0.0147565398794779,0.00233164465505095,0.0647655523158198,0.0779550085061391,0.100674153150985,0.0163302581950254,0.0248563868958934,0,0.0237200820735419
"Ex_Pre_SATB2",0.000986998622802654,0.0219499656090115,0.00640043179495119,0.00378593059976267,0,0.000925780668248455,0.00991878736058345,0.00101960237051724,0.0031827674821205,0.000886247228601586,0.000933258516809902,0,0.0553332711918535,0.00424040390079221,0.219713793304921,0.0161643198780233,0.222026483760673,0.00295747335267303,0.00206937532513551
"Ex_SATB2_FOXP2",0.000314346116652609,0,0,0.00482750684619682,0.000302994520938534,0.000884004206769129,0.00207831260713282,0.000524307881961126,0.000443029957534825,0.000535695053151099,0.0013888852161618,0,0.000380669531820671,0.00601148585974274,0.00206514384397796,0,0.85322656879212,0,0
"Ex_SATB2_OVOA",0.00134789178197698,0.018122962637431,0.000308485580938101,0.00255061795551298,0.105949641997526,0.01351536810001,0.00316017897792145,0,0.00302717390438789,0.00308370142867929,0.000565146079120641,0.0294908390466919,0.116094630991902,0.0540052134323255,0.0344480107729215,0,0.152784272928743,0,0.000431207714688706
"Ex_SATB2_SOX6",0.00049726335254179,0.000778816890908404,0,0,0,0.00636115808781051,0.00062080467523894,0.00667962530802532,0.00143003192488803,0.00149212803094023,0,0,0.00101198386424386,0.0295339721648097,0.00633489895489709,0,0.859197720791544,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0,0,0.00355724923082375,0,0,0,0.000355381471821876,0.0229947475772115,0,0,0.852700849385792,0,0
"Ex_TSHZ2_NR4A2",0.453626669973902,0.0056181895450444,0,0.00400672157979939,0,0,0,0,0.00392209890755471,0.00901978808796697,0,0,0,0,0.168189795037161,0,0,0.0088783626308653,0.00385528645534928
