"","Glut-CACNA1H-1","Glut-DACH2-2","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-SATB2-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_BCL6",0.00114868225853401,0.00317188300476784,0.0503650111729466,0.00228886993250753,0.00217537153336517,0.0028360852161783,0.00293844939784667,0.000971562089813424,0.0606237048013295,0.236659441999504,0.00415678416583209,0.000521955563833886,0.00755432030362588,0.180329665988874,0.0587725201710729,0.0255723496602487,0.00886966868427589,0,0
"Ex_CACNA1H_CPA6",0.0293768952118081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775047163802765,0.00326997795727919,0,0.012781090841165,0
"Ex_CACNA1H_KIT",0.0111312132139781,0.00307586081047801,0,0.00479633924994237,0,0,0,0,0.00204535873516755,0,0,0,0,0,0.671091394357841,0.124970662670498,0,0,0
"Ex_CACNA1H_LHX9",0.0762792621825321,0.00274715002755569,0,0.0076589957422699,0,0,0,0,0.00307581348216155,0.00442102834987894,0,0,0.0023401288942082,0,0.175365451136724,0.505905875160297,0,0.00384856838666504,0
"Ex_CACNA1H_MCTP2",0.00559640487337285,0.0624740188400042,0,0.0100768991835661,0.00832706705165056,0.00102426535807597,0,0,0.0165417869353874,0.0210471065549329,0.00748373002223319,0.00430253543825768,0.0215691505248003,0,0.240111629357187,0.0890414970404552,0,0,0.0546915158732796
"Ex_CACNA1H_PROX1",0,0.0310284508449229,0.000487378901258421,0.00283844118112118,0.000330563141786861,0,0,0.0153799169767277,0,0.00598060865184203,0.00120669992254658,0.00479800833883097,0.00794968552810482,0,0.579168241392478,0.0532219768137911,0,0,0.00492103089640962
"Ex_DACH2_ADAMTS5",0.000914981373641323,0.0819803034977428,0.0151021757693215,0,0.205113546915072,0.00110907902340754,0,0.00178304435424346,0.000460775436258191,0.00365332439487036,0.0116559384324772,0.25631634602162,0.01445804587145,0.00143106019299511,0,0,0,0,0.00739230234664186
"Ex_DACH2_CEMIP",0.00130351994207162,0.00104413210464088,0.629060802858438,0,0.00197260277091214,0.00997152667656068,0,0.00366477123993194,0.00746645737361569,0.113988905777867,0.0333811391804325,0,0.00127212622996752,0,0.00163734421566223,0,0,0.000428364972473185,0
"Ex_DACH2_GRIK4",0.00129263993557476,0.126162428846657,0,0.0134015310245908,0.176448804576271,0,0,0.000499562597370931,0.00134799397819032,0,0,0.0234619653947479,0.241574060929289,0.00277988620693156,0.00308908960721096,0.00642806210318315,0.00408807915441522,0,0.00866689648724482
"Ex_DACH2_ITGA9",0.0164769414000072,0.026944715120983,0.0252468310523207,0.00540719989074434,0.0619160588263022,0.0967869022291007,0.00157600493582648,0.00027111699115927,0.00568861078578734,0.103411256343605,0.155004952628537,0.00100241657125537,0.0512346535831058,0,0.00322619026719022,0.000459415148335439,0.000456635317004031,0.00104615112322711,0.0333587553664491
"Ex_DACH2_LHX2",0.0012203469941662,0.307328541609928,0.00101770511672333,0.00276755781600571,0.0130218655275403,0.000383411444989722,0,0,0.00139108247448083,0.011419453719454,0,0.0646627768428017,0.168110118299119,0.000564379619318966,0.00825452070710917,0.00351114339666399,0,0,0.00860962111578308
"Ex_DACH2_LUZP2",0,0.26541653139019,0.000412194173927853,0.0483791892942299,0.00132650657583559,0.000865858950144925,0.000336228822659325,0.000296989213269966,0.00106869689801532,0.015019127464809,0.000619506298433525,0.000856874773803726,0.23380229416764,0,0.00792859862554149,0.0342244533883698,0.000460153751298337,0,0
"Ex_DACH2_MGAT4C",0.000882195347175084,0.18660234978547,0.00171459998596939,0.02118041930908,0.12003762600282,0.00165554413768347,0,0,0,0.000941899236713493,0,0.0403066512103214,0.256238647550518,0.00464036465766662,0.000439723613855479,0.00224377517045881,0,0,0.000554098317316221
