"","Ex_KIAA1217","Ex_CACNA1H_KIT","Ex_Pre_KCNH7","Ex_TSHZ2_NR4A2","Ex_SATB2_OVOA","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_KIAA1217_BCL6","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_SATB2_SOX6","Ex_CACNA1H_CPA6","Ex_DACH2_ITGA9","Ex_CACNA1H_MCTP2","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_DACH2_LUZP2","Ex_DACH2_ZMAT4","Ex_DACH2_TAC1","Ex_DACH2_LHX2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_DACH2_GRIK4","Ex_BCL6","Ex_DACH2_CEMIP","Ex_DACH2_RORB","Ex_SATB2_ZNF385B"
"Glut-CACNA1H-1",0.000634223136107264,0.000746421870069612,0.00203830706053042,0.0134602337333664,0.00256413019028365,0.76533715375375,0.0389169348184928,0.000768094442835199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0,0.0565186002834559,0.00549114036863309,0.0120829790291833,0.0132345666328979,0.33763437232157,0.0471766322453842,0.00238971325510375,0.00156034547124438,0.0140519810242167,0.000388162893600367,0.0015198397973282,0.000364242848102777,0.00311319033656706,0.00164140851009234,0.0580788624476355,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00371376477340103,0.00583923664144525,0.0158762009170989,0.00470396652067662,0.0252699513860871,0.599087358495364,0.0685545288580355,0.000577315858879512,0,0,0,0,0.00172657197255649,0,0.0011875961496315,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.00810957428403107,0,0.00194873692765261,0.00138278173153343,0.648643794600768,0.00380434052897726,0,0.146910586935633,0,0,0,0,0.00145388490860393,0,0,0.000957682952079554,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.0479867514016893,0.000304394422394365,0,0.123606878985998,0.00248058913741309,0.380676424474282,0,0.000563751574630315,0,0,0,0,0,0,0.000502866983107451,0,0.000396494136701835,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0.000494142554058947,0,0.000756765587025557,0,0.00864778760749783,0,0.107472078038544,0,0.0118151908078419,0,0.00398932545101538,0,0.00916435879540623,0.00211461557963115,0.000384634883322009,0.00100170162975717,0.0137186479835154,0.000737331692176098,0.000348008488302076,0.0390315715422869,0.321760498826084,0.0207160967723265,0.0863257728129164,0,0,0,0
"Glut-DACH2-2",0,0,0,0,0.000531445071002283,0,0.0316126337572773,0,0,0,0,0,0.00586563036975503,0,0,0.000301308954809145,0.0580078328931387,0,0,0.212291222191859,0.124586443456439,0.0318307783720058,0.0669339128331174,0,0,0,0
"Glut-DACH2-3",0,0,0,0,0.000363394676539856,0,0.0104884933754522,0,0.555474773748793,0,0,0,0.0118669805522855,0.0026002240010589,0.000951351237105235,0,0,0.0798490793715073,0.00104305654986724,0,0.00157196652110301,0.000825723685394324,0.00113762020863369,0.000920815973306493,0.0420826931039685,0,0
"Glut-DACH2-4",0,0,0.00372972751270514,0,0.0262802552202243,0,0.0517211172258548,0.00353288744640285,0.0117413538539147,0,0.0615651950038272,0,0.252699374732354,0.00134105094867817,0.0105952724774938,0.00142036829748014,0,0.0401710725728453,0,0.000738024139529343,0.0111975514235681,0.00388107218520287,0.00129949931157211,0,0.0124035672158304,0,0
"Glut-DACH2-5",0.00100255161823369,0,0.000494863917753726,0,0.000878339250439547,0,0.0208153906768014,0,0,0,0,0,0.00793254465808344,0,0,0,0.000724526961586945,0,0,0.221305953933403,0.0428390091077908,0.232439284373507,0.0531922047426274,0,0,0,0
