"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_BCL6",0.00433054027926848,0.00115691454277114,0.419732098214302,0.000969399247466833,0.00497161194370732,0.0582081366115985,0.0398309746103898,0.0143507333404499,0.00640340003242847,0.0421456477581919,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0275541440612659,0,0,0,0,0.785959306476367,0.00351140781879601,0.011183473574406,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0198233461223684,0.000696653932353677,0,0,0,0.604956079517876,0.0033547532136833,0.109386367163455,0,0,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.107334242513656,0,0.00565790793781974,0,0,0.242068537345015,0.0128518521307467,0.332717376128229,0,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0330693193775203,0.00901293118222158,0.0532447304394835,0.00289961049113229,0.0211119816325848,0.23511365627827,0.096299722478289,0.0533858257973398,0.0148068353168387,0,0.000499528617346875,0,0,0,0,0
"Ex_CACNA1H_PROX1",0,0,0.0283474922287201,0.00104105956679088,0,0.518860207558501,0.0295672323153723,0.0805593979445274,0,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0360734436675516,0.0704512920187357,0.0776832255412147,0.0634224940043742,0,0.156438771132141,0,0.00303692237302684,0.00985172423861082,0,0.000563591354060645,0.00723176805716018,0,0,0
"Ex_DACH2_CEMIP",0.000949887341095811,0.000525394677668743,0.300230606711108,0.000445917919036821,0.164455452292624,0,0.00625586069028188,0,0.00290377944667402,0.142448805493924,0,0,0,0.00417436553924446,0,0
"Ex_DACH2_GRIK4",0,0.0444616740611548,0.0023912512326181,0.0362630551512724,0.00345708211024311,0.00099671924633192,0.423953667949296,0.00586613233071259,0,0,0.00453195213273096,0,0.00338077501409618,0,0.00511356990887775,0
"Ex_DACH2_ITGA9",0.00408551424245226,0.0186201873235009,0.159433463323676,0.00228855932069653,0.161076329367053,0.000902654033408372,0.0989289713066123,0,0.0625609155789755,0.0179044524795864,0,0,0,0,0,0.000427550128430752
"Ex_DACH2_LHX2",0,0.00945692015974951,0.0229999928943738,0.070024721461009,0,0.00219438026326788,0.428675662811614,0.00238998155385856,0,0,0,0,0.00273655087526625,0,0,0
"Ex_DACH2_LUZP2",0,0.000443754588308891,0.0363517112330701,0.00873243243910073,0,0.0111293458488025,0.42620498673347,0.0824360646022248,0,0,0,0,0.000375081949589526,0,0,0
"Ex_DACH2_MGAT4C",0,0.0414530591045239,0.00630643909473247,0.0262391314875849,0.00682657626820708,0,0.443360011340259,0.000933428964916644,0.00379250730283921,0.000321497477266515,0,0,0.00359093165280681,0,0.00123968598757058,0
"Ex_DACH2_NR4A3",0.000822068648034419,0.00978522651976238,0.015891664012552,0.0174378468293544,0.00656018488068788,0,0.582630871607195,0.00153637624014338,0.00542789915344196,0.00323851735246457,0,0,0.00046966964635992,0,0,0
"Ex_DACH2_RORB",0,0,0.595270082700681,0.00318311832902034,0.0621426234814468,0,0.00303025903602212,0,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.0011243059610042,0.000601586595734844,0.590476228706497,0.000570427416389976,0.00762947314424661,0.00453397347420385,0.110241057811248,0.0200107482976677,0.00725468263082428,0.00121414146369459,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00105292161783296,0.292374351662777,0,0.319402881717051,0,0.00424988165823558,0,0.00294298433055076,0.0115776024047785,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000408337396125913,0,0.325488243781961,0,0.346383630854343,0,0.00452557843791196,0,0.0053982208548965,0.00891783713326629,0,0,0,0,0,0
"Ex_KIAA1217",0.183019159929635,0.00163923878452461,0.0425285615768327,0.000940465288912367,0.0458307581678657,0.0949512930402741,0.00185932266296945,0.031378532194919,0.0288255092414634,0.0196668717702084,0.000217180563965219,0,0,0,0,0.000574041077090326
"Ex_KIAA1217_BCL6",0.11706511981275,0.00140754364459533,0.00483613710550193,0,0.0307378035221101,0.195030872903159,0.00726741546585515,0.0609810851522169,0.0518669401116422,0.0348653190184681,0,0,0,0,0,0.0016246416694685
"Ex_Pre_KCNH7",0.00551910263383181,0.0189679282916999,0.0997316576235256,0.01644705080915,0.03210202194135,0.022932702351347,0.170354330664412,0.00229563360607344,0,0.00251300734990781,0.000681839164694543,0,0,0,0.000288246964129881,0
