"","Ex_CACNA1H_KIT","Ex_DACH2_NR4A3","Ex_Pre_KCNH7","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_TSHZ2_NR4A2","Ex_KIAA1217_BCL6","Ex_CACNA1H_MCTP2","Ex_DACH2_RORB","Ex_DACH2_ITGA9","Ex_CACNA1H_LHX9","Ex_BCL6","Ex_DACH2_LHX2","Ex_Pre_SATB2","Ex_CACNA1H_CPA6","Ex_DACH2_SLIT2","Ex_CACNA1H_PROX1","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_DACH2_LUZP2","Ex_DACH2_GRIK4","Ex_DACH2_ZMAT4","Ex_DACH2_MGAT4C","Ex_SATB2_ZNF385B","Ex_KIAA1217","Ex_DACH2_CEMIP","Ex_DACH2_TAC1"
"Glut-CACNA1H-1",0.000810378125474859,0.00441767207173962,0.000286161989802603,0.00084394523736662,0.00111239677962478,0.0879522688307481,0.000909165974843189,0.000427861685505741,0.000367692294819986,0.0010852112498018,0.64048903625822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.09202895932753,0.0109568596842624,0.0111761336500013,0.000351206839673026,0.00891033369108794,0.111819813769198,0.000368471454946848,0.0119034174355609,0.000246235094548857,0,0.304404093000293,0.00327229965173082,0.000836734209186428,0.00148425056922912,0.00198926299636177,0.000496181856489839,0.0126020790460422,0.00205030845589439,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.00521742562735385,0.00708997673498824,0.0125507005865335,0.0158691595305892,0.00408212347811852,0.171367478129978,0,0,0.00183630443443294,0.000506743395138113,0.391770997946881,0,0,0.000739946725570932,0,0,0,0.0031440592858454,0.000438510012111121,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0,0.00163516588873482,0,0,0,0.00282376640346051,0,0.00505442452820163,0,0.00144043871807793,0.612946083255799,0,0,0,0,0.066621742842923,0.00263678935637284,0.00262032835702682,0.000942469119643162,0.00231386946314416,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0,0,0.00229919644354094,0,0.0010104333697337,0.397324108323781,0,0,0,0,0.243197957526079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.112610885203408,0.00305549012016061,0.0189474445431532,0.0112966890162648,0,0,0.00218387893997124,0.000272580171652631,0.0111593104681478,0,0,0.0115746276598757,0.000490356373904446,0,0.00394969602725455,0.000461726139737502,0.00474352053692046,0,0.0111994306654348,0.13797734858523,0.000958851554936063,0.23896449107309,0.000397337569397763,0,0,0
"Glut-DACH2-2",0,0.0761104798062845,0.000915080280389434,0.0246876223809005,0.0126215129586516,0,0,0,0.000937972304198036,0.00217085268686577,0,0,0.0369202089876685,0,0,0,0,0.00433956218512977,0.00023840201104563,0.0403481433017439,0.0375241936982504,0,0.189653399740347,0.00090745385643014,0.000791484182696663,0,0
"Glut-DACH2-3",0,0.0143977658499207,0.00108922174893114,0,0.000512944855024311,0,0,0.00703237547723981,0.00108530687329793,0.00812812334502291,0,0,0.004743233432588,0,0,0.533304199548578,0.000942744736447542,0.000260667229500725,0,0.000527911072258988,0.0014039654416984,0.105869849796977,0,0,0,0.0417947401534143,0
"Glut-DACH2-4",0,0.0338756594440605,0,0,0.00112711522139655,0,0.025325068152572,0,0,0.174393998914017,0.00131327518067715,0.00226019220074883,0,0,0,0.0624296687512802,0,0.0541581995449741,0.0192316819955476,0,0.00366645738646971,0.0953868312744471,0,0,0.00235016246489766,0,0
"Glut-DACH2-5",0,0.0358125454188553,0.000746563202405095,0.184523111736312,0.00309102647111657,0,0,0,0.000838859693394466,0.000384101848902525,0,0,0.0751156377625701,0,0,0,0,0.000917788268183607,0.000196579490943757,0.00104578332573422,0.0188150035621944,0,0.136595502586426,0,0,0,0
