"","Ex_CACNA1H_LHX9","Ex_DACH2_SLIT2","Ex_DACH2_NR4A3","Ex_DACH2_ITGA9","Ex_DACH2_GRIK4","Ex_TSHZ2_NR4A2","Ex_DACH2_MGAT4C","Ex_DACH2_ADAMTS5","Ex_SATB2_OVOA","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_CEMIP","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_KIAA1217_BCL6","Ex_KIAA1217"
"Glut-CACNA1H-1",0.814839825721825,0.000320143454650842,0.00120637229145941,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.699039559374314,0.00119635880355205,0.00129940312710617,0.000423135241633114,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.713146302247346,0,0.00357768224042203,0.000561317643755617,0.00134530096810569,0.00091248373900603,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.736113986424868,0.0368095792036603,0,0,0,0,0.00113666720787983,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.851512570672806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.00439609844876584,0.173769708091288,0.00553507374638788,0.115678750548195,0,0.164062876657279,0.000259652438479037,0.000420233172910091,0.00235681983513407,0,0,0,0,0,0
"Glut-DACH2-2",0,0.000370336525954452,0.232405798955555,0,0.0289320414881581,0,0.0988945821399577,0.000288930780198306,0,0,0.00337874492011035,0,0,0,0,0
"Glut-DACH2-3",0,0.592951579547002,0.0085728135247335,0.00444662124361723,0.0016337761713109,0,0,0,0,0.085853527709649,0,0.000481420387796697,0,0,0,0
"Glut-DACH2-4",0,0.0678289689312124,0.0439541257491982,0.127487921481295,0.0129694630976205,0,0.000803501959171367,0,0,0.077057705897501,0,0,0.0261990283246291,0.00463381320933273,0.0101929417499959,0
"Glut-DACH2-5",0,0,0.200080708832673,0,0.0220438188079668,0,0.086899070090045,0.00141519207902286,0,0,0.00528512289542413,0,0,0,0,0
"Glut-DACH2-6",0,0.00555845830352548,0.00154130231167761,0.00265093816302871,0.000789520024974328,0,0,0,0,0.265277001660585,0,0.29082919051541,0,0.000328422623750831,0.00035318901687258,0
"Glut-DACH2-7",0,0.000358281155175391,0.122236949139039,0.0010817226950272,0.0829340677851597,0,0.146534317348537,0,0,0.0237523157060509,0,0.000429998470894841,0,0,0,0
"Glut-DACH2-8",0,0.000585669743054081,0.000477570032912019,0,0,0,0,0,0,0.634610600765884,0,0.0103422313561223,0,0,0,0
"Glut-DACH2-HVCra",0,0.00131390872624771,0.0155097500561569,0.00266915920953517,0.071296245442146,0,0.211753761725817,0,0,0.00525468016287983,0,0,0.00644344695105604,0.00217753138254801,0.00231866163114006,0.000869015419857354
"Glut-DACH2-HVCra-Int",0,0.00046169534039058,0.0801428434975659,0.00426807760427307,0.0946887914966954,0,0.192404067355382,0,0,0.00108183361131272,0,0,0.000318957474551938,0,0,0
"Glut-DACH2-HVCx",0,0.000891844146955911,0.00066781135581231,0.0197124165996811,0.0032176765528526,0,0.000758097827369284,0,0,0.0142265588563497,0,0.0102161926301259,0.0346974581375733,0.0113209067716433,0.142158624113133,0.0290174126986972
"Glut-DACH2-LMANco",0,0,0,0,0,0,0,0,0,0.413659169018631,0,0.123471714360784,0,0,0,0.00273525868905736
"Glut-DACH2-LMANsh",0,0,0.169833811660614,0.00025084076862088,0.0217411948478809,0,0.0255109460484973,0.0109243466268068,0,0.0616154849286346,0.00473893321710983,0,0,0,0,0
