"","Glut-CACNA1H-1","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-3"
"Ex_DACH2_MGAT4C",0,0.00150026420756317,0.0538989364119047,0.00672120350408978,0,0.00613658005696814,0.00103857325230785,0.000453517221563107,0.00387000431892481,0.432133329145698,0.0432595971835455,0,0.00877309262459106,0,0,0.000950669858935222,0
"Ex_DACH2_NR4A3",0.00117862291944531,0.00166911287806147,0.0153836074975441,0.0061408426720982,0,0.0132838491379496,0.00386622040558542,0,0.00610413804677656,0.583667065655776,0.0269092358106599,0,0.00192480004168677,0.000246615673304034,0,0,0
"Ex_DACH2_RORB",0,0,0.000886689435107516,0,0.000551786338963572,0.607663300982509,0.000493641181142397,0,0.0788084563944996,0.0016697809432911,0.000958358073944858,0,0,0,0.00143253803246454,0,0
"Ex_DACH2_SLIT2",0.000730606860429681,0.0227640599300706,0.00161010490308946,0.0103935255094565,0.00522596985984688,0.602707849210188,0.00283245646320097,0,0.00848192875465647,0.105097254512096,0.000793982719126264,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.00263868434536677,0.00435969978276102,0,0.292075130565398,0.0303563320570338,0,0.324760277137789,0.00113714853547532,0,0,0,0,0.00140192783969965,0,0
"Ex_DACH2_ZMAT4",0,0,0.000871305210787227,0.0062892656776615,0,0.328189851218678,0.0206661947355701,0,0.349939899254638,0.00406423537910364,0,0,0,0.000291324456247436,0.00293613208958993,0,0
"Ex_KIAA1217",0.149537938792225,0.0227925851858402,0.00529754944565409,0.0365863898312168,0.128384628744119,0.0318898261792057,0.0193838811298711,0.0184679209751068,0.0527477952236064,0.00133842681283429,0,0.000295251374429684,0.000273777254371363,0,0.000708748977144677,0,0.000347698578997759
"Ex_KIAA1217_BCL6",0.0881115918375263,0.0367925983376111,0.0037454345425514,0.0626047191520546,0.281252804368147,0.00320054295531817,0.0330126934045678,0.00942628530587575,0.0246383884050632,0.00643933627723077,0,0,0,0,0,0,0
"Ex_Pre_KCNH7",0.00267794663882947,0.00358217462140703,0.0745697640380199,0,0.0290256196308018,0.0744153913670132,0.00586741659781795,0,0.0404004110615579,0.134862862661924,0.024732167421299,0.00190663178819333,0,0,0,0.000336375909351767,0.000335825324733322
"Ex_Pre_SATB2",0.0144422473816227,0.00827530427469831,0.087916346985099,0,0.0866498778618436,0.0500139649377551,0.00429475305315084,0,0.035225258381597,0.0932611448596212,0.0137351036666535,0.00387727765386469,0,0,0,0.00183852676666718,0
"Ex_SATB2_FOXP2",0.0311453870821081,0.00125737235972341,0.0244670739954171,0.117454859790078,0.0166810368081571,0.00304391741371523,0.0345294598482254,0.019158269189092,0.120542046658717,0.00977509585646335,0.00218879916182667,0.00973027156725508,0,0.000300717494080377,0.00263382561567884,0.00556533468169805,0
"Ex_SATB2_OVOA",0.00173884707589696,0.00600165349213732,0.0586354175080036,0.0149800978833667,0.0238390453009455,0.0268091789342206,0.00639385634867043,0.00112372895620116,0.0224859037584268,0.235577317295656,0.0444921704101936,0.00334855954834276,0.00248653206980392,0.000344951770375506,0.000467463539916063,0.00150722193005197,0
"Ex_SATB2_SOX6",0.00815316679019412,0.00865867321663256,0.0223680163856616,0.0938440433472411,0.0213277149579494,0.0111413779862039,0.0504512765025111,0.0106569423800187,0.111706337430518,0.0369148597582645,0.00368723638211264,0.00533452755393681,0.000476543548241698,0.00187063673843506,0.00192569028129257,0.00686382607488781,0
"Ex_SATB2_ZNF385B",0.0181787674030332,0.00694854422971176,0.0101242759404244,0.047946751476057,0.0436671960130539,0.0531724566949674,0.10630176205459,0.00402829133547678,0.0613497189772891,0.0157762184312311,0.00616719952856277,0.00645187279671328,0,0,0.00282812179157967,0.00252850376030027,0
"Ex_TSHZ2_NR4A2",0.48215183424386,0.0117384563138444,0.00881037738503105,0,0.127623476929733,0.00575265957796816,0,0,0.0109513162918389,0.00702011706610196,0,0,0,0,0,0,0.00375310073707208
