"","Glut-CACNA1H-1","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-8","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-3"
"Ex_BCL6",0.0040484898182923,0.0143390516666146,0.00537432437669839,0.00809809853405823,0.06236567190767,0.402289882900967,0.0698853688267126,0.0005124222039491,0.0063815761226634,0.0348559847410558,0.00236359619004666,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0275020647784442,0.0163803129931237,0.00509436447782301,0,0.821431129479072,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0244835282090222,0.0930055655644757,0.00273211346781581,0,0.669616898312072,0,0,0,0,0,0.000665006390094044,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.0994412735845172,0.356951127673919,0,0,0.258574925340312,0.00469651589774482,0,0,0,0.0118010825337803,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0267547199417289,0.0490310184606638,0.0121628030974058,0.0140157992857615,0.276940060299086,0.0663818943343941,0.00116419158583322,0,0.0121532536802115,0.0903011535558137,0.0056753235348959,0.000686271037206925,0.000470640303994635,0,0,0,0
"Ex_CACNA1H_PROX1",0,0.0943045054957191,0.00098423383253643,0,0.549799470848897,0.0235554698865972,0.000417953716635932,0,0,0.0239405530810669,0.00652194446229975,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0,0.0608427202239482,0.00391437409820414,0,0.0496395191799865,0.0139942906724845,0.000296156311542071,0.0571249259596411,0.155204975028241,0.105992047980099,0,0.00783664580505183,0.00189960275689804,0.00117631219400919,0,0
"Ex_DACH2_CEMIP",0,0,0.00264659782246888,0.0037284034697922,0,0.24045186831645,0.243552611992302,0,0.132821079413509,0.0046916256965757,0.00105454688277949,0,0,0,0.0191135468753046,0,0
"Ex_DACH2_GRIK4",0,0.00499472157258792,0.0543401085242961,0.000350473199223775,0.00290799397587444,0.00245493827368449,0.000253431714777141,0,0.00265150894576594,0.432973400631654,0.0434674937153794,0.00759801125135175,0.00173168351238916,0,0,0.00556845342513214,0
"Ex_DACH2_ITGA9",0.00351977717464874,0,0.0303135987608436,0.0744527465884479,0.00171864215287212,0.153296596207669,0.032094872067247,0.00297542068822396,0.154703795898272,0.0924227749731499,0.00307496660775197,0.000179159158273217,0.00029740504379009,0,0,0,0
"Ex_DACH2_LHX2",0,0.00252697483694252,0.0121393558650254,0,0.00244990619020383,0.0239018126287686,0.00037704104082601,0.000261737465352998,0,0.371674013119694,0.148670803285496,0,0.002666144111643,0,0,0,0
"Ex_DACH2_LUZP2",0,0.100864931213844,0.00229821682196405,0,0.011386202533973,0.0324899337522646,0,0,0,0.409498875699615,0.0264454379045189,0,0.000433980251278292,0,0,0,0
