"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCra-Int","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_DACH2_LHX2",0.000268736828917011,0.0329431181178415,0,0.00280478534745072,0.0147755696659836,0.507195794214908,0,0,0.00255750776572288,0.00149749408894535,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.00210328158166237,0,0.00723411044622165,0.0169287849467942,0.444417996282036,0,0,0.0987931576132739,0,0,0.000248160757807813,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.0121752937653404,0.00500660704244031,0,0.00701049441761328,0.51307233876723,0.0036933904866803,0,0.000991272011500668,0.0124158042930861,0,0,0,0,0.000800375894539914,0
"Ex_DACH2_NR4A3",0,0.00411964762594396,0.00474863678915164,0,0.0215372157560263,0.629630237681647,0.00262930677169699,0.00155405184279416,0.00125107743557572,0.00216763129500205,0,0,0,0,0,0
"Ex_DACH2_RORB",0,0.000311327599084445,0.0515065244501986,0,0.576295797577216,0.00678748939323469,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.000621545299214072,0,0.00426724075137964,0.00570086129375536,0.562090418159255,0.122804574772496,0.0021567803315381,0.000842842650988588,0.0213436205098522,0.000617859189422963,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.285248982876222,0,0.30269035056041,0.0056193396526179,0.000640756078524157,0.00707405715871781,0,0,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000305696298911709,0,0.305311352131476,0,0.336913485867313,0.00613261965702821,0.00292299894466076,0.00813570667775149,0,0,0,0,0,0,0,0
"Ex_KIAA1217",0.181008647544032,0.000280883987406351,0.0348142742081786,0.0782218514645139,0.0346607245161172,0.00266769945567093,0.0267073880662732,0.0189612444877998,0.0368096746815982,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.106121210339858,0,0.0275814304340066,0.151611920644368,0.00527647340236621,0.00748872093731565,0.0491054429461656,0.0285432071871945,0.0853701958593083,0.0010866435661635,0,0,0,0,0,0
"Ex_Pre_KCNH7",0.00305863020199246,0.00953733208623923,0.0197068710445599,0.0184273583691059,0.0761597625692923,0.214409742209779,0,0.000209260990190571,0.00697041466553402,0.0048523680618861,0.000699348230088731,0,0,0,0,0
"Ex_Pre_SATB2",0.00786534625894734,0.00692926513222432,0.0212509416356157,0.0467854424847505,0.0577584756420949,0.154282079404931,0,0.000823350939505185,0.0174842227470111,0.0146997026416289,0.0020134987328244,0,0,0,0.00119317769730344,0
"Ex_SATB2_FOXP2",0.0426758364442276,0.000854586604807564,0.1217594787987,0.00835314680138182,0.00433090595426336,0.018198802028456,0.148125430493819,0.0118722390792814,0.00177713330559051,0.00702844164406396,0.00797390135610471,0,0,0.000968164155304037,0.00473656679342415,0.000294513029586257
"Ex_SATB2_OVOA",0.0029106467990788,0.010465853716111,0.022183136705583,0.0150511991231398,0.0207697956796294,0.305483626472538,0.01473232357828,0.0023741274398275,0.00904934710066023,0.0152701802935757,0.00277339938068072,0.000223966710044234,0,0.000262597185520257,0.00154575385020526,0
"Ex_SATB2_SOX6",0.0105502090340097,0.00152020299908841,0.121793166966894,0.00813662467453189,0.0180152029729255,0.0503071796246577,0.111889366053985,0.0248534038339071,0.0136744722106258,0.00700271471182955,0.00315693447004626,0,0,0.000988889775010607,0.0037734008115484,0
"Ex_SATB2_ZNF385B",0.0254829448862754,0.00143953885399163,0.0676913432719185,0.0324802619819278,0.0632293222197512,0.0225373318115606,0.0521035558876413,0.038919946480454,0.0121818818337344,0.00324742118958802,0.00315393365757467,0,0,0.00247932017591803,0.0052352108610214,0.000397622183484134
"Ex_TSHZ2_NR4A2",0.526104052886961,0,0.00747077152996894,0.0565348738924181,0.00466947370354917,0.013993718357966,0,0,0.0105461526679783,0.00218090845331216,0,0,0,0,0,0
