"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCra-Int","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_BCL6",0.00354706978827313,0.00073680898584553,0.00155594273289379,0.0513227738184044,0.389970323664485,0.0564368272619104,0.00523255672693812,0.0296698934077085,0.0264718497475443,0,0,0,0,0,0,0
"Ex_CACNA1H_CPA6",0.0184129924952301,0.000775920542894931,0,0.750624223497341,0,0.00385455987438841,0,0,0.0122132979750793,0.000837703227253639,0,0,0,0,0,0
"Ex_CACNA1H_KIT",0.0257422618919904,0,0,0.542883652189454,0,0.00361031087623317,0,0,0.119244894673273,0.000661731455145331,0,0,0,0,0,0
"Ex_CACNA1H_LHX9",0.113666360927783,0,0,0.220282886563159,0.00226386574577391,0.0163602521798855,0,0,0.333353532848736,0,0,0,0,0,0,0
"Ex_CACNA1H_MCTP2",0.0269529538461106,0.00110734793902676,0.0165298441595855,0.207571226078472,0.0466209139226762,0.108768398136219,0.00812297001363394,0,0.07384741449859,0.00385315194581109,0.00050989151347763,0,0,0,0,0
"Ex_CACNA1H_PROX1",0.000703515607240007,0.000905141686597964,0,0.44379942090769,0.01024809470614,0.0442392870964281,0,0,0.127851704870943,0,0,0,0,0,0,0
"Ex_DACH2_ADAMTS5",0,0.0270428271145631,0.058577739190269,0,0.0680075387915262,0.25039922713785,0.00267620469877358,0.00665786281579634,0,0.0118431054617271,0,0.00167426438909952,0.000691647836989839,0,0,0
"Ex_DACH2_CEMIP",0.000737679462538465,0,0.144700031190349,0,0.317225342491857,0.00752268522666612,0.0010379607811978,0.11446449693797,0.000325578977956169,0,0,0,0,0.00712925562204666,0,0
"Ex_DACH2_GRIK4",0,0.0153097700978697,0.00262688142568272,0.000372812230245867,0.000962505718375939,0.480293633562398,0.000588261274887503,0,0.00683622621214241,0.0226293466279375,0.00360062181449717,0,0,0,0.00487965504878459,0
"Ex_DACH2_ITGA9",0.00526005771202669,0.000617086387114779,0.143018997917713,0.00087287817257866,0.158952396337393,0.12487138374729,0.0425237962261094,0.018981851528959,0,0.00497894906290464,0.000338696876348631,0,0,0,0,0.000258253579431629
