"","Ex_CACNA1H_LHX9","Ex_DACH2_NR4A3","Ex_DACH2_ZMAT4","Ex_SATB2_OVOA","Ex_DACH2_CEMIP","Ex_DACH2_ITGA9","Ex_DACH2_MGAT4C","Ex_DACH2_SLIT2","Ex_DACH2_GRIK4","Ex_DACH2_ADAMTS5","Ex_DACH2_LHX2","Ex_SATB2_SOX6","Ex_Pre_KCNH7","Ex_BCL6","Ex_SATB2_ZNF385B","Ex_TSHZ2_NR4A2"
"Glut-CACNA1H-1",0.831175074408296,0.0211986850626866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-2",0.768314825001215,0.0431334104417125,0.00117314585224209,0.000386981197216169,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-3",0.741145687729132,0.0566082266026401,0,0,0.000636863588666887,0.000810313518800356,0.00112673751087735,0,0,0,0,0,0,0,0,0
"Glut-CACNA1H-4",0.859606665875193,0.00340448618375644,0,0,0,0,0.004283440257966,0.00241531512991259,0.00120316910939875,0,0,0,0,0,0,0
"Glut-CACNA1H-RA",0.907197842395707,0.00185907162758389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-DACH2-1",0,0.0477171349333155,0.00670797421620801,0,0.00229136456948973,0.00515657496804146,0.187076664692557,0.00138434307539791,0.0128917382273872,0.259827841922686,0.0181452687260245,0.0063609709105861,0.00031215920302806,0,0,0
"Glut-DACH2-2",0,0.00644215166456723,0,0,0,0.00563150670715943,0.150474283921096,0,0.0624579945890257,0.157496720306588,0.0875617330154812,0.0109891360978272,0,0,0,0
"Glut-DACH2-3",0,0.0135936092493078,0.262630944588549,0,0.0293803271631979,0,0,0.294419762679188,0,0.0111165331494323,0,0,0,0,0,0
"Glut-DACH2-4",0.001183288947637,0.0439254083711492,0.244084292962799,0,0.121587236875496,0.00226379279809743,0.00902175291324806,0.0044372788470267,0,0.0956505173656036,0,0.00141928663987654,0,0,0,0
"Glut-DACH2-5",0,0.00290373748225523,0,0,0,0.0139416095499501,0.0444177720451821,0,0.0424333417113088,0.312801163743382,0.120855109548259,0.00116967109535172,0,0,0,0
"Glut-DACH2-6",0,0,0.140511311405462,0,0.679505768611751,0,0,0,0,0.00259198629490964,0,0.0012835918747603,0,0,0,0
"Glut-DACH2-7",0,0.0256070814505435,0.010907388271626,0,0.0138292144647134,0.033327656661891,0.110422848539552,0,0.0197701795260707,0.302302720656253,0.00958697734582434,0.013266054893621,0,0.00056378183255797,0,0
"Glut-DACH2-8",0,0,0.525440334608691,0,0.148631972030791,0,0,0,0,0.000699266033084083,0,0.0136023754997506,0,0,0,0
"Glut-DACH2-HVCra",0,0,0.00742700642011859,0,0.00146803557892104,0,0.00273684677283255,0,0.0103796101546161,0.0809521791682842,0.00254703226047094,0.374135988902415,0.0328611432829831,0.013225828919897,0.00108975941019796,0
"Glut-DACH2-HVCra-Int",0,0.00784639750586775,0.000314350700174099,0.000352202570237997,0,0.0063293509899639,0.0821461859196557,0,0.101753722535985,0.0611721305604471,0.0243205496079489,0.150488039148477,0.00793643866945348,0.00233539164563531,0,0.000288675181868364
"Glut-DACH2-HVCx",0.0337618661656343,0.00111448285071916,0.0543962734966478,0,0.443417717439688,0,0,0,0,0.00439361527730038,0,0.0281839113798044,0.00291708915668286,0.00160412507318592,0,0
"Glut-DACH2-LMANco",0.00146860272940215,0,0.0546042195832596,0,0.026004796514916,0,0,0,0,0,0,0.638964723162546,0,0,0,0
"Glut-DACH2-LMANsh",0,0.000660080641709698,0.0579784663917807,0,0.000586629716565515,0.0145607872692578,0.000668131761997181,0,0.0730271187158444,0.0346904481101078,0.288174518018402,0.00707741331564814,0,0.000783591010247794,0,0
