"","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-CACNA1H-2","Glut-DACH2-6","Glut-DACH2-3","Glut-DACH2-5","Glut-CACNA1H-4","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-2","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-1","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_BCL6",0.0019288631004251,0.00407986978217328,0.0446616357408304,0.0627797975735047,0.181728973091392,0.000891318927868217,0.0224221422093976,0.00198625953420875,0.0013184208775839,0.00153345650355568,0.162616475235417,0.0943747621983149,0.00178655013168443,0.0037555940732022,0.00445581342583475,0,0,0
"Ex_CACNA1H_CPA6",0,0,0.79353878747829,0.00100210133824497,0,0,0.00823281629555903,0,0,0,0,0,0,0,0,0.00155291994094394,0.0526654468022214,0
"Ex_CACNA1H_KIT",0,0,0.612059546078009,0,0,0.000601828663507689,0.0633921374650809,0,0,0.00632379882023888,0,0.00754427102506346,0.000695912096189591,0,0,0.0316310323488264,0.0161068615999402,0
"Ex_CACNA1H_LHX9",0,0,0.232785057869477,0,0.00196097370088322,0,0.464504927323473,0,0,0.00119805840481378,0,0.00280528264679905,0.00786736711601568,0,0.000454463314418789,0.0671697950690335,0.0024274845779891,0
"Ex_CACNA1H_MCTP2",0,0,0.170784276063564,0,0.0268224715547719,0.00332661986499765,0.0737105833848429,0.0012101884607195,0,0.13005323063444,0,0.051588552674428,0,0,0.0344958860686576,0.00347037376547989,0,0.0200791767790518
"Ex_CACNA1H_PROX1",0,0,0.618479571966732,0,0.00425754571044313,0.00156400949275473,0.0658212765272943,0.00368727503107523,0,0.0511320291171493,0,0.00112413416512774,0,0,0.00113785675874639,0.00117329768251083,0.00147691562092805,0.001113478149
"Ex_DACH2_ADAMTS5",0,0.000328306512463081,0,0.0174098178434438,0.00376875137760958,0.297490144329912,0,0.00855966490425954,0.152421994122409,0.0564241111898018,0.00435696864373594,0.00301711809806996,0,0.00356703822161627,0.0172116291269831,0.000568971116914606,0,0.0131744312091989
"Ex_DACH2_CEMIP",0,0.00444442553408341,0.00251348899624799,0.608313417742501,0.109409604452694,0,0.00057827976024277,0.0217951434823048,0.00363319544857775,0.0010864980359933,0,0.00610030529795948,0,0.00618274374107133,0.00298335747116318,0.00188881319676015,0,0
"Ex_DACH2_GRIK4",0.000887712425934981,0,0.000513117006059506,0.000390501436039415,0.000576401282316518,0.0298219262436853,0.00293184926723468,0,0.122704369279813,0.112479246746675,0.00179315322016482,0.0044458995914209,0.0085178376984664,0.0005676031399723,0.303213085618287,0.000692690112283033,0,0.00771618578041576
"Ex_DACH2_ITGA9",0.00218918263223165,0.000366646026933803,0.00541793409905525,0.0226606027551207,0.109548597181125,0.00290655159607199,0,0.139579880238715,0.0268243589242939,0.0459297324968015,0.00901606641736902,0.00596976917549605,0.00372902608745977,0.0928452787474162,0.052661326214624,0.00634931015364731,0.00106555208193293,0.0138290406711942
"Ex_DACH2_LHX2",0.00142308956676071,0.000932359780817738,0.00357544474691458,0,0.0199386128464327,0.0386800748041655,0.00158650463050769,0.000572692116905013,0.00759270296179084,0.382080547504863,0.00418461068153092,0.00459018633865722,0.000533137002818709,0.000410912625785189,0.121671412452716,0,0,0
"Ex_DACH2_LUZP2",0,0,0.00607657398646201,0,0.0140184849114523,0.000911370882844312,0.0298500822135674,0.000850849322515174,0.0028225474160539,0.273406982180919,0.00231169167089505,0.00274055680887393,0.0999496132740015,0.00207527873556279,0.157157146917908,0.000962000308444322,0,0
"Ex_DACH2_MGAT4C",0.000414591296465409,0.00136410466458041,0.0014079697701803,0,0.00284165248437491,0.0368440643497211,0,0,0.0608755481067859,0.21248322138081,0.0222838814352801,0.00139739698795925,0.0184107046624873,0.00321452120205526,0.2439030270036,0,0,0.00113325541355684
"Ex_DACH2_NR4A3",0.000979482135089558,0,0.00596732702878795,0.00139050868768386,0.00362387202152242,0.0252032676013661,0.000911464309037676,0.000692505084261749,0.133432752858546,0.0205434177308358,0.0120859730020261,0,0.00225617159730868,0.00364244701404696,0.313334779611757,0.00472811839983228,0.00139116859740653,0.00147452484695201
"Ex_DACH2_RORB",0.00227375810779245,0.0707355405309408,0.00250932623230969,0.0018491144078645,0.138251493690204,0.000821316119556893,0.000902417628259313,0.0905722980873353,0.00293091185924082,0.000595520964933936,0.00166345280674067,0.000964283475692211,0.00163709299755875,0.0036951892946799,0,0,0,0.180091657996351
"Ex_DACH2_SLIT2",0.000432154668062607,0,0.00197693226663558,0.00335403880179738,0.581221005156798,0.00531932867391288,0.0965844199665185,0.00677239160332572,0,0.010344398520682,0,0.00178085525610508,0.000605570398520298,0.0194106865538664,0.0742166093428899,0,0,0
